호선,역명,방향,5시대,6시대,7시대,8시대,9시대,10시대,11시대,12시대,13시대,14시대,15시대,16시대,17시대,18시대,19시대,20시대,21시대,22시대,23시대,24시대
,구파발,하선,2,9,10,21,26,27,23,23,23,25,23,26,23,22,14,10,12,9,5,0
,연신내,하선,7,12,13,27,30,33,30,26,30,29,26,26,26,21,17,13,14,10,6,0
,불광,하선,10,14,16,29,34,37,35,32,34,34,32,31,31,26,20,15,15,12,7,0
,녹번,하선,13,16,18,34,38,40,40,36,37,37,34,33,32,27,21,15,16,12,7,0
,홍제,하선,17,16,20,37,44,42,43,41,40,41,37,36,34,30,21,16,15,12,7,0
,무악재,하선,17,17,20,38,45,43,44,41,42,42,37,36,34,31,22,16,13,15,8,0
,독립문,하선,14,18,19,38,46,45,44,43,43,43,39,38,36,31,22,17,13,15,8,0
,경복궁,하선,15,18,19,36,48,46,47,46,47,50,46,48,45,37,26,20,17,17,9,0
,안국,하선,16,17,18,35,46,44,46,49,50,56,54,61,58,47,32,26,21,22,10,0
,종로3가,하선,17,17,17,33,44,42,47,47,49,57,56,64,62,54,39,33,28,28,13,0
,을지3가,하선,21,18,18,33,43,45,49,48,53,62,61,67,68,64,47,41,35,35,19,0
,충무로,하선,19,16,15,28,35,37,41,39,42,49,50,55,55,52,37,31,26,26,14,0
,동대입구,하선,18,15,15,26,32,34,37,37,40,47,48,55,55,52,37,32,26,27,14,0
,약수,하선,20,18,15,27,35,36,40,39,41,47,49,54,55,51,37,32,25,25,15,0
,금호,하선,21,18,15,27,37,35,39,40,41,47,49,53,54,50,36,31,24,24,13,0
,옥수,하선,21,18,15,27,37,36,40,41,42,48,49,53,53,50,35,30,23,23,13,0
,압구정,하선,9,19,13,23,31,31,36,38,40,47,48,54,53,53,37,34,26,26,14,0
,신사,하선,17,19,13,22,29,28,34,32,37,46,48,54,55,54,40,37,31,31,16,0
,잠원,하선,17,19,13,22,29,28,34,33,38,46,48,54,55,54,40,37,31,30,16,0
,고속터미널,하선,14,20,13,23,32,32,40,35,41,44,47,51,52,53,45,42,38,38,22,0
,교대,하선,15,19,14,24,31,31,36,31,37,40,43,44,45,46,39,34,30,30,18,0
,남부터미널,하선,13,15,11,20,27,26,27,24,28,30,31,33,34,36,29,30,27,29,17,0
,양재,하선,6,9,5,10,15,16,16,16,18,21,22,25,26,28,23,22,22,24,15,3
,매봉,하선,6,8,5,10,13,15,15,15,17,20,21,24,25,26,22,21,21,23,15,3
,도곡,하선,5,7,4,9,12,13,12,13,14,17,19,21,21,23,20,18,20,20,14,0
,대치,하선,5,7,4,7,10,11,10,11,13,16,17,19,20,22,18,17,19,19,12,1
,학여울,하선,6,7,4,7,9,11,10,11,12,16,17,19,19,21,18,17,19,19,12,1
,대청,하선,6,6,3,7,9,10,9,10,12,14,16,17,17,19,16,15,16,17,11,2
,일원,하선,6,6,3,6,9,9,9,10,10,13,14,16,16,18,15,14,15,15,10,2
,수서,하선,2,3,2,5,7,8,7,8,8,9,10,11,12,13,10,9,12,11,7,0
,가락시장,하선,0,2,1,3,4,4,3,3,4,5,5,5,7,7,5,6,9,9,11,0
,경찰병원,하선,0,2,1,2,3,3,3,3,3,4,4,4,5,5,4,5,5,6,5,0
,오금,하선,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4호선,당고개,하선,2,1,2,3,4,4,4,4,4,5,4,4,4,3,2,1,1,1,1,0
,상계,하선,5,3,4,9,11,10,9,9,11,11,9,9,8,6,4,4,4,4,3,0
,노원,하선,8,6,7,13,19,16,16,17,19,20,17,18,16,13,11,11,12,11,10,0
,창동,하선,9,8,10,17,25,22,21,22,25,26,23,22,22,19,15,13,14,13,13,0
,쌍문,하선,13,10,13,23,32,28,28,28,31,31,27,25,24,20,16,14,15,14,12,0
,수유,하선,19,13,15,28,39,34,35,35,39,37,35,30,30,24,20,17,16,15,12,0
,미아,하선,21,14,17,30,42,35,36,37,41,40,37,32,31,25,20,18,17,15,11,0
,미아사거리,하선,26,16,19,33,46,40,40,40,47,45,42,35,34,27,24,21,18,16,12,0
,길음,하선,28,18,21,36,49,43,44,45,51,48,45,38,36,29,25,22,19,17,12,0
,성신여대,하선,32,20,22,36,52,45,47,47,56,51,50,40,39,32,28,23,21,20,14,0
,한성대입구,하선,26,20,23,38,54,47,49,50,59,54,54,43,41,34,29,22,23,21,14,0
,혜화,하선,31,21,22,36,53,47,51,50,60,57,61,52,55,47,40,36,37,33,22,0
