호선,역명,방향,5시대,6시대,7시대,8시대,9시대,10시대,11시대,12시대,13시대,14시대,15시대,16시대,17시대,18시대,19시대,20시대,21시대,22시대,23시대,24시대
,구파발,하선,11,25,56,62,36,34,27,23,23,19,20,21,18,20,14,10,9,12,6,3
,연신내,하선,19,32,69,78,49,43,31,29,27,23,23,24,19,20,16,10,10,11,7,2
,불광,하선,28,37,81,96,59,47,38,31,33,28,26,29,23,26,19,12,12,12,8,2
,녹번,하선,33,42,87,115,64,51,41,36,34,30,28,30,24,27,21,13,13,13,8,2
,홍제,하선,39,42,100,127,71,58,45,40,38,33,30,35,26,29,22,14,14,13,10,2
,무악재,하선,40,43,104,128,77,60,46,42,39,33,31,34,26,30,22,14,13,13,10,2
,독립문,하선,27,44,98,132,78,60,47,43,38,36,32,35,27,32,23,14,14,13,10,2
,경복궁,하선,28,44,93,131,77,62,52,46,44,44,42,46,36,44,31,19,20,20,14,3
,안국,하선,28,42,87,119,73,60,52,50,48,51,50,56,43,61,41,26,26,28,17,3
,종로3가,하선,30,40,83,119,73,61,50,50,53,56,58,67,52,79,55,34,36,41,26,4
,을지3가,하선,32,37,74,108,71,64,54,54,62,61,67,76,62,104,75,49,48,58,38,7
,충무로,하선,28,34,69,91,63,53,46,47,53,52,57,65,53,81,58,36,35,43,27,4
,동대입구,하선,27,33,63,86,58,48,41,44,50,50,56,66,53,82,59,37,36,43,29,6
,약수,하선,32,36,69,93,62,50,43,45,51,51,57,64,53,81,59,36,35,41,30,7
,금호,하선,35,36,69,98,64,51,43,45,52,50,56,63,52,78,58,35,34,39,28,6
,옥수,하선,37,37,72,102,67,52,44,45,52,51,55,63,52,76,56,34,33,37,27,6
,압구정,하선,15,34,64,86,53,42,41,42,50,49,55,62,53,76,62,40,37,40,29,5
,신사,하선,17,33,56,78,45,39,39,41,48,48,55,62,54,79,65,43,43,49,34,7
,잠원,하선,18,33,58,78,45,39,40,41,48,48,55,62,54,78,63,43,41,48,36,7
,고속터미널,하선,21,39,76,108,59,47,45,46,54,52,58,64,58,80,69,49,47,52,40,7
