Train No,암사,천호,강동구청,몽촌토성,잠실,석촌,송파,가락시장,문정,장지,복정,산성,남한산성입구,단대오거리,신흥,수진,모란,
8268,00:00:00,24:03:20,24:01:10,23:58:40,23:57:00,23:54:30,23:52:50,23:51:20,23:49:50,23:48:20,23:46:50,23:43:20,23:40:40,23:39:00,23:37:20,23:35:50,23:34:00,
8266,00:00:00,23:51:00,23:48:50,23:46:20,23:44:40,23:42:10,23:40:30,23:38:50,23:37:00,23:35:30,23:34:00,23:30:20,23:27:40,23:26:00,23:24:20,23:22:50,23:21:00,
8264,00:00:00,23:39:00,23:36:50,23:34:20,23:32:40,23:30:10,23:28:30,23:26:50,23:25:00,23:23:30,23:22:00,23:18:20,23:15:40,23:14:00,23:12:20,23:10:50,23:09:00,
8262,00:00:00,23:26:00,23:23:50,23:21:20,23:19:40,23:17:10,23:15:30,23:13:50,23:12:00,23:10:30,23:09:00,23:05:20,23:02:40,23:01:00,22:59:20,22:57:50,22:56:00,
8260,00:00:00,23:14:00,23:11:50,23:09:20,23:07:40,23:05:10,23:03:30,23:01:50,23:00:00,22:58:30,22:57:00,22:53:20,22:50:40,22:49:00,22:47:20,22:45:50,22:44:00,
8258,00:00:00,23:03:00,23:00:50,22:58:20,22:56:40,22:54:10,22:52:30,22:50:50,22:49:00,22:47:30,22:46:00,22:42:20,22:39:40,22:38:00,22:36:20,22:34:50,22:33:00,
8256,00:00:00,22:53:00,22:50:50,22:48:20,22:46:40,22:44:10,22:42:30,22:40:50,22:39:00,22:37:30,22:36:00,22:32:20,22:29:40,22:28:00,22:26:20,22:24:50,22:23:00,
8254,00:00:00,22:43:00,22:40:50,22:38:20,22:36:40,22:34:10,22:32:30,22:30:50,22:29:00,22:27:30,22:26:00,22:22:20,22:19:40,22:18:00,22:16:20,22:14:50,22:13:00,
8252,00:00:00,22:33:00,22:30:50,22:28:20,22:26:40,22:24:10,22:22:30,22:20:50,22:19:00,22:17:30,22:16:00,22:12:20,22:09:40,22:08:00,22:06:20,22:04:50,22:03:00,
8250,00:00:00,22:24:00,22:21:50,22:19:20,22:17:40,22:15:10,22:13:30,22:11:50,22:10:00,22:08:30,22:07:00,22:03:20,22:00:40,21:59:00,21:57:20,21:55:50,21:54:00,
8248,00:00:00,22:15:00,22:12:50,22:10:20,22:08:40,22:06:10,22:04:30,22:02:50,22:01:00,21:59:30,21:58:00,21:54:20,21:51:40,21:50:00,21:48:20,21:46:50,21:45:00,
8246,00:00:00,22:06:00,22:03:50,22:01:20,21:59:40,21:57:10,21:55:30,21:53:50,21:52:00,21:50:30,21:49:00,21:45:20,21:42:40,21:41:00,21:39:20,21:37:50,21:36:00,
