Train No,응암,역촌,불광,독바위,연신내,구산,새절,증산,디지털미디어시티,월드컵경기장,마포구청,망원,합정,상수,광흥창,대흥,공덕,효창공원앞,삼각지,녹사평,이태원,한강진,버티고개,약수,청구,신당,동묘앞,창신,보문,안암,고려대,월곡,상월곡,돌곶이,석계,태릉입구,화랑대,봉화산,
6021,06:20:30,06:33:30,06:22:30,06:24:30,06:26:20,06:29:10,06:31:00,06:35:20,06:36:50,06:39:00,06:40:40,06:42:20,06:44:10,06:46:10,06:47:40,06:49:20,06:51:20,06:53:20,06:55:10,06:57:20,06:59:20,07:01:00,07:02:50,07:04:40,07:06:30,07:08:10,07:09:50,07:11:20,07:13:10,07:14:50,07:16:30,07:18:10,07:20:20,07:22:00,07:23:40,07:25:40,07:27:20,07:29:10,00:00:00,
6019,06:13:00,06:26:00,06:15:00,06:17:00,06:18:50,06:21:40,06:23:30,06:27:40,06:29:20,06:31:20,06:33:10,06:34:50,06:36:40,06:38:40,06:40:10,06:41:50,06:43:50,06:45:50,06:47:40,06:49:50,06:51:50,06:53:30,06:55:20,06:57:10,06:59:00,07:00:40,07:02:20,07:03:50,07:05:40,07:07:20,07:09:00,07:10:40,07:12:50,07:14:30,07:16:00,07:18:10,07:19:50,07:21:40,07:23:30,
6023,06:27:30,06:40:30,06:29:30,06:31:30,06:33:20,06:36:10,06:38:00,06:42:10,06:43:50,06:45:50,06:47:40,06:49:20,06:51:10,06:53:10,06:54:40,06:56:20,06:58:20,07:00:20,07:02:10,07:04:20,07:06:20,07:08:00,07:09:50,07:11:40,07:13:30,07:15:10,07:16:50,07:18:20,07:20:10,07:21:50,07:23:30,07:25:10,07:27:20,07:29:00,07:30:30,07:32:40,07:34:20,07:36:10,07:38:00,
6021,06:20:30,06:33:30,06:22:30,06:24:30,06:26:20,06:29:10,06:31:00,06:35:20,06:36:50,06:39:00,06:40:40,06:42:20,06:44:10,06:46:10,06:47:40,06:49:20,06:51:20,06:53:20,06:55:10,06:57:20,06:59:20,07:01:00,07:02:50,07:04:40,07:06:30,07:08:10,07:09:50,07:11:20,07:13:10,07:14:50,07:16:30,07:18:10,07:20:20,07:22:00,07:23:40,07:25:40,07:27:20,07:29:10,00:00:00,
6025,06:34:30,06:47:30,06:36:30,06:38:30,06:40:20,06:43:10,06:45:00,06:49:20,06:50:50,06:53:00,06:54:40,06:56:20,06:58:10,07:00:10,07:01:40,07:03:20,07:05:20,07:07:20,07:09:10,07:11:20,07:13:20,07:15:00,07:16:50,07:18:40,07:20:30,07:22:10,07:23:50,07:25:20,07:27:10,07:28:50,07:30:30,07:32:10,07:34:20,07:36:00,07:37:40,07:39:40,07:41:20,07:43:10,00:00:00,
6023,06:27:30,06:40:30,06:29:30,06:31:30,06:33:20,06:36:10,06:38:00,06:42:10,06:43:50,06:45:50,06:47:40,06:49:20,06:51:10,06:53:10,06:54:40,06:56:20,06:58:20,07:00:20,07:02:10,07:04:20,07:06:20,07:08:00,07:09:50,07:11:40,07:13:30,07:15:10,07:16:50,07:18:20,07:20:10,07:21:50,07:23:30,07:25:10,07:27:20,07:29:00,07:30:30,07:32:40,07:34:20,07:36:10,07:38:00,
6027,06:41:30,06:54:30,06:43:30,06:45:30,06:47:20,06:50:10,06:52:00,06:56:10,06:57:50,06:59:50,07:01:40,07:03:20,07:05:10,07:07:10,07:08:40,07:10:20,07:12:20,07:14:20,07:16:10,07:18:20,07:20:20,07:22:00,07:23:50,07:25:40,07:27:30,07:29:10,07:30:50,07:32:20,07:34:10,07:35:50,07:37:30,07:39:10,07:41:20,07:43:00,07:44:30,07:46:40,07:48:20,07:50:10,07:52:00,
6025,06:34:30,06:47:30,06:36:30,06:38:30,06:40:20,06:43:10,06:45:00,06:49:20,06:50:50,06:53:00,06:54:40,06:56:20,06:58:10,07:00:10,07:01:40,07:03:20,07:05:20,07:07:20,07:09:10,07:11:20,07:13:20,07:15:00,07:16:50,07:18:40,07:20:30,07:22:10,07:23:50,07:25:20,07:27:10,07:28:50,07:30:30,07:32:10,07:34:20,07:36:00,07:37:40,07:39:40,07:41:20,07:43:10,00:00:00,
6029,06:48:30,07:01:30,06:50:30,06:52:30,06:54:20,06:57:10,06:59:00,07:03:20,07:04:50,07:07:00,07:08:40,07:10:20,07:12:10,07:14:10,07:15:40,07:17:20,07:19:20,07:21:20,07:23:10,07:25:20,07:27:20,07:29:00,07:30:50,07:32:40,07:34:30,07:36:10,07:37:50,07:39:20,07:41:10,07:42:50,07:44:30,07:46:10,07:48:20,07:50:00,07:51:40,07:53:40,07:55:20,07:57:10,00:00:00,
6027,06:41:30,06:54:30,06:43:30,06:45:30,06:47:20,06:50:10,06:52:00,06:56:10,06:57:50,06:59:50,07:01:40,07:03:20,07:05:10,07:07:10,07:08:40,07:10:20,07:12:20,07:14:20,07:16:10,07:18:20,07:20:20,07:22:00,07:23:50,07:25:40,07:27:30,07:29:10,07:30:50,07:32:20,07:34:10,07:35:50,07:37:30,07:39:10,07:41:20,07:43:00,07:44:30,07:46:40,07:48:20,07:50:10,07:52:00,
