Train No,개화,김포공항,공항시장,신방화,마곡나루,양천향교,가양,증미,등촌,염창,신목동,선유도,당산,국회의사당,여의도,샛강,노량진,노들,흑석,동작,구반포,신반포,고속터미널,사평,신논현,언주,선정릉,삼성중앙,봉은사,종합운동장,
C9009,00:00:00,06:33:35,06:31:35,06:29:40,06:27:25,06:24:40,06:22:10,06:20:05,06:18:00,06:15:55,06:13:50,06:11:30,06:09:15,06:06:40,06:04:45,06:02:50,06:00:25,05:58:15,05:56:10,05:53:35,05:51:20,05:49:30,05:47:45,05:45:30,05:43:15,05:40:55,05:39:00,05:37:00,05:35:05,05:32:45,
C9011,00:00:00,06:51:15,06:49:15,06:47:20,06:45:05,06:42:20,06:39:50,06:35:35,06:33:30,06:31:25,06:29:20,06:27:00,06:24:35,06:22:00,06:20:05,06:18:10,06:15:45,06:13:35,06:11:30,06:08:55,06:06:40,06:04:50,06:03:05,06:00:50,05:58:30,05:56:10,05:54:15,05:52:15,05:50:20,05:48:00,
C9013,00:00:00,07:06:05,07:04:05,07:02:10,06:59:55,06:57:10,06:54:40,06:50:25,06:48:20,06:46:15,06:44:10,06:41:50,06:39:35,06:37:00,06:35:05,06:33:10,06:30:45,06:28:35,06:26:30,06:23:55,06:21:40,06:19:50,06:18:05,06:15:50,06:11:30,06:09:10,06:07:15,06:05:15,06:03:20,06:01:00,
E9501,,00:00:00,,,,,06:38:55,,,06:35:05,,,06:30:55,,06:27:25,,06:24:25,,,06:19:55,,,06:16:10,,06:12:55,,06:09:55,,06:07:20,06:04:45,
C9015,00:00:00,07:19:05,07:17:05,07:15:10,07:12:55,07:10:10,07:07:40,07:03:25,07:01:20,06:59:15,06:57:10,06:54:50,06:52:35,06:50:00,06:48:05,06:46:10,06:43:45,06:41:35,06:39:30,06:36:55,06:34:40,06:32:50,06:31:05,06:28:50,06:24:30,06:22:10,06:20:15,06:18:15,06:16:20,06:14:00,
E9503,,00:00:00,,,,,06:53:45,,,06:49:40,,,06:45:15,,06:41:30,,06:38:05,,,06:33:10,,,06:29:20,,06:26:05,,06:23:15,,06:20:40,06:18:15,
C9017,00:00:00,07:32:05,07:30:05,07:28:10,07:25:55,07:23:10,07:20:40,07:16:25,07:14:20,07:12:15,07:10:10,07:07:50,07:05:35,07:03:00,07:01:05,06:59:10,06:56:45,06:54:35,06:52:30,06:49:55,06:47:40,06:45:50,06:44:05,06:41:50,06:37:30,06:35:10,06:33:15,06:31:15,06:29:20,06:27:00,
E9505,,00:00:00,,,,,07:06:45,,,07:02:40,,,06:58:15,,06:54:30,,06:51:05,,,06:46:10,,,06:42:20,,06:39:05,,06:36:15,,06:33:40,06:31:15,
C9019,00:00:00,07:45:05,07:43:05,07:41:10,07:38:55,07:36:10,07:33:40,07:29:25,07:27:20,07:25:15,07:23:10,07:20:50,07:18:35,07:16:00,07:14:05,07:12:10,07:09:45,07:07:35,07:05:30,07:02:55,07:00:40,06:58:50,06:57:05,06:54:50,06:50:30,06:48:10,06:46:15,06:44:15,06:42:20,06:40:00,
E9507,,00:00:00,,,,,07:19:45,,,07:15:40,,,07:11:15,,07:07:30,,07:04:05,,,06:59:10,,,06:55:20,,06:52:05,,06:49:15,,06:46:40,06:44:15,
