Train No,응암,역촌,불광,독바위,연신내,구산,새절,증산,디지털미디어시티,월드컵경기장,마포구청,망원,합정,상수,광흥창,대흥,공덕,효창공원앞,삼각지,녹사평,이태원,한강진,버티고개,약수,청구,신당,동묘앞,창신,보문,안암,고려대,월곡,상월곡,돌곶이,석계,태릉입구,화랑대,봉화산,
6065,09:14:30,09:27:30,09:16:30,09:18:30,09:20:20,09:23:10,09:25:00,09:29:10,09:30:50,09:32:50,09:34:40,09:36:20,09:38:10,09:40:10,09:41:40,09:43:20,09:45:20,09:47:20,09:49:10,09:51:20,09:53:20,09:55:00,09:56:50,09:58:40,10:00:30,10:02:10,10:03:50,10:05:20,10:07:10,10:08:50,10:10:30,10:12:10,10:14:20,10:16:00,10:17:30,10:19:40,10:21:20,10:23:10,00:00:00,
6069,09:30:30,09:43:30,09:32:30,09:34:30,09:36:20,09:39:10,09:41:00,09:45:10,09:46:50,09:48:50,09:50:40,09:52:20,09:54:10,09:56:10,09:57:40,09:59:20,10:01:20,10:03:20,10:05:10,10:07:20,10:09:20,10:11:00,10:12:50,10:14:40,10:16:30,10:18:10,10:19:50,10:21:20,10:23:10,10:24:50,10:26:30,10:28:10,10:30:20,10:32:00,10:33:30,10:35:40,10:37:20,10:39:10,10:41:00,
6067,09:22:30,09:35:30,09:24:30,09:26:30,09:28:20,09:31:10,09:33:00,09:37:10,09:38:50,09:40:50,09:42:40,09:44:20,09:46:10,09:48:10,09:49:40,09:51:20,09:53:20,09:55:20,09:57:10,09:59:20,10:01:20,10:03:00,10:04:50,10:06:40,10:08:30,10:10:10,10:11:50,10:13:20,10:15:10,10:16:50,10:18:30,10:20:10,10:22:20,10:24:00,10:25:30,10:27:40,10:29:20,10:31:10,00:00:00,
6071,09:38:30,09:51:30,09:40:30,09:42:30,09:44:20,09:47:10,09:49:00,09:53:10,09:54:50,09:56:50,09:58:40,10:00:20,10:02:10,10:04:10,10:05:40,10:07:20,10:09:20,10:11:20,10:13:10,10:15:20,10:17:20,10:19:00,10:20:50,10:22:40,10:24:30,10:26:10,10:27:50,10:29:20,10:31:10,10:32:50,10:34:30,10:36:10,10:38:20,10:40:00,10:41:30,10:43:40,10:45:20,10:47:10,00:00:00,
6069,09:30:30,09:43:30,09:32:30,09:34:30,09:36:20,09:39:10,09:41:00,09:45:10,09:46:50,09:48:50,09:50:40,09:52:20,09:54:10,09:56:10,09:57:40,09:59:20,10:01:20,10:03:20,10:05:10,10:07:20,10:09:20,10:11:00,10:12:50,10:14:40,10:16:30,10:18:10,10:19:50,10:21:20,10:23:10,10:24:50,10:26:30,10:28:10,10:30:20,10:32:00,10:33:30,10:35:40,10:37:20,10:39:10,10:41:00,
6073,09:46:30,09:59:30,09:48:30,09:50:30,09:52:20,09:55:10,09:57:00,10:01:10,10:02:50,10:04:50,10:06:40,10:08:20,10:10:10,10:12:10,10:13:40,10:15:20,10:17:20,10:19:20,10:21:10,10:23:20,10:25:20,10:27:00,10:28:50,10:30:40,10:32:30,10:34:10,10:35:50,10:37:20,10:39:10,10:40:50,10:42:30,10:44:10,10:46:20,10:48:00,10:49:30,10:51:40,10:53:20,10:55:10,00:00:00,
6071,09:38:30,09:51:30,09:40:30,09:42:30,09:44:20,09:47:10,09:49:00,09:53:10,09:54:50,09:56:50,09:58:40,10:00:20,10:02:10,10:04:10,10:05:40,10:07:20,10:09:20,10:11:20,10:13:10,10:15:20,10:17:20,10:19:00,10:20:50,10:22:40,10:24:30,10:26:10,10:27:50,10:29:20,10:31:10,10:32:50,10:34:30,10:36:10,10:38:20,10:40:00,10:41:30,10:43:40,10:45:20,10:47:10,00:00:00,
6075,09:54:30,10:07:30,09:56:30,09:58:30,10:00:20,10:03:10,10:05:00,10:09:10,10:10:50,10:12:50,10:14:40,10:16:20,10:18:10,10:20:10,10:21:40,10:23:20,10:25:20,10:27:20,10:29:10,10:31:20,10:33:20,10:35:00,10:36:50,10:38:40,10:40:30,10:42:10,10:43:50,10:45:20,10:47:10,10:48:50,10:50:30,10:52:10,10:54:20,10:56:00,10:57:30,10:59:40,11:01:20,11:03:10,11:05:00,
6073,09:46:30,09:59:30,09:48:30,09:50:30,09:52:20,09:55:10,09:57:00,10:01:10,10:02:50,10:04:50,10:06:40,10:08:20,10:10:10,10:12:10,10:13:40,10:15:20,10:17:20,10:19:20,10:21:10,10:23:20,10:25:20,10:27:00,10:28:50,10:30:40,10:32:30,10:34:10,10:35:50,10:37:20,10:39:10,10:40:50,10:42:30,10:44:10,10:46:20,10:48:00,10:49:30,10:51:40,10:53:20,10:55:10,00:00:00,
6077,10:02:30,10:15:30,10:04:30,10:06:30,10:08:20,10:11:10,10:13:00,10:17:10,10:18:50,10:20:50,10:22:40,10:24:20,10:26:10,10:28:10,10:29:40,10:31:20,10:33:20,10:35:20,10:37:10,10:39:20,10:41:20,10:43:00,10:44:50,10:46:40,10:48:30,10:50:10,10:51:50,10:53:20,10:55:10,10:56:50,10:58:30,11:00:10,11:02:20,11:04:00,11:05:30,11:07:40,11:09:20,11:11:10,00:00:00,
6075,09:54:30,10:07:30,09:56:30,09:58:30,10:00:20,10:03:10,10:05:00,10:09:10,10:10:50,10:12:50,10:14:40,10:16:20,10:18:10,10:20:10,10:21:40,10:23:20,10:25:20,10:27:20,10:29:10,10:31:20,10:33:20,10:35:00,10:36:50,10:38:40,10:40:30,10:42:10,10:43:50,10:45:20,10:47:10,10:48:50,10:50:30,10:52:10,10:54:20,10:56:00,10:57:30,10:59:40,11:01:20,11:03:10,11:05:00,
6079,10:10:30,10:23:30,10:12:30,10:14:30,10:16:20,10:19:10,10:21:00,10:25:10,10:26:50,10:28:50,10:30:40,10:32:20,10:34:10,10:36:10,10:37:40,10:39:20,10:41:20,10:43:20,10:45:10,10:47:20,10:49:20,10:51:00,10:52:50,10:54:40,10:56:30,10:58:10,10:59:50,11:01:20,11:03:10,11:04:50,11:06:30,11:08:10,11:10:20,11:12:00,11:13:30,11:15:40,11:17:20,11:19:10,00:00:00,
6077,10:02:30,10:15:30,10:04:30,10:06:30,10:08:20,10:11:10,10:13:00,10:17:10,10:18:50,10:20:50,10:22:40,10:24:20,10:26:10,10:28:10,10:29:40,10:31:20,10:33:20,10:35:20,10:37:10,10:39:20,10:41:20,10:43:00,10:44:50,10:46:40,10:48:30,10:50:10,10:51:50,10:53:20,10:55:10,10:56:50,10:58:30,11:00:10,11:02:20,11:04:00,11:05:30,11:07:40,11:09:20,11:11:10,00:00:00,
6081,10:18:30,10:31:30,10:20:30,10:22:30,10:24:20,10:27:10,10:29:00,10:33:10,10:34:50,10:36:50,10:38:40,10:40:20,10:42:10,10:44:10,10:45:40,10:47:20,10:49:20,10:51:20,10:53:10,10:55:20,10:57:20,10:59:00,11:00:50,11:02:40,11:04:30,11:06:10,11:07:50,11:09:20,11:11:10,11:12:50,11:14:30,11:16:10,11:18:20,11:20:00,11:21:30,11:23:40,11:25:20,11:27:10,11:29:00,
6079,10:10:30,10:23:30,10:12:30,10:14:30,10:16:20,10:19:10,10:21:00,10:25:10,10:26:50,10:28:50,10:30:40,10:32:20,10:34:10,10:36:10,10:37:40,10:39:20,10:41:20,10:43:20,10:45:10,10:47:20,10:49:20,10:51:00,10:52:50,10:54:40,10:56:30,10:58:10,10:59:50,11:01:20,11:03:10,11:04:50,11:06:30,11:08:10,11:10:20,11:12:00,11:13:30,11:15:40,11:17:20,11:19:10,00:00:00,
6083,10:26:30,10:39:30,10:28:30,10:30:30,10:32:20,10:35:10,10:37:00,10:41:10,10:42:50,10:44:50,10:46:40,10:48:20,10:50:10,10:52:10,10:53:40,10:55:20,10:57:20,10:59:20,11:01:10,11:03:20,11:05:20,11:07:00,11:08:50,11:10:40,11:12:30,11:14:10,11:15:50,11:17:20,11:19:10,11:20:50,11:22:30,11:24:10,11:26:20,11:28:00,11:29:30,11:31:40,11:33:20,11:35:10,00:00:00,
6081,10:18:30,10:31:30,10:20:30,10:22:30,10:24:20,10:27:10,10:29:00,10:33:10,10:34:50,10:36:50,10:38:40,10:40:20,10:42:10,10:44:10,10:45:40,10:47:20,10:49:20,10:51:20,10:53:10,10:55:20,10:57:20,10:59:00,11:00:50,11:02:40,11:04:30,11:06:10,11:07:50,11:09:20,11:11:10,11:12:50,11:14:30,11:16:10,11:18:20,11:20:00,11:21:30,11:23:40,11:25:20,11:27:10,11:29:00,
6085,10:34:30,10:47:30,10:36:30,10:38:30,10:40:20,10:43:10,10:45:00,10:49:10,10:50:50,10:52:50,10:54:40,10:56:20,10:58:10,11:00:10,11:01:40,11:03:20,11:05:20,11:07:20,11:09:10,11:11:20,11:13:20,11:15:00,11:16:50,11:18:40,11:20:30,11:22:10,11:23:50,11:25:20,11:27:10,11:28:50,11:30:30,11:32:10,11:34:20,11:36:00,11:37:30,11:39:40,11:41:20,11:43:10,00:00:00,
6083,10:26:30,10:39:30,10:28:30,10:30:30,10:32:20,10:35:10,10:37:00,10:41:10,10:42:50,10:44:50,10:46:40,10:48:20,10:50:10,10:52:10,10:53:40,10:55:20,10:57:20,10:59:20,11:01:10,11:03:20,11:05:20,11:07:00,11:08:50,11:10:40,11:12:30,11:14:10,11:15:50,11:17:20,11:19:10,11:20:50,11:22:30,11:24:10,11:26:20,11:28:00,11:29:30,11:31:40,11:33:20,11:35:10,00:00:00,
6087,10:42:30,10:55:30,10:44:30,10:46:30,10:48:20,10:51:10,10:53:00,10:57:10,10:58:50,11:00:50,11:02:40,11:04:20,11:06:10,11:08:10,11:09:40,11:11:20,11:13:20,11:15:20,11:17:10,11:19:20,11:21:20,11:23:00,11:24:50,11:26:40,11:28:30,11:30:10,11:31:50,11:33:20,11:35:10,11:36:50,11:38:30,11:40:10,11:42:20,11:44:00,11:45:30,11:47:40,11:49:20,11:51:10,11:53:00,
6085,10:34:30,10:47:30,10:36:30,10:38:30,10:40:20,10:43:10,10:45:00,10:49:10,10:50:50,10:52:50,10:54:40,10:56:20,10:58:10,11:00:10,11:01:40,11:03:20,11:05:20,11:07:20,11:09:10,11:11:20,11:13:20,11:15:00,11:16:50,11:18:40,11:20:30,11:22:10,11:23:50,11:25:20,11:27:10,11:28:50,11:30:30,11:32:10,11:34:20,11:36:00,11:37:30,11:39:40,11:41:20,11:43:10,00:00:00,
6089,10:50:30,11:03:30,10:52:30,10:54:30,10:56:20,10:59:10,11:01:00,11:05:10,11:06:50,11:08:50,11:10:40,11:12:20,11:14:10,11:16:10,11:17:40,11:19:20,11:21:20,11:23:20,11:25:10,11:27:20,11:29:20,11:31:00,11:32:50,11:34:40,11:36:30,11:38:10,11:39:50,11:41:20,11:43:10,11:44:50,11:46:30,11:48:10,11:50:20,11:52:00,11:53:30,11:55:40,11:57:20,11:59:10,00:00:00,
6087,10:42:30,10:55:30,10:44:30,10:46:30,10:48:20,10:51:10,10:53:00,10:57:10,10:58:50,11:00:50,11:02:40,11:04:20,11:06:10,11:08:10,11:09:40,11:11:20,11:13:20,11:15:20,11:17:10,11:19:20,11:21:20,11:23:00,11:24:50,11:26:40,11:28:30,11:30:10,11:31:50,11:33:20,11:35:10,11:36:50,11:38:30,11:40:10,11:42:20,11:44:00,11:45:30,11:47:40,11:49:20,11:51:10,11:53:00,
6091,10:58:30,11:11:30,11:00:30,11:02:30,11:04:20,11:07:10,11:09:00,11:13:10,11:14:50,11:16:50,11:18:40,11:20:20,11:22:10,11:24:10,11:25:40,11:27:20,11:29:20,11:31:20,11:33:10,11:35:20,11:37:20,11:39:00,11:40:50,11:42:40,11:44:30,11:46:10,11:47:50,11:49:20,11:51:10,11:52:50,11:54:30,11:56:10,11:58:20,12:00:00,12:01:30,12:03:40,12:05:20,12:07:10,00:00:00,
6089,10:50:30,11:03:30,10:52:30,10:54:30,10:56:20,10:59:10,11:01:00,11:05:10,11:06:50,11:08:50,11:10:40,11:12:20,11:14:10,11:16:10,11:17:40,11:19:20,11:21:20,11:23:20,11:25:10,11:27:20,11:29:20,11:31:00,11:32:50,11:34:40,11:36:30,11:38:10,11:39:50,11:41:20,11:43:10,11:44:50,11:46:30,11:48:10,11:50:20,11:52:00,11:53:30,11:55:40,11:57:20,11:59:10,00:00:00,
6093,11:06:30,11:19:30,11:08:30,11:10:30,11:12:20,11:15:10,11:17:00,11:21:10,11:22:50,11:24:50,11:26:40,11:28:20,11:30:10,11:32:10,11:33:40,11:35:20,11:37:20,11:39:20,11:41:10,11:43:20,11:45:20,11:47:00,11:48:50,11:50:40,11:52:30,11:54:10,11:55:50,11:57:20,11:59:10,12:00:50,12:02:30,12:04:10,12:06:20,12:08:00,12:09:30,12:11:40,12:13:20,12:15:10,12:17:00,
6091,10:58:30,11:11:30,11:00:30,11:02:30,11:04:20,11:07:10,11:09:00,11:13:10,11:14:50,11:16:50,11:18:40,11:20:20,11:22:10,11:24:10,11:25:40,11:27:20,11:29:20,11:31:20,11:33:10,11:35:20,11:37:20,11:39:00,11:40:50,11:42:40,11:44:30,11:46:10,11:47:50,11:49:20,11:51:10,11:52:50,11:54:30,11:56:10,11:58:20,12:00:00,12:01:30,12:03:40,12:05:20,12:07:10,00:00:00,
6095,11:14:30,11:27:30,11:16:30,11:18:30,11:20:20,11:23:10,11:25:00,11:29:10,11:30:50,11:32:50,11:34:40,11:36:20,11:38:10,11:40:10,11:41:40,11:43:20,11:45:20,11:47:20,11:49:10,11:51:20,11:53:20,11:55:00,11:56:50,11:58:40,12:00:30,12:02:10,12:03:50,12:05:20,12:07:10,12:08:50,12:10:30,12:12:10,12:14:20,12:16:00,12:17:30,12:19:40,12:21:20,12:23:10,00:00:00,
6093,11:06:30,11:19:30,11:08:30,11:10:30,11:12:20,11:15:10,11:17:00,11:21:10,11:22:50,11:24:50,11:26:40,11:28:20,11:30:10,11:32:10,11:33:40,11:35:20,11:37:20,11:39:20,11:41:10,11:43:20,11:45:20,11:47:00,11:48:50,11:50:40,11:52:30,11:54:10,11:55:50,11:57:20,11:59:10,12:00:50,12:02:30,12:04:10,12:06:20,12:08:00,12:09:30,12:11:40,12:13:20,12:15:10,12:17:00,
6097,11:22:30,11:35:30,11:24:30,11:26:30,11:28:20,11:31:10,11:33:00,11:37:10,11:38:50,11:40:50,11:42:40,11:44:20,11:46:10,11:48:10,11:49:40,11:51:20,11:53:20,11:55:20,11:57:10,11:59:20,12:01:20,12:03:00,12:04:50,12:06:40,12:08:30,12:10:10,12:11:50,12:13:20,12:15:10,12:16:50,12:18:30,12:20:10,12:22:20,12:24:00,12:25:30,12:27:40,12:29:20,12:31:10,00:00:00,
6095,11:14:30,11:27:30,11:16:30,11:18:30,11:20:20,11:23:10,11:25:00,11:29:10,11:30:50,11:32:50,11:34:40,11:36:20,11:38:10,11:40:10,11:41:40,11:43:20,11:45:20,11:47:20,11:49:10,11:51:20,11:53:20,11:55:00,11:56:50,11:58:40,12:00:30,12:02:10,12:03:50,12:05:20,12:07:10,12:08:50,12:10:30,12:12:10,12:14:20,12:16:00,12:17:30,12:19:40,12:21:20,12:23:10,00:00:00,
6099,11:30:30,11:43:30,11:32:30,11:34:30,11:36:20,11:39:10,11:41:00,11:45:10,11:46:50,11:48:50,11:50:40,11:52:20,11:54:10,11:56:10,11:57:40,11:59:20,12:01:20,12:03:20,12:05:10,12:07:20,12:09:20,12:11:00,12:12:50,12:14:40,12:16:30,12:18:10,12:19:50,12:21:20,12:23:10,12:24:50,12:26:30,12:28:10,12:30:20,12:32:00,12:33:30,12:35:40,12:37:20,12:39:10,12:41:00,
6097,11:22:30,11:35:30,11:24:30,11:26:30,11:28:20,11:31:10,11:33:00,11:37:10,11:38:50,11:40:50,11:42:40,11:44:20,11:46:10,11:48:10,11:49:40,11:51:20,11:53:20,11:55:20,11:57:10,11:59:20,12:01:20,12:03:00,12:04:50,12:06:40,12:08:30,12:10:10,12:11:50,12:13:20,12:15:10,12:16:50,12:18:30,12:20:10,12:22:20,12:24:00,12:25:30,12:27:40,12:29:20,12:31:10,00:00:00,
6101,11:38:30,11:51:30,11:40:30,11:42:30,11:44:20,11:47:10,11:49:00,11:53:10,11:54:50,11:56:50,11:58:40,12:00:20,12:02:10,12:04:10,12:05:40,12:07:20,12:09:20,12:11:20,12:13:10,12:15:20,12:17:20,12:19:00,12:20:50,12:22:40,12:24:30,12:26:10,12:27:50,12:29:20,12:31:10,12:32:50,12:34:30,12:36:10,12:38:20,12:40:00,12:41:30,12:43:40,12:45:20,12:47:10,00:00:00,
6099,11:30:30,11:43:30,11:32:30,11:34:30,11:36:20,11:39:10,11:41:00,11:45:10,11:46:50,11:48:50,11:50:40,11:52:20,11:54:10,11:56:10,11:57:40,11:59:20,12:01:20,12:03:20,12:05:10,12:07:20,12:09:20,12:11:00,12:12:50,12:14:40,12:16:30,12:18:10,12:19:50,12:21:20,12:23:10,12:24:50,12:26:30,12:28:10,12:30:20,12:32:00,12:33:30,12:35:40,12:37:20,12:39:10,12:41:00,
6103,11:46:30,11:59:30,11:48:30,11:50:30,11:52:20,11:55:10,11:57:00,12:01:10,12:02:50,12:04:50,12:06:40,12:08:20,12:10:10,12:12:10,12:13:40,12:15:20,12:17:20,12:19:20,12:21:10,12:23:20,12:25:20,12:27:00,12:28:50,12:30:40,12:32:30,12:34:10,12:35:50,12:37:20,12:39:10,12:40:50,12:42:30,12:44:10,12:46:20,12:48:00,12:49:30,12:51:40,12:53:20,12:55:10,00:00:00,
6101,11:38:30,11:51:30,11:40:30,11:42:30,11:44:20,11:47:10,11:49:00,11:53:10,11:54:50,11:56:50,11:58:40,12:00:20,12:02:10,12:04:10,12:05:40,12:07:20,12:09:20,12:11:20,12:13:10,12:15:20,12:17:20,12:19:00,12:20:50,12:22:40,12:24:30,12:26:10,12:27:50,12:29:20,12:31:10,12:32:50,12:34:30,12:36:10,12:38:20,12:40:00,12:41:30,12:43:40,12:45:20,12:47:10,00:00:00,
6105,11:54:30,12:07:30,11:56:30,11:58:30,12:00:20,12:03:10,12:05:00,12:09:10,12:10:50,12:12:50,12:14:40,12:16:20,12:18:10,12:20:10,12:21:40,12:23:20,12:25:20,12:27:20,12:29:10,12:31:20,12:33:20,12:35:00,12:36:50,12:38:40,12:40:30,12:42:10,12:43:50,12:45:20,12:47:10,12:48:50,12:50:30,12:52:10,12:54:20,12:56:00,12:57:30,12:59:40,13:01:20,13:03:10,13:05:00,
6103,11:46:30,11:59:30,11:48:30,11:50:30,11:52:20,11:55:10,11:57:00,12:01:10,12:02:50,12:04:50,12:06:40,12:08:20,12:10:10,12:12:10,12:13:40,12:15:20,12:17:20,12:19:20,12:21:10,12:23:20,12:25:20,12:27:00,12:28:50,12:30:40,12:32:30,12:34:10,12:35:50,12:37:20,12:39:10,12:40:50,12:42:30,12:44:10,12:46:20,12:48:00,12:49:30,12:51:40,12:53:20,12:55:10,00:00:00,
6107,12:02:30,12:15:30,12:04:30,12:06:30,12:08:20,12:11:10,12:13:00,12:17:10,12:18:50,12:20:50,12:22:40,12:24:20,12:26:10,12:28:10,12:29:40,12:31:20,12:33:20,12:35:20,12:37:10,12:39:20,12:41:20,12:43:00,12:44:50,12:46:40,12:48:30,12:50:10,12:51:50,12:53:20,12:55:10,12:56:50,12:58:30,13:00:10,13:02:20,13:04:00,13:05:30,13:07:40,13:09:20,13:11:10,00:00:00,
6105,11:54:30,12:07:30,11:56:30,11:58:30,12:00:20,12:03:10,12:05:00,12:09:10,12:10:50,12:12:50,12:14:40,12:16:20,12:18:10,12:20:10,12:21:40,12:23:20,12:25:20,12:27:20,12:29:10,12:31:20,12:33:20,12:35:00,12:36:50,12:38:40,12:40:30,12:42:10,12:43:50,12:45:20,12:47:10,12:48:50,12:50:30,12:52:10,12:54:20,12:56:00,12:57:30,12:59:40,13:01:20,13:03:10,13:05:00,
6109,12:10:30,12:23:30,12:12:30,12:14:30,12:16:20,12:19:10,12:21:00,12:25:10,12:26:50,12:28:50,12:30:40,12:32:20,12:34:10,12:36:10,12:37:40,12:39:20,12:41:20,12:43:20,12:45:10,12:47:20,12:49:20,12:51:00,12:52:50,12:54:40,12:56:30,12:58:10,12:59:50,13:01:20,13:03:10,13:04:50,13:06:30,13:08:10,13:10:20,13:12:00,13:13:30,13:15:40,13:17:20,13:19:10,00:00:00,
6107,12:02:30,12:15:30,12:04:30,12:06:30,12:08:20,12:11:10,12:13:00,12:17:10,12:18:50,12:20:50,12:22:40,12:24:20,12:26:10,12:28:10,12:29:40,12:31:20,12:33:20,12:35:20,12:37:10,12:39:20,12:41:20,12:43:00,12:44:50,12:46:40,12:48:30,12:50:10,12:51:50,12:53:20,12:55:10,12:56:50,12:58:30,13:00:10,13:02:20,13:04:00,13:05:30,13:07:40,13:09:20,13:11:10,00:00:00,
6111,12:18:30,12:31:30,12:20:30,12:22:30,12:24:20,12:27:10,12:29:00,12:33:10,12:34:50,12:36:50,12:38:40,12:40:20,12:42:10,12:44:10,12:45:40,12:47:20,12:49:20,12:51:20,12:53:10,12:55:20,12:57:20,12:59:00,13:00:50,13:02:40,13:04:30,13:06:10,13:07:50,13:09:20,13:11:10,13:12:50,13:14:30,13:16:10,13:18:20,13:20:00,13:21:30,13:23:40,13:25:20,13:27:10,13:29:00,
6109,12:10:30,12:23:30,12:12:30,12:14:30,12:16:20,12:19:10,12:21:00,12:25:10,12:26:50,12:28:50,12:30:40,12:32:20,12:34:10,12:36:10,12:37:40,12:39:20,12:41:20,12:43:20,12:45:10,12:47:20,12:49:20,12:51:00,12:52:50,12:54:40,12:56:30,12:58:10,12:59:50,13:01:20,13:03:10,13:04:50,13:06:30,13:08:10,13:10:20,13:12:00,13:13:30,13:15:40,13:17:20,13:19:10,00:00:00,
6113,12:26:30,12:39:30,12:28:30,12:30:30,12:32:20,12:35:10,12:37:00,12:41:10,12:42:50,12:44:50,12:46:40,12:48:20,12:50:10,12:52:10,12:53:40,12:55:20,12:57:20,12:59:20,13:01:10,13:03:20,13:05:20,13:07:00,13:08:50,13:10:40,13:12:30,13:14:10,13:15:50,13:17:20,13:19:10,13:20:50,13:22:30,13:24:10,13:26:20,13:28:00,13:29:30,13:31:40,13:33:20,13:35:10,00:00:00,
6111,12:18:30,12:31:30,12:20:30,12:22:30,12:24:20,12:27:10,12:29:00,12:33:10,12:34:50,12:36:50,12:38:40,12:40:20,12:42:10,12:44:10,12:45:40,12:47:20,12:49:20,12:51:20,12:53:10,12:55:20,12:57:20,12:59:00,13:00:50,13:02:40,13:04:30,13:06:10,13:07:50,13:09:20,13:11:10,13:12:50,13:14:30,13:16:10,13:18:20,13:20:00,13:21:30,13:23:40,13:25:20,13:27:10,13:29:00,
6115,12:34:30,12:47:30,12:36:30,12:38:30,12:40:20,12:43:10,12:45:00,12:49:10,12:50:50,12:52:50,12:54:40,12:56:20,12:58:10,13:00:10,13:01:40,13:03:20,13:05:20,13:07:20,13:09:10,13:11:20,13:13:20,13:15:00,13:16:50,13:18:40,13:20:30,13:22:10,13:23:50,13:25:20,13:27:10,13:28:50,13:30:30,13:32:10,13:34:20,13:36:00,13:37:30,13:39:40,13:41:20,13:43:10,00:00:00,
6113,12:26:30,12:39:30,12:28:30,12:30:30,12:32:20,12:35:10,12:37:00,12:41:10,12:42:50,12:44:50,12:46:40,12:48:20,12:50:10,12:52:10,12:53:40,12:55:20,12:57:20,12:59:20,13:01:10,13:03:20,13:05:20,13:07:00,13:08:50,13:10:40,13:12:30,13:14:10,13:15:50,13:17:20,13:19:10,13:20:50,13:22:30,13:24:10,13:26:20,13:28:00,13:29:30,13:31:40,13:33:20,13:35:10,00:00:00,
6117,12:42:30,12:55:30,12:44:30,12:46:30,12:48:20,12:51:10,12:53:00,12:57:10,12:58:50,13:00:50,13:02:40,13:04:20,13:06:10,13:08:10,13:09:40,13:11:20,13:13:20,13:15:20,13:17:10,13:19:20,13:21:20,13:23:00,13:24:50,13:26:40,13:28:30,13:30:10,13:31:50,13:33:20,13:35:10,13:36:50,13:38:30,13:40:10,13:42:20,13:44:00,13:45:30,13:47:40,13:49:20,13:51:10,13:53:00,
6115,12:34:30,12:47:30,12:36:30,12:38:30,12:40:20,12:43:10,12:45:00,12:49:10,12:50:50,12:52:50,12:54:40,12:56:20,12:58:10,13:00:10,13:01:40,13:03:20,13:05:20,13:07:20,13:09:10,13:11:20,13:13:20,13:15:00,13:16:50,13:18:40,13:20:30,13:22:10,13:23:50,13:25:20,13:27:10,13:28:50,13:30:30,13:32:10,13:34:20,13:36:00,13:37:30,13:39:40,13:41:20,13:43:10,00:00:00,
6119,12:50:30,13:03:30,12:52:30,12:54:30,12:56:20,12:59:10,13:01:00,13:05:10,13:06:50,13:08:50,13:10:40,13:12:20,13:14:10,13:16:10,13:17:40,13:19:20,13:21:20,13:23:20,13:25:10,13:27:20,13:29:20,13:31:00,13:32:50,13:34:40,13:36:30,13:38:10,13:39:50,13:41:20,13:43:10,13:44:50,13:46:30,13:48:10,13:50:20,13:52:00,13:53:30,13:55:40,13:57:20,13:59:10,00:00:00,
6117,12:42:30,12:55:30,12:44:30,12:46:30,12:48:20,12:51:10,12:53:00,12:57:10,12:58:50,13:00:50,13:02:40,13:04:20,13:06:10,13:08:10,13:09:40,13:11:20,13:13:20,13:15:20,13:17:10,13:19:20,13:21:20,13:23:00,13:24:50,13:26:40,13:28:30,13:30:10,13:31:50,13:33:20,13:35:10,13:36:50,13:38:30,13:40:10,13:42:20,13:44:00,13:45:30,13:47:40,13:49:20,13:51:10,13:53:00,
6121,12:58:30,13:11:30,13:00:30,13:02:30,13:04:20,13:07:10,13:09:00,13:13:10,13:14:50,13:16:50,13:18:40,13:20:20,13:22:10,13:24:10,13:25:40,13:27:20,13:29:20,13:31:20,13:33:10,13:35:20,13:37:20,13:39:00,13:40:50,13:42:40,13:44:30,13:46:10,13:47:50,13:49:20,13:51:10,13:52:50,13:54:30,13:56:10,13:58:20,14:00:00,14:01:30,14:03:40,14:05:20,14:07:10,00:00:00,
6119,12:50:30,13:03:30,12:52:30,12:54:30,12:56:20,12:59:10,13:01:00,13:05:10,13:06:50,13:08:50,13:10:40,13:12:20,13:14:10,13:16:10,13:17:40,13:19:20,13:21:20,13:23:20,13:25:10,13:27:20,13:29:20,13:31:00,13:32:50,13:34:40,13:36:30,13:38:10,13:39:50,13:41:20,13:43:10,13:44:50,13:46:30,13:48:10,13:50:20,13:52:00,13:53:30,13:55:40,13:57:20,13:59:10,00:00:00,
6123,13:06:30,13:19:30,13:08:30,13:10:30,13:12:20,13:15:10,13:17:00,13:21:10,13:22:50,13:24:50,13:26:40,13:28:20,13:30:10,13:32:10,13:33:40,13:35:20,13:37:20,13:39:20,13:41:10,13:43:20,13:45:20,13:47:00,13:48:50,13:50:40,13:52:30,13:54:10,13:55:50,13:57:20,13:59:10,14:00:50,14:02:30,14:04:10,14:06:20,14:08:00,14:09:30,14:11:40,14:13:20,14:15:10,14:17:00,
6121,12:58:30,13:11:30,13:00:30,13:02:30,13:04:20,13:07:10,13:09:00,13:13:10,13:14:50,13:16:50,13:18:40,13:20:20,13:22:10,13:24:10,13:25:40,13:27:20,13:29:20,13:31:20,13:33:10,13:35:20,13:37:20,13:39:00,13:40:50,13:42:40,13:44:30,13:46:10,13:47:50,13:49:20,13:51:10,13:52:50,13:54:30,13:56:10,13:58:20,14:00:00,14:01:30,14:03:40,14:05:20,14:07:10,00:00:00,
6125,13:14:30,13:27:30,13:16:30,13:18:30,13:20:20,13:23:10,13:25:00,13:29:10,13:30:50,13:32:50,13:34:40,13:36:20,13:38:10,13:40:10,13:41:40,13:43:20,13:45:20,13:47:20,13:49:10,13:51:20,13:53:20,13:55:00,13:56:50,13:58:40,14:00:30,14:02:10,14:03:50,14:05:20,14:07:10,14:08:50,14:10:30,14:12:10,14:14:20,14:16:00,14:17:30,14:19:40,14:21:20,14:23:10,00:00:00,
