Train No,암사,천호,강동구청,몽촌토성,잠실,석촌,송파,가락시장,문정,장지,복정,산성,남한산성입구,단대오거리,신흥,수진,모란,
8003,05:30:00,05:32:20,05:34:10,05:36:40,05:38:30,05:41:00,05:42:40,05:44:30,05:46:00,05:47:30,05:49:20,05:52:50,05:55:30,05:57:10,05:58:40,06:00:10,00:00:00,
8005,05:40:00,05:42:10,05:44:00,05:46:30,05:48:30,05:50:50,05:52:30,05:54:20,05:55:50,05:57:20,05:59:10,06:02:40,06:05:20,06:07:00,06:08:30,06:10:00,00:00:00,
8007,05:50:00,05:52:10,05:54:00,05:56:30,05:58:30,06:00:50,06:02:30,06:04:20,06:05:50,06:07:20,06:09:10,06:12:40,06:15:20,06:17:00,06:18:30,06:20:00,00:00:00,
8009,06:00:00,06:02:10,06:04:00,06:06:30,06:08:30,06:10:50,06:12:30,06:14:20,06:15:50,06:17:20,06:19:10,06:22:40,06:25:20,06:27:00,06:28:30,06:30:00,00:00:00,
8011,06:10:00,06:12:10,06:14:00,06:16:30,06:18:30,06:20:50,06:22:30,06:24:20,06:25:50,06:27:20,06:29:10,06:32:40,06:35:20,06:37:00,06:38:30,06:40:00,00:00:00,
8013,06:20:00,06:22:10,06:24:00,06:26:30,06:28:30,06:30:50,06:32:30,06:34:20,06:35:50,06:37:20,06:39:10,06:42:40,06:45:20,06:47:00,06:48:30,06:50:00,00:00:00,
8015,06:29:00,06:31:10,06:33:00,06:35:30,06:37:30,06:39:50,06:41:30,06:43:20,06:44:50,06:46:20,06:48:10,06:51:40,06:54:20,06:56:00,06:57:30,06:59:00,00:00:00,
8017,06:38:00,06:40:10,06:42:00,06:44:30,06:46:30,06:48:50,06:50:30,06:52:20,06:53:50,06:55:20,06:57:10,07:00:40,07:03:20,07:05:00,07:06:30,07:08:00,00:00:00,
8019,06:47:00,06:49:10,06:51:00,06:53:30,06:55:30,06:57:50,06:59:30,07:01:20,07:02:50,07:04:20,07:06:10,07:09:40,07:12:20,07:14:00,07:15:30,07:17:00,00:00:00,
8021,06:55:00,06:57:10,06:59:00,07:01:30,07:03:30,07:05:50,07:07:30,07:09:20,07:10:50,07:12:20,07:14:10,07:17:40,07:20:20,07:22:00,07:23:30,07:25:00,00:00:00,
8023,07:02:00,07:04:10,07:06:00,07:08:30,07:10:30,07:12:50,07:14:30,07:16:20,07:17:50,07:19:20,07:21:10,07:24:40,07:27:20,07:29:00,07:30:30,07:32:00,00:00:00,
8025,07:08:00,07:10:10,07:12:10,07:14:40,07:16:40,07:19:00,07:20:40,07:22:30,07:24:00,07:25:40,07:27:30,07:31:00,07:33:50,07:35:30,07:37:00,07:38:30,00:00:00,
8027,07:14:00,07:16:10,07:18:10,07:20:40,07:22:40,07:25:00,07:26:40,07:28:30,07:30:00,07:31:40,07:33:30,07:37:00,07:39:50,07:41:30,07:43:00,07:44:30,00:00:00,
8029,07:20:00,07:22:10,07:24:10,07:26:40,07:28:40,07:31:00,07:32:40,07:34:30,07:36:00,07:37:40,07:39:30,07:43:00,07:45:50,07:47:30,07:49:00,07:50:30,00:00:00,
8031,07:26:00,07:28:10,07:30:10,07:32:40,07:34:40,07:37:00,07:38:40,07:40:30,07:42:00,07:43:40,07:45:30,07:49:00,07:51:50,07:53:30,07:55:00,07:56:30,00:00:00,
8033,07:32:00,07:34:10,07:36:10,07:38:40,07:40:40,07:43:00,07:44:40,07:46:30,07:48:00,07:49:40,07:51:30,07:55:00,07:57:50,07:59:30,08:01:00,08:02:30,00:00:00,
8035,07:38:00,07:40:10,07:42:10,07:44:40,07:46:40,07:49:00,07:50:40,07:52:30,07:54:00,07:55:40,07:57:30,08:01:00,08:03:50,08:05:30,08:07:00,08:08:30,00:00:00,
