Train No,암사,천호,강동구청,몽촌토성,잠실,석촌,송파,가락시장,문정,장지,복정,산성,남한산성입구,단대오거리,신흥,수진,모란,
8296,00:00:00,24:03:20,24:01:10,23:58:40,23:57:00,23:54:30,23:52:50,23:51:20,23:49:50,23:48:20,23:46:50,23:43:20,23:40:40,23:39:00,23:37:20,23:35:50,23:34:00,
8294,00:00:00,23:51:00,23:48:50,23:46:20,23:44:40,23:42:10,23:40:30,23:38:50,23:37:00,23:35:30,23:34:00,23:30:20,23:27:40,23:26:00,23:24:20,23:22:50,23:21:00,
8292,00:00:00,23:38:00,23:35:50,23:33:20,23:31:40,23:29:10,23:27:30,23:25:50,23:24:00,23:22:30,23:21:00,23:17:20,23:14:40,23:13:00,23:11:20,23:09:50,23:08:00,
8290,00:00:00,23:26:00,23:23:50,23:21:20,23:19:40,23:17:10,23:15:30,23:13:50,23:12:00,23:10:30,23:09:00,23:05:20,23:02:40,23:01:00,22:59:20,22:57:50,22:56:00,
8288,00:00:00,23:13:00,23:10:50,23:08:20,23:06:40,23:04:10,23:02:30,23:00:50,22:59:00,22:57:30,22:56:00,22:52:20,22:49:40,22:48:00,22:46:20,22:44:50,22:43:00,
8286,00:00:00,23:00:00,22:57:50,22:55:20,22:53:40,22:51:10,22:49:30,22:47:50,22:46:00,22:44:30,22:43:00,22:39:20,22:36:40,22:35:00,22:33:20,22:31:50,22:30:00,
8284,00:00:00,22:49:00,22:47:00,22:44:30,22:42:50,22:40:10,22:38:30,22:36:50,22:35:00,22:33:30,22:32:00,22:28:20,22:25:40,22:24:00,22:22:20,22:20:50,22:19:00,
8282,00:00:00,22:39:00,22:37:00,22:34:30,22:32:50,22:30:10,22:28:30,22:26:50,22:25:00,22:23:30,22:22:00,22:18:20,22:15:40,22:14:00,22:12:20,22:10:50,22:09:00,
8280,00:00:00,22:30:00,22:28:00,22:25:30,22:23:50,22:21:10,22:19:30,22:17:50,22:16:00,22:14:30,22:13:00,22:09:20,22:06:40,22:05:00,22:03:20,22:01:50,22:00:00,
8278,00:00:00,22:22:00,22:20:00,22:17:30,22:15:50,22:13:10,22:11:30,22:09:50,22:08:00,22:06:30,22:05:00,22:01:20,21:58:40,21:57:00,21:55:20,21:53:50,21:52:00,
8276,00:00:00,22:14:00,22:12:00,22:09:30,22:07:50,22:05:10,22:03:30,22:01:50,22:00:00,21:58:30,21:57:00,21:53:20,21:50:40,21:49:00,21:47:20,21:45:50,21:44:00,
8274,00:00:00,22:05:00,22:03:00,22:00:30,21:58:50,21:56:10,21:54:30,21:52:50,21:51:00,21:49:30,21:48:00,21:44:20,21:41:40,21:40:00,21:38:20,21:36:50,21:35:00,
8272,00:00:00,21:56:00,21:54:00,21:51:30,21:49:50,21:47:10,21:45:30,21:43:50,21:42:00,21:40:30,21:39:00,21:35:20,21:32:40,21:31:00,21:29:20,21:27:50,21:26:00,
8270,00:00:00,21:47:00,21:45:00,21:42:30,21:40:50,21:38:10,21:36:30,21:34:50,21:33:00,21:31:30,21:30:00,21:26:20,21:23:40,21:22:00,21:20:20,21:18:50,21:17:00,
8268,00:00:00,21:38:00,21:36:00,21:33:30,21:31:50,21:29:10,21:27:30,21:25:50,21:24:00,21:22:30,21:21:00,21:17:20,21:14:40,21:13:00,21:11:20,21:09:50,21:08:00,
8266,00:00:00,21:30:00,21:28:00,21:25:30,21:23:50,21:21:10,21:19:30,21:17:50,21:16:00,21:14:30,21:13:00,21:09:20,21:06:40,21:05:00,21:03:20,21:01:50,21:00:00,
8264,00:00:00,21:22:00,21:20:00,21:17:30,21:15:50,21:13:10,21:11:30,21:09:50,21:08:00,21:06:30,21:05:00,21:01:20,20:58:40,20:57:00,20:55:20,20:53:50,20:52:00,
8262,00:00:00,21:14:00,21:12:00,21:09:30,21:07:50,21:05:10,21:03:30,21:01:50,21:00:00,20:58:30,20:57:00,20:53:20,20:50:40,20:49:00,20:47:20,20:45:50,20:44:00,
