Train No,암사,천호,강동구청,몽촌토성,잠실,석촌,송파,가락시장,문정,장지,복정,산성,남한산성입구,단대오거리,신흥,수진,모란,
8061,09:35:00,09:36:30,09:38:40,09:41:10,09:42:50,09:45:20,09:47:00,09:48:40,09:50:30,09:52:00,09:53:30,09:57:10,09:59:50,10:01:30,10:03:10,10:04:40,10:06:30,
8063,09:43:00,09:44:30,09:46:40,09:49:10,09:50:50,09:53:20,09:55:00,09:56:40,09:58:30,10:00:00,10:01:30,10:05:10,10:07:50,10:09:30,10:11:10,10:12:40,10:14:30,
8065,09:51:00,09:52:30,09:54:40,09:57:10,09:58:50,10:01:20,10:03:00,10:04:40,10:06:30,10:08:00,10:09:30,10:13:10,10:15:50,10:17:30,10:19:10,10:20:40,10:22:30,
8067,09:59:00,10:00:30,10:02:40,10:05:10,10:06:50,10:09:20,10:11:00,10:12:40,10:14:30,10:16:00,10:17:30,10:21:10,10:23:50,10:25:30,10:27:10,10:28:40,10:30:30,
8069,10:07:00,10:08:30,10:10:40,10:13:10,10:14:50,10:17:20,10:19:00,10:20:40,10:22:30,10:24:00,10:25:30,10:29:10,10:31:50,10:33:30,10:35:10,10:36:40,10:38:30,
8071,10:15:00,10:16:30,10:18:40,10:21:10,10:22:50,10:25:20,10:27:00,10:28:40,10:30:30,10:32:00,10:33:30,10:37:10,10:39:50,10:41:30,10:43:10,10:44:40,10:46:30,
8073,10:23:00,10:24:30,10:26:40,10:29:10,10:30:50,10:33:20,10:35:00,10:36:40,10:38:30,10:40:00,10:41:30,10:45:10,10:47:50,10:49:30,10:51:10,10:52:40,10:54:30,
8075,10:31:00,10:32:30,10:34:40,10:37:10,10:38:50,10:41:20,10:43:00,10:44:40,10:46:30,10:48:00,10:49:30,10:53:10,10:55:50,10:57:30,10:59:10,11:00:40,11:02:30,
8077,10:39:00,10:40:30,10:42:40,10:45:10,10:46:50,10:49:20,10:51:00,10:52:40,10:54:30,10:56:00,10:57:30,11:01:10,11:03:50,11:05:30,11:07:10,11:08:40,11:10:30,
8079,10:47:00,10:48:30,10:50:40,10:53:10,10:54:50,10:57:20,10:59:00,11:00:40,11:02:30,11:04:00,11:05:30,11:09:10,11:11:50,11:13:30,11:15:10,11:16:40,11:18:30,
8081,10:55:00,10:56:30,10:58:40,11:01:10,11:02:50,11:05:20,11:07:00,11:08:40,11:10:30,11:12:00,11:13:30,11:17:10,11:19:50,11:21:30,11:23:10,11:24:40,11:26:30,
8083,11:03:00,11:04:30,11:06:40,11:09:10,11:10:50,11:13:20,11:15:00,11:16:40,11:18:30,11:20:00,11:21:30,11:25:10,11:27:50,11:29:30,11:31:10,11:32:40,11:34:30,
8085,11:11:00,11:12:30,11:14:40,11:17:10,11:18:50,11:21:20,11:23:00,11:24:40,11:26:30,11:28:00,11:29:30,11:33:10,11:35:50,11:37:30,11:39:10,11:40:40,11:42:30,
8087,11:19:00,11:20:30,11:22:40,11:25:10,11:26:50,11:29:20,11:31:00,11:32:40,11:34:30,11:36:00,11:37:30,11:41:10,11:43:50,11:45:30,11:47:10,11:48:40,11:50:30,
8089,11:27:00,11:28:30,11:30:40,11:33:10,11:34:50,11:37:20,11:39:00,11:40:40,11:42:30,11:44:00,11:45:30,11:49:10,11:51:50,11:53:30,11:55:10,11:56:40,11:58:30,
8091,11:35:00,11:36:30,11:38:40,11:41:10,11:42:50,11:45:20,11:47:00,11:48:40,11:50:30,11:52:00,11:53:30,11:57:10,11:59:50,12:01:30,12:03:10,12:04:40,12:06:30,
8093,11:43:00,11:44:30,11:46:40,11:49:10,11:50:50,11:53:20,11:55:00,11:56:40,11:58:30,12:00:00,12:01:30,12:05:10,12:07:50,12:09:30,12:11:10,12:12:40,12:14:30,
8095,11:51:00,11:52:30,11:54:40,11:57:10,11:58:50,12:01:20,12:03:00,12:04:40,12:06:30,12:08:00,12:09:30,12:13:10,12:15:50,12:17:30,12:19:10,12:20:40,12:22:30,
8097,11:59:00,12:00:30,12:02:40,12:05:10,12:06:50,12:09:20,12:11:00,12:12:40,12:14:30,12:16:00,12:17:30,12:21:10,12:23:50,12:25:30,12:27:10,12:28:40,12:30:30,
8099,12:07:00,12:08:30,12:10:40,12:13:10,12:14:50,12:17:20,12:19:00,12:20:40,12:22:30,12:24:00,12:25:30,12:29:10,12:31:50,12:33:30,12:35:10,12:36:40,12:38:30,
8101,12:15:00,12:16:30,12:18:40,12:21:10,12:22:50,12:25:20,12:27:00,12:28:40,12:30:30,12:32:00,12:33:30,12:37:10,12:39:50,12:41:30,12:43:10,12:44:40,12:46:30,
8103,12:23:00,12:24:30,12:26:40,12:29:10,12:30:50,12:33:20,12:35:00,12:36:40,12:38:30,12:40:00,12:41:30,12:45:10,12:47:50,12:49:30,12:51:10,12:52:40,12:54:30,
8105,12:31:00,12:32:30,12:34:40,12:37:10,12:38:50,12:41:20,12:43:00,12:44:40,12:46:30,12:48:00,12:49:30,12:53:10,12:55:50,12:57:30,12:59:10,13:00:40,13:02:30,
8107,12:39:00,12:40:30,12:42:40,12:45:10,12:46:50,12:49:20,12:51:00,12:52:40,12:54:30,12:56:00,12:57:30,13:01:10,13:03:50,13:05:30,13:07:10,13:08:40,13:10:30,
8109,12:47:00,12:48:30,12:50:40,12:53:10,12:54:50,12:57:20,12:59:00,13:00:40,13:02:30,13:04:00,13:05:30,13:09:10,13:11:50,13:13:30,13:15:10,13:16:40,13:18:30,
8111,12:55:00,12:56:30,12:58:40,13:01:10,13:02:50,13:05:20,13:07:00,13:08:40,13:10:30,13:12:00,13:13:30,13:17:10,13:19:50,13:21:30,13:23:10,13:24:40,13:26:30,
8113,13:03:00,13:04:30,13:06:40,13:09:10,13:10:50,13:13:20,13:15:00,13:16:40,13:18:30,13:20:00,13:21:30,13:25:10,13:27:50,13:29:30,13:31:10,13:32:40,13:34:30,
8115,13:11:00,13:12:30,13:14:40,13:17:10,13:18:50,13:21:20,13:23:00,13:24:40,13:26:30,13:28:00,13:29:30,13:33:10,13:35:50,13:37:30,13:39:10,13:40:40,13:42:30,
8117,13:19:00,13:20:30,13:22:40,13:25:10,13:26:50,13:29:20,13:31:00,13:32:40,13:34:30,13:36:00,13:37:30,13:41:10,13:43:50,13:45:30,13:47:10,13:48:40,13:50:30,
8119,13:27:00,13:28:30,13:30:40,13:33:10,13:34:50,13:37:20,13:39:00,13:40:40,13:42:30,13:44:00,13:45:30,13:49:10,13:51:50,13:53:30,13:55:10,13:56:40,13:58:30,
8121,13:35:00,13:36:30,13:38:40,13:41:10,13:42:50,13:45:20,13:47:00,13:48:40,13:50:30,13:52:00,13:53:30,13:57:10,13:59:50,14:01:30,14:03:10,14:04:40,14:06:30,
8123,13:43:00,13:44:30,13:46:40,13:49:10,13:50:50,13:53:20,13:55:00,13:56:40,13:58:30,14:00:00,14:01:30,14:05:10,14:07:50,14:09:30,14:11:10,14:12:40,14:14:30,
8125,13:51:00,13:52:30,13:54:40,13:57:10,13:58:50,14:01:20,14:03:00,14:04:40,14:06:30,14:08:00,14:09:30,14:13:10,14:15:50,14:17:30,14:19:10,14:20:40,14:22:30,
8127,13:59:00,14:00:30,14:02:40,14:05:10,14:06:50,14:09:20,14:11:00,14:12:40,14:14:30,14:16:00,14:17:30,14:21:10,14:23:50,14:25:30,14:27:10,14:28:40,14:30:30,
8129,14:07:00,14:08:30,14:10:40,14:13:10,14:14:50,14:17:20,14:19:00,14:20:40,14:22:30,14:24:00,14:25:30,14:29:10,14:31:50,14:33:30,14:35:10,14:36:40,14:38:30,
8131,14:15:00,14:16:30,14:18:40,14:21:10,14:22:50,14:25:20,14:27:00,14:28:40,14:30:30,14:32:00,14:33:30,14:37:10,14:39:50,14:41:30,14:43:10,14:44:40,14:46:30,
8133,14:23:00,14:24:30,14:26:40,14:29:10,14:30:50,14:33:20,14:35:00,14:36:40,14:38:30,14:40:00,14:41:30,14:45:10,14:47:50,14:49:30,14:51:10,14:52:40,14:54:30,
8135,14:31:00,14:32:30,14:34:40,14:37:10,14:38:50,14:41:20,14:43:00,14:44:40,14:46:30,14:48:00,14:49:30,14:53:10,14:55:50,14:57:30,14:59:10,15:00:40,15:02:30,
8137,14:39:00,14:40:30,14:42:40,14:45:10,14:46:50,14:49:20,14:51:00,14:52:40,14:54:30,14:56:00,14:57:30,15:01:10,15:03:50,15:05:30,15:07:10,15:08:40,15:10:30,
8139,14:47:00,14:48:30,14:50:40,14:53:10,14:54:50,14:57:20,14:59:00,15:00:40,15:02:30,15:04:00,15:05:30,15:09:10,15:11:50,15:13:30,15:15:10,15:16:40,15:18:30,
8141,14:55:00,14:56:30,14:58:40,15:01:10,15:02:50,15:05:20,15:07:00,15:08:40,15:10:30,15:12:00,15:13:30,15:17:10,15:19:50,15:21:30,15:23:10,15:24:40,15:26:30,
8143,15:03:00,15:04:30,15:06:40,15:09:10,15:10:50,15:13:20,15:15:00,15:16:40,15:18:30,15:20:00,15:21:30,15:25:10,15:27:50,15:29:30,15:31:10,15:32:40,15:34:30,
8145,15:11:00,15:12:30,15:14:40,15:17:10,15:18:50,15:21:20,15:23:00,15:24:40,15:26:30,15:28:00,15:29:30,15:33:10,15:35:50,15:37:30,15:39:10,15:40:40,15:42:30,
8147,15:19:00,15:20:30,15:22:40,15:25:10,15:26:50,15:29:20,15:31:00,15:32:40,15:34:30,15:36:00,15:37:30,15:41:10,15:43:50,15:45:30,15:47:10,15:48:40,15:50:30,
8149,15:27:00,15:28:30,15:30:40,15:33:10,15:34:50,15:37:20,15:39:00,15:40:40,15:42:30,15:44:00,15:45:30,15:49:10,15:51:50,15:53:30,15:55:10,15:56:40,15:58:30,
8151,15:35:00,15:36:30,15:38:40,15:41:10,15:42:50,15:45:20,15:47:00,15:48:40,15:50:30,15:52:00,15:53:30,15:57:10,15:59:50,16:01:30,16:03:10,16:04:40,16:06:30,
8153,15:43:00,15:44:30,15:46:40,15:49:10,15:50:50,15:53:20,15:55:00,15:56:40,15:58:30,16:00:00,16:01:30,16:05:10,16:07:50,16:09:30,16:11:10,16:12:40,16:14:30,
8155,15:51:00,15:52:30,15:54:40,15:57:10,15:58:50,16:01:20,16:03:00,16:04:40,16:06:30,16:08:00,16:09:30,16:13:10,16:15:50,16:17:30,16:19:10,16:20:40,16:22:30,
8157,15:59:00,16:00:30,16:02:40,16:05:10,16:06:50,16:09:20,16:11:00,16:12:40,16:14:30,16:16:00,16:17:30,16:21:10,16:23:50,16:25:30,16:27:10,16:28:40,16:30:30,
8159,16:07:00,16:08:30,16:10:40,16:13:10,16:14:50,16:17:20,16:19:00,16:20:40,16:22:30,16:24:00,16:25:30,16:29:10,16:31:50,16:33:30,16:35:10,16:36:40,16:38:30,
8161,16:15:00,16:16:30,16:18:40,16:21:10,16:22:50,16:25:20,16:27:00,16:28:40,16:30:30,16:32:00,16:33:30,16:37:10,16:39:50,16:41:30,16:43:10,16:44:40,16:46:30,
8163,16:23:00,16:24:30,16:26:40,16:29:10,16:30:50,16:33:20,16:35:00,16:36:40,16:38:30,16:40:00,16:41:30,16:45:10,16:47:50,16:49:30,16:51:10,16:52:40,16:54:30,
8165,16:31:00,16:32:30,16:34:40,16:37:10,16:38:50,16:41:20,16:43:00,16:44:40,16:46:30,16:48:00,16:49:30,16:53:10,16:55:50,16:57:30,16:59:10,17:00:40,17:02:30,
8167,16:39:00,16:40:30,16:42:40,16:45:10,16:46:50,16:49:20,16:51:00,16:52:40,16:54:30,16:56:00,16:57:30,17:01:10,17:03:50,17:05:30,17:07:10,17:08:40,17:10:30,
8169,16:47:00,16:48:30,16:50:40,16:53:10,16:54:50,16:57:20,16:59:00,17:00:40,17:02:30,17:04:00,17:05:30,17:09:10,17:11:50,17:13:30,17:15:10,17:16:40,17:18:30,
8171,16:55:00,16:56:30,16:58:40,17:01:10,17:02:50,17:05:20,17:07:00,17:08:40,17:10:30,17:12:00,17:13:30,17:17:10,17:19:50,17:21:30,17:23:10,17:24:40,17:26:30,
8173,17:03:00,17:04:30,17:06:40,17:09:10,17:10:50,17:13:20,17:15:00,17:16:40,17:18:30,17:20:00,17:21:30,17:25:10,17:27:50,17:29:30,17:31:10,17:32:40,17:34:30,
8175,17:11:00,17:12:30,17:14:40,17:17:10,17:18:50,17:21:20,17:23:00,17:24:40,17:26:30,17:28:00,17:29:30,17:33:10,17:35:50,17:37:30,17:39:10,17:40:40,17:42:30,
8177,17:19:00,17:20:30,17:22:40,17:25:10,17:26:50,17:29:20,17:31:00,17:32:40,17:34:30,17:36:00,17:37:30,17:41:10,17:43:50,17:45:30,17:47:10,17:48:40,17:50:30,
8179,17:27:00,17:28:30,17:30:40,17:33:10,17:34:50,17:37:20,17:39:00,17:40:40,17:42:30,17:44:00,17:45:30,17:49:10,17:51:50,17:53:30,17:55:10,17:56:40,17:58:30,
8181,17:35:00,17:36:30,17:38:40,17:41:10,17:42:50,17:45:20,17:47:00,17:48:40,17:50:30,17:52:00,17:53:30,17:57:10,17:59:50,18:01:30,18:03:10,18:04:40,18:06:30,
8183,17:43:00,17:44:30,17:46:40,17:49:10,17:50:50,17:53:20,17:55:00,17:56:40,17:58:30,18:00:00,18:01:30,18:05:10,18:07:50,18:09:30,18:11:10,18:12:40,18:14:30,
8185,17:51:00,17:52:30,17:54:40,17:57:10,17:58:50,18:01:20,18:03:00,18:04:40,18:06:30,18:08:00,18:09:30,18:13:10,18:15:50,18:17:30,18:19:10,18:20:40,18:22:30,
8187,17:59:00,18:00:30,18:02:40,18:05:10,18:06:50,18:09:20,18:11:00,18:12:40,18:14:30,18:16:00,18:17:30,18:21:10,18:23:50,18:25:30,18:27:10,18:28:40,18:30:30,
8189,18:07:00,18:08:30,18:10:40,18:13:10,18:14:50,18:17:20,18:19:00,18:20:40,18:22:30,18:24:00,18:25:30,18:29:10,18:31:50,18:33:30,18:35:10,18:36:40,18:38:30,
8191,18:15:00,18:16:30,18:18:40,18:21:10,18:22:50,18:25:20,18:27:00,18:28:40,18:30:30,18:32:00,18:33:30,18:37:10,18:39:50,18:41:30,18:43:10,18:44:40,18:46:30,
8193,18:23:00,18:24:30,18:26:40,18:29:10,18:30:50,18:33:20,18:35:00,18:36:40,18:38:30,18:40:00,18:41:30,18:45:10,18:47:50,18:49:30,18:51:10,18:52:40,18:54:30,
8195,18:31:00,18:32:30,18:34:40,18:37:10,18:38:50,18:41:20,18:43:00,18:44:40,18:46:30,18:48:00,18:49:30,18:53:10,18:55:50,18:57:30,18:59:10,19:00:40,19:02:30,
8197,18:39:00,18:40:30,18:42:40,18:45:10,18:46:50,18:49:20,18:51:00,18:52:40,18:54:30,18:56:00,18:57:30,19:01:10,19:03:50,19:05:30,19:07:10,19:08:40,19:10:30,
8199,18:47:00,18:48:30,18:50:40,18:53:10,18:54:50,18:57:20,18:59:00,19:00:40,19:02:30,19:04:00,19:05:30,19:09:10,19:11:50,19:13:30,19:15:10,19:16:40,19:18:30,
8201,18:55:00,18:56:30,18:58:40,19:01:10,19:02:50,19:05:20,19:07:00,19:08:40,19:10:30,19:12:00,19:13:30,19:17:10,19:19:50,19:21:30,19:23:10,19:24:40,19:26:30,
8203,19:03:00,19:04:30,19:06:40,19:09:10,19:10:50,19:13:20,19:15:00,19:16:40,19:18:30,19:20:00,19:21:30,19:25:10,19:27:50,19:29:30,19:31:10,19:32:40,19:34:30,
8205,19:11:00,19:12:30,19:14:40,19:17:10,19:18:50,19:21:20,19:23:00,19:24:40,19:26:30,19:28:00,19:29:30,19:33:10,19:35:50,19:37:30,19:39:10,19:40:40,19:42:30,
8207,19:19:00,19:20:30,19:22:40,19:25:10,19:26:50,19:29:20,19:31:00,19:32:40,19:34:30,19:36:00,19:37:30,19:41:10,19:43:50,19:45:30,19:47:10,19:48:40,19:50:30,
8209,19:27:00,19:28:30,19:30:40,19:33:10,19:34:50,19:37:20,19:39:00,19:40:40,19:42:30,19:44:00,19:45:30,19:49:10,19:51:50,19:53:30,19:55:10,19:56:40,19:58:30,
8211,19:35:00,19:36:30,19:38:40,19:41:10,19:42:50,19:45:20,19:47:00,19:48:40,19:50:30,19:52:00,19:53:30,19:57:10,19:59:50,20:01:30,20:03:10,20:04:40,20:06:30,
8213,19:43:00,19:44:30,19:46:40,19:49:10,19:50:50,19:53:20,19:55:00,19:56:40,19:58:30,20:00:00,20:01:30,20:05:10,20:07:50,20:09:30,20:11:10,20:12:40,20:14:30,
8215,19:51:00,19:52:30,19:54:40,19:57:10,19:58:50,20:01:20,20:03:00,20:04:40,20:06:30,20:08:00,20:09:30,20:13:10,20:15:50,20:17:30,20:19:10,20:20:40,20:22:30,
8217,19:59:00,20:00:30,20:02:40,20:05:10,20:06:50,20:09:20,20:11:00,20:12:40,20:14:30,20:16:00,20:17:30,20:21:10,20:23:50,20:25:30,20:27:10,20:28:40,20:30:30,
8219,20:07:00,20:08:30,20:10:40,20:13:10,20:14:50,20:17:20,20:19:00,20:20:40,20:22:30,20:24:00,20:25:30,20:29:10,20:31:50,20:33:30,20:35:10,20:36:40,20:38:30,
8221,20:15:00,20:16:30,20:18:40,20:21:10,20:22:50,20:25:20,20:27:00,20:28:40,20:30:30,20:32:00,20:33:30,20:37:10,20:39:50,20:41:30,20:43:10,20:44:40,20:46:30,
8223,20:23:00,20:24:30,20:26:40,20:29:10,20:30:50,20:33:20,20:35:00,20:36:40,20:38:30,20:40:00,20:41:30,20:45:10,20:47:50,20:49:30,20:51:10,20:52:40,20:54:30,
8225,20:31:00,20:32:30,20:34:40,20:37:10,20:38:50,20:41:20,20:43:00,20:44:40,20:46:30,20:48:00,20:49:30,20:53:10,20:55:50,20:57:30,20:59:10,21:00:40,21:02:30,
8227,20:39:00,20:40:30,20:42:40,20:45:10,20:46:50,20:49:20,20:51:00,20:52:40,20:54:30,20:56:00,20:57:30,21:01:10,21:03:50,21:05:30,21:07:10,21:08:40,21:10:30,
8229,20:47:00,20:48:30,20:50:40,20:53:10,20:54:50,20:57:20,20:59:00,21:00:40,21:02:30,21:04:00,21:05:30,21:09:10,21:11:50,21:13:30,21:15:10,21:16:40,21:18:30,
8231,20:55:00,20:56:30,20:58:40,21:01:10,21:02:50,21:05:20,21:07:00,21:08:40,21:10:30,21:12:00,21:13:30,21:17:10,21:19:50,21:21:30,21:23:10,21:24:40,21:26:30,
8233,21:03:00,21:04:30,21:06:40,21:09:10,21:10:50,21:13:20,21:15:00,21:16:40,21:18:30,21:20:00,21:21:30,21:25:10,21:27:50,21:29:30,21:31:10,21:32:40,21:34:30,
8235,21:11:00,21:12:30,21:14:40,21:17:10,21:18:50,21:21:20,21:23:00,21:24:40,21:26:30,21:28:00,21:29:30,21:33:10,21:35:50,21:37:30,21:39:10,21:40:40,21:42:30,
8237,21:19:00,21:20:30,21:22:40,21:25:10,21:26:50,21:29:20,21:31:00,21:32:40,21:34:30,21:36:00,21:37:30,21:41:10,21:43:50,21:45:30,21:47:10,21:48:40,21:50:30,
