Train No,암사,천호,강동구청,몽촌토성,잠실,석촌,송파,가락시장,문정,장지,복정,산성,남한산성입구,단대오거리,신흥,수진,모란,
8003,05:30:00,05:32:20,05:34:10,05:36:40,05:38:30,05:41:00,05:42:40,05:44:30,05:46:00,05:47:30,05:49:20,05:52:50,05:55:30,05:57:10,05:58:40,06:00:10,00:00:00,
8005,05:40:00,05:42:20,05:44:10,05:46:40,05:48:30,05:50:50,05:52:30,05:54:20,05:55:50,05:57:20,05:59:10,06:02:40,06:05:20,06:07:00,06:08:30,06:10:00,00:00:00,
8007,05:50:00,05:52:20,05:54:10,05:56:40,05:58:30,06:00:50,06:02:30,06:04:20,06:05:50,06:07:20,06:09:10,06:12:40,06:15:20,06:17:00,06:18:30,06:20:00,00:00:00,
8009,06:00:00,06:02:20,06:04:10,06:06:40,06:08:30,06:10:50,06:12:30,06:14:20,06:15:50,06:17:20,06:19:10,06:22:40,06:25:20,06:27:00,06:28:30,06:30:00,00:00:00,
8011,06:10:00,06:12:20,06:14:10,06:16:40,06:18:30,06:20:50,06:22:30,06:24:20,06:25:50,06:27:20,06:29:10,06:32:40,06:35:20,06:37:00,06:38:30,06:40:00,00:00:00,
8013,06:20:00,06:22:20,06:24:10,06:26:40,06:28:30,06:30:50,06:32:30,06:34:20,06:35:50,06:37:20,06:39:10,06:42:40,06:45:20,06:47:00,06:48:30,06:50:00,00:00:00,
8015,06:29:00,06:31:20,06:33:10,06:35:40,06:37:30,06:39:50,06:41:30,06:43:20,06:44:50,06:46:20,06:48:10,06:51:40,06:54:20,06:56:00,06:57:30,06:59:00,00:00:00,
8017,06:38:00,06:40:20,06:42:10,06:44:40,06:46:30,06:48:50,06:50:30,06:52:20,06:53:50,06:55:20,06:57:10,07:00:40,07:03:20,07:05:00,07:06:30,07:08:00,00:00:00,
8019,06:47:00,06:49:20,06:51:10,06:53:40,06:55:30,06:57:50,06:59:30,07:01:20,07:02:50,07:04:20,07:06:10,07:09:40,07:12:20,07:14:00,07:15:30,07:17:00,00:00:00,
8021,06:55:00,06:57:20,06:59:10,07:01:40,07:03:30,07:05:50,07:07:30,07:09:20,07:10:50,07:12:20,07:14:10,07:17:40,07:20:20,07:22:00,07:23:30,07:25:00,00:00:00,
8023,07:03:00,07:05:20,07:07:10,07:09:40,07:11:30,07:13:50,07:15:30,07:17:20,07:18:50,07:20:20,07:22:10,07:25:40,07:28:20,07:30:00,07:31:30,07:33:00,00:00:00,
8025,07:11:00,07:13:20,07:15:10,07:17:40,07:19:30,07:21:50,07:23:30,07:25:20,07:26:50,07:28:20,07:30:10,07:33:40,07:36:20,07:38:00,07:39:30,07:41:00,00:00:00,
8027,07:19:00,07:21:20,07:23:10,07:25:40,07:27:30,07:29:50,07:31:30,07:33:20,07:34:50,07:36:20,07:38:10,07:41:40,07:44:20,07:46:00,07:47:30,07:49:00,00:00:00,
8029,07:27:00,07:29:20,07:31:10,07:33:40,07:35:30,07:37:50,07:39:30,07:41:20,07:42:50,07:44:20,07:46:10,07:49:40,07:52:20,07:54:00,07:55:30,07:57:00,00:00:00,
8031,07:35:00,07:37:20,07:39:10,07:41:40,07:43:30,07:45:50,07:47:30,07:49:20,07:50:50,07:52:20,07:54:10,07:57:40,08:00:20,08:02:00,08:03:30,08:05:00,00:00:00,
8033,07:43:00,07:45:20,07:47:10,07:49:40,07:51:30,07:53:50,07:55:30,07:57:20,07:58:50,08:00:20,08:02:10,08:05:40,08:08:20,08:10:00,08:11:30,08:13:00,00:00:00,
8035,07:51:00,07:53:20,07:55:10,07:57:40,07:59:30,08:01:50,08:03:30,08:05:20,08:06:50,08:08:20,08:10:10,08:13:40,08:16:20,08:18:00,08:19:30,08:21:00,00:00:00,
8037,07:59:00,08:01:20,08:03:10,08:05:40,08:07:30,08:09:50,08:11:30,08:13:20,08:14:50,08:16:20,08:18:10,08:21:40,08:24:20,08:26:00,08:27:30,08:29:00,00:00:00,
8039,08:07:00,08:09:20,08:11:10,08:13:40,08:15:30,08:17:50,08:19:30,08:21:20,08:22:50,08:24:20,08:26:10,08:29:40,08:32:20,08:34:00,08:35:30,08:37:00,00:00:00,
8041,08:15:00,08:17:20,08:19:10,08:21:40,08:23:30,08:25:50,08:27:30,08:29:20,08:30:50,08:32:20,08:34:10,08:37:40,08:40:20,08:42:00,08:43:30,08:45:00,00:00:00,
8043,08:23:00,08:25:20,08:27:10,08:29:40,08:31:30,08:33:50,08:35:30,08:37:20,08:38:50,08:40:20,08:42:10,08:45:40,08:48:20,08:50:00,08:51:30,08:53:00,00:00:00,
8045,08:31:00,08:33:20,08:35:10,08:37:40,08:39:30,08:41:50,08:43:30,08:45:20,08:46:50,08:48:20,08:50:10,08:53:40,08:56:20,08:58:00,08:59:30,09:01:00,00:00:00,
8047,08:39:00,08:41:20,08:43:10,08:45:40,08:47:30,08:49:50,08:51:30,08:53:20,08:54:50,08:56:20,08:58:10,09:01:40,09:04:20,09:06:00,09:07:30,09:09:00,00:00:00,
8049,08:47:00,08:49:20,08:51:10,08:53:40,08:55:30,08:57:50,08:59:30,09:01:20,09:02:50,09:04:20,09:06:10,09:09:40,09:12:20,09:14:00,09:15:30,09:17:00,00:00:00,
8051,08:55:00,08:57:20,08:59:10,09:01:40,09:03:30,09:05:50,09:07:30,09:09:20,09:10:50,09:12:20,09:14:10,09:17:40,09:20:20,09:22:00,09:23:30,09:25:00,00:00:00,
8053,09:03:00,09:05:20,09:07:10,09:09:40,09:11:30,09:13:50,09:15:30,09:17:20,09:18:50,09:20:20,09:22:10,09:25:40,09:28:20,09:30:00,09:31:30,09:33:00,00:00:00,
8055,09:11:00,09:13:20,09:15:10,09:17:40,09:19:30,09:21:50,09:23:30,09:25:20,09:26:50,09:28:20,09:30:10,09:33:40,09:36:20,09:38:00,09:39:30,09:41:00,00:00:00,
8057,09:19:00,09:21:20,09:23:10,09:25:40,09:27:30,09:29:50,09:31:30,09:33:20,09:34:50,09:36:20,09:38:10,09:41:40,09:44:20,09:46:00,09:47:30,09:49:00,00:00:00,
