line,name,between,accumulated
7,태릉입구,0.8,9.8
7,먹골,0.9,10.7
7,중화,0.9,11.6
7,상봉(시외버스터미널),1,12.6
7,면목,0.8,13.4
7,사가정,0.9,14.3
7,용마산(용마폭포공원),0.8,15.1
7,중곡,0.9,16
7,군자(능동),1.1,17.1
7,어린이대공원(세종대),1.1,18.2
7,건대입구,0.8,19
7,뚝섬유원지,1,20
7,청담,2,22
7,강남구청,1.1,23.1
7,학동,0.9,24
7,논현,1,25
7,반포,0.9,25.9
7,고속터미널,0.9,26.8
7,내방,2.2,29
7,이수,1,30
7,남성,1,31
7,숭실대입구(살피재),2,33
7,상도,0.9,33.9
7,장승배기,0.9,34.8
7,신대방삼거리,1.2,36
7,보라매,0.8,36.8
7,신풍,0.9,37.7
7,대림(구로구청),1.4,39.1
7,남구로,1.1,40.2
7,가산디지털단지,0.8,41
7,철산,1.4,42.4
7,광명사거리,1.3,43.7
7,천왕,1.7,45.4
7,온수(성공회대입구),1.5,46.9
7,까치울,2.2,49.1
7,부천종합운동장,1.2,50.3
7,춘의,0.9,51.2
7,신중동,1,52.2
7,부천시청,1.1,53.3
7,상동,0.9,54.2
7,삼산체육관,1.1,55.3
7,굴포천,0.9,56.2
7,부평구청,0.9,57.1
8,암사,0,0
8,천호(풍납토성),1.3,1.3
8,강동구청,0.9,2.2
8,몽촌토성(평화의문),1.6,3.8
8,잠실(송파구청),0.8,4.6
8,석촌,1.2,5.8
8,송파,0.9,6.7
8,가락시장,0.8,7.5
8,문정,0.9,8.4
8,장지,0.9,9.3
8,복정,0.9,10.2
8,산성,2.7,12.9
8,남한산성입구(성남법원검찰청),1.3,14.2
8,단대오거리,0.8,15
8,신흥,0.8,15.8
8,수진,0.9,16.7
8,모란,1,17.7
9,개화,0,0
9,김포공항,3.6,3.6
9,공항시장,0.8,4.4
9,신방화,0.8,5.2
9,마곡나루,0.9,6.1
9,양천향교,1.4,7.5
9,가양,1.3,8.8
9,증미,0.7,9.5
9,등촌,1,10.5
9,염창,0.9,11.4
9,신목동,0.9,12.3
9,선유도,1.2,13.5
9,당산,1,14.5
9,국회의사당,1.5,16
9,여의도,0.9,16.9
9,샛강,0.8,17.7
9,노량진,1.2,18.9
9,노들,1.1,20
9,흑석(중앙대입구),1.1,21.1
9,동작(현충원),1.4,22.5
9,구반포,1,23.5
9,신반포,0.7,24.2
9,고속터미널,0.8,25
9,사평,1.1,26.1
9,신논현,0.9,27
9,언주,1,28.3
9,선정릉,1,29.4
9,삼성중앙,1,30.4
9,봉은사,1,31.5
9,종합운동장,1,32.5
9,삼전,1,33.6
9,석촌고분,1,34.6
9,석촌,1,35.7
9,송파나루,1,36.7
9,한성백제,1,37.8
9,둔촌오륜,1,38.8
9,중앙보훈병원,1,39.9
