Train No., Line, Station Code, Station, U/D, Day Code, Departure Time, Arrival Time, Destination,
1,서울 2호선,방배,225,U,03,053730,053700,신설동,
2,서울 2호선,방배,225,U,03,055030,055000,신설동,
3,서울 2호선,방배,225,U,03,055730,055700,신설동,
4,서울 2호선,방배,225,U,03,060200,060130,신설동,
5,서울 2호선,방배,225,U,03,060930,060900,신설동,
6,서울 2호선,방배,225,U,03,061330,061300,신설동,
7,서울 2호선,방배,225,U,03,062130,062100,신설동,
8,서울 2호선,방배,225,U,03,062930,062900,신설동,
9,서울 2호선,방배,225,U,03,063700,063630,신설동,
10,서울 2호선,방배,225,U,03,064130,064100,신설동,
11,서울 2호선,방배,225,U,03,064730,064700,신설동,
12,서울 2호선,방배,225,U,03,065230,065200,신설동,
13,서울 2호선,방배,225,U,03,065800,065730,신설동,
14,서울 2호선,방배,225,U,03,070330,070300,신설동,
15,서울 2호선,방배,225,U,03,070730,070700,신설동,
16,서울 2호선,방배,225,U,03,071300,071230,신설동,
17,서울 2호선,방배,225,U,03,071900,071830,신설동,
18,서울 2호선,방배,225,U,03,072500,072430,신설동,
19,서울 2호선,방배,225,U,03,073100,073030,신설동,
20,서울 2호선,방배,225,U,03,073630,073600,신설동,
21,서울 2호선,방배,225,U,03,074200,074130,신설동,
22,서울 2호선,방배,225,U,03,074730,074700,신설동,
23,서울 2호선,방배,225,U,03,075300,075230,신설동,
24,서울 2호선,방배,225,U,03,075830,075800,신설동,
25,서울 2호선,방배,225,U,03,080330,080300,신설동,
26,서울 2호선,방배,225,U,03,080930,080900,신설동,
27,서울 2호선,방배,225,U,03,081530,081500,신설동,
28,서울 2호선,방배,225,U,03,082130,082100,신설동,
29,서울 2호선,방배,225,U,03,082700,082630,신설동,
30,서울 2호선,방배,225,U,03,083230,083200,신설동,
31,서울 2호선,방배,225,U,03,083800,083730,신설동,
32,서울 2호선,방배,225,U,03,084330,084300,신설동,
33,서울 2호선,방배,225,U,03,084930,084900,신설동,
34,서울 2호선,방배,225,U,03,085430,085400,신설동,
35,서울 2호선,방배,225,U,03,090000,085930,신설동,
36,서울 2호선,방배,225,U,03,090530,090500,신설동,
37,서울 2호선,방배,225,U,03,091100,091030,신설동,
