Train No., Line, Station Code, Station, U/D, Day Code, Departure Time, Arrival Time, Destination,
1,서울 2호선,교대,223,D,02,053730,053700,까치산,
2,서울 2호선,교대,223,D,02,055400,055330,까치산,
3,서울 2호선,교대,223,D,02,060400,060330,까치산,
4,서울 2호선,교대,223,D,02,061000,060930,까치산,
5,서울 2호선,교대,223,D,02,061600,061530,까치산,
6,서울 2호선,교대,223,D,02,062200,062130,까치산,
7,서울 2호선,교대,223,D,02,062800,062730,까치산,
8,서울 2호선,교대,223,D,02,063300,063230,까치산,
9,서울 2호선,교대,223,D,02,063800,063730,까치산,
10,서울 2호선,교대,223,D,02,064200,064130,까치산,
11,서울 2호선,교대,223,D,02,064700,064630,까치산,
12,서울 2호선,교대,223,D,02,065200,065130,까치산,
13,서울 2호선,교대,223,D,02,065800,065730,까치산,
14,서울 2호선,교대,223,D,02,070330,070300,까치산,
15,서울 2호선,교대,223,D,02,070900,070830,까치산,
16,서울 2호선,교대,223,D,02,071400,071330,까치산,
17,서울 2호선,교대,223,D,02,071800,071730,까치산,
18,서울 2호선,교대,223,D,02,072200,072130,까치산,
19,서울 2호선,교대,223,D,02,072600,072530,까치산,
20,서울 2호선,교대,223,D,02,073000,072930,까치산,
21,서울 2호선,교대,223,D,02,073400,073330,까치산,
22,서울 2호선,교대,223,D,02,073830,073800,까치산,
23,서울 2호선,교대,223,D,02,074300,074230,까치산,
24,서울 2호선,교대,223,D,02,074800,074730,까치산,
25,서울 2호선,교대,223,D,02,075430,075400,까치산,
26,서울 2호선,교대,223,D,02,075930,075900,까치산,
27,서울 2호선,교대,223,D,02,080530,080500,까치산,
28,서울 2호선,교대,223,D,02,081100,081030,까치산,
29,서울 2호선,교대,223,D,02,081500,081430,까치산,
30,서울 2호선,교대,223,D,02,081900,081830,까치산,
31,서울 2호선,교대,223,D,02,082300,082230,까치산,
32,서울 2호선,교대,223,D,02,082700,082630,까치산,
33,서울 2호선,교대,223,D,02,083100,083030,까치산,
34,서울 2호선,교대,223,D,02,083500,083430,까치산,
35,서울 2호선,교대,223,D,02,083900,083830,까치산,
36,서울 2호선,교대,223,D,02,084300,084230,까치산,
37,서울 2호선,교대,223,D,02,084700,084630,까치산,
38,서울 2호선,교대,223,D,02,085100,085030,까치산,
39,서울 2호선,교대,223,D,02,085500,085430,까치산,
40,서울 2호선,교대,223,D,02,085900,085830,까치산,
41,서울 2호선,교대,223,D,02,090300,090230,까치산,
42,서울 2호선,교대,223,D,02,090700,090630,까치산,
43,서울 2호선,교대,223,D,02,091100,091030,까치산,
44,서울 2호선,교대,223,D,02,091500,091430,까치산,
45,서울 2호선,교대,223,D,02,091900,091830,까치산,
46,서울 2호선,교대,223,D,02,092300,092230,까치산,
47,서울 2호선,교대,223,D,02,092700,092630,까치산,
48,서울 2호선,교대,223,D,02,093000,092930,까치산,
49,서울 2호선,교대,223,D,02,093430,093400,까치산,
50,서울 2호선,교대,223,D,02,093900,093830,까치산,
51,서울 2호선,교대,223,D,02,094300,094230,까치산,
52,서울 2호선,교대,223,D,02,094700,094630,까치산,
53,서울 2호선,교대,223,D,02,095200,095130,까치산,
54,서울 2호선,교대,223,D,02,095700,095630,까치산,
55,서울 2호선,교대,223,D,02,100200,100130,까치산,
56,서울 2호선,교대,223,D,02,100700,100630,까치산,
57,서울 2호선,교대,223,D,02,101200,101130,까치산,
58,서울 2호선,교대,223,D,02,101700,101630,까치산,
59,서울 2호선,교대,223,D,02,102200,102130,까치산,
60,서울 2호선,교대,223,D,02,102700,102630,까치산,
61,서울 2호선,교대,223,D,02,103200,103130,까치산,
62,서울 2호선,교대,223,D,02,103700,103630,까치산,
63,서울 2호선,교대,223,D,02,104200,104130,까치산,
64,서울 2호선,교대,223,D,02,104700,104630,까치산,
65,서울 2호선,교대,223,D,02,105200,105130,까치산,
66,서울 2호선,교대,223,D,02,105700,105630,까치산,
67,서울 2호선,교대,223,D,02,110200,110130,까치산,
68,서울 2호선,교대,223,D,02,110700,110630,까치산,
69,서울 2호선,교대,223,D,02,111330,111300,까치산,
70,서울 2호선,교대,223,D,02,111800,111730,까치산,
71,서울 2호선,교대,223,D,02,112330,112300,까치산,
72,서울 2호선,교대,223,D,02,112900,112830,까치산,
73,서울 2호선,교대,223,D,02,113430,113400,까치산,
74,서울 2호선,교대,223,D,02,114000,113930,까치산,
75,서울 2호선,교대,223,D,02,114500,114430,까치산,
76,서울 2호선,교대,223,D,02,115000,114930,까치산,
77,서울 2호선,교대,223,D,02,115500,115430,까치산,
78,서울 2호선,교대,223,D,02,120000,115930,까치산,
79,서울 2호선,교대,223,D,02,120500,120430,까치산,
80,서울 2호선,교대,223,D,02,121000,120930,까치산,
81,서울 2호선,교대,223,D,02,121500,121430,까치산,
82,서울 2호선,교대,223,D,02,122000,121930,까치산,
83,서울 2호선,교대,223,D,02,122500,122430,까치산,
84,서울 2호선,교대,223,D,02,123000,122930,까치산,
85,서울 2호선,교대,223,D,02,123500,123430,까치산,
86,서울 2호선,교대,223,D,02,124030,124000,까치산,
87,서울 2호선,교대,223,D,02,124600,124530,까치산,
88,서울 2호선,교대,223,D,02,125130,125100,까치산,
89,서울 2호선,교대,223,D,02,125700,125630,까치산,
90,서울 2호선,교대,223,D,02,130300,130230,까치산,
91,서울 2호선,교대,223,D,02,130800,130730,까치산,
92,서울 2호선,교대,223,D,02,131300,131230,까치산,
93,서울 2호선,교대,223,D,02,131800,131730,까치산,
94,서울 2호선,교대,223,D,02,132300,132230,까치산,
95,서울 2호선,교대,223,D,02,132800,132730,까치산,
96,서울 2호선,교대,223,D,02,133300,133230,까치산,
97,서울 2호선,교대,223,D,02,133800,133730,까치산,
98,서울 2호선,교대,223,D,02,134300,134230,까치산,
99,서울 2호선,교대,223,D,02,134800,134730,까치산,
100,서울 2호선,교대,223,D,02,135230,135200,까치산,
101,서울 2호선,교대,223,D,02,135830,135800,까치산,
102,서울 2호선,교대,223,D,02,140330,140300,까치산,
103,서울 2호선,교대,223,D,02,140830,140800,까치산,
104,서울 2호선,교대,223,D,02,141400,141330,까치산,
105,서울 2호선,교대,223,D,02,141930,141900,까치산,
106,서울 2호선,교대,223,D,02,142400,142330,까치산,
107,서울 2호선,교대,223,D,02,142800,142730,까치산,
108,서울 2호선,교대,223,D,02,143200,143130,까치산,
109,서울 2호선,교대,223,D,02,143600,143530,까치산,
110,서울 2호선,교대,223,D,02,144100,144030,까치산,
111,서울 2호선,교대,223,D,02,144700,144630,까치산,
112,서울 2호선,교대,223,D,02,145200,145130,까치산,
113,서울 2호선,교대,223,D,02,145700,145630,까치산,
114,서울 2호선,교대,223,D,02,150100,150030,까치산,
115,서울 2호선,교대,223,D,02,150500,150430,까치산,
