Train No., Line, Station Code, Station, U/D, Day Code, Departure Time, Arrival Time, Destination,
1,서울 2호선,삼성,219,D,01,053000,000000,까치산,
2,서울 2호선,삼성,219,D,01,054630,054600,까치산,
3,서울 2호선,삼성,219,D,01,055630,055600,까치산,
4,서울 2호선,삼성,219,D,01,060330,060300,까치산,
5,서울 2호선,삼성,219,D,01,061030,061000,까치산,
6,서울 2호선,삼성,219,D,01,061430,061400,까치산,
7,서울 2호선,삼성,219,D,01,062030,062000,까치산,
8,서울 2호선,삼성,219,D,01,062630,062600,까치산,
9,서울 2호선,삼성,219,D,01,063330,063300,까치산,
10,서울 2호선,삼성,219,D,01,063930,063900,까치산,
11,서울 2호선,삼성,219,D,01,064330,064300,까치산,
12,서울 2호선,삼성,219,D,01,064630,064600,까치산,
13,서울 2호선,삼성,219,D,01,065300,065230,까치산,
14,서울 2호선,삼성,219,D,01,065630,065600,까치산,
15,서울 2호선,삼성,219,D,01,070000,065930,까치산,
16,서울 2호선,삼성,219,D,01,070630,070600,까치산,
17,서울 2호선,삼성,219,D,01,071030,071000,까치산,
18,서울 2호선,삼성,219,D,01,071330,071300,까치산,
19,서울 2호선,삼성,219,D,01,071730,071700,까치산,
20,서울 2호선,삼성,219,D,01,072030,072000,까치산,
21,서울 2호선,삼성,219,D,01,072430,072400,까치산,
22,서울 2호선,삼성,219,D,01,072830,072800,까치산,
23,서울 2호선,삼성,219,D,01,073230,073200,까치산,
24,서울 2호선,삼성,219,D,01,073530,073500,까치산,
25,서울 2호선,삼성,219,D,01,073930,073900,까치산,
26,서울 2호선,삼성,219,D,01,074230,074200,까치산,
27,서울 2호선,삼성,219,D,01,074630,074600,까치산,
28,서울 2호선,삼성,219,D,01,074930,074900,까치산,
29,서울 2호선,삼성,219,D,01,075230,075200,까치산,
30,서울 2호선,삼성,219,D,01,075600,075530,까치산,
31,서울 2호선,삼성,219,D,01,075930,075900,까치산,
32,서울 2호선,삼성,219,D,01,080230,080200,까치산,
33,서울 2호선,삼성,219,D,01,080530,080500,까치산,
34,서울 2호선,삼성,219,D,01,080830,080800,까치산,
35,서울 2호선,삼성,219,D,01,081230,081200,까치산,
36,서울 2호선,삼성,219,D,01,081600,081530,까치산,
37,서울 2호선,삼성,219,D,01,081900,081830,까치산,
38,서울 2호선,삼성,219,D,01,082200,082130,까치산,
39,서울 2호선,삼성,219,D,01,082530,082500,까치산,
40,서울 2호선,삼성,219,D,01,082930,082900,까치산,
41,서울 2호선,삼성,219,D,01,083300,083230,까치산,
42,서울 2호선,삼성,219,D,01,083600,083530,까치산,
43,서울 2호선,삼성,219,D,01,083930,083900,까치산,
44,서울 2호선,삼성,219,D,01,084330,084300,까치산,
45,서울 2호선,삼성,219,D,01,084630,084600,까치산,
46,서울 2호선,삼성,219,D,01,085030,085000,까치산,
47,서울 2호선,삼성,219,D,01,085330,085300,까치산,
48,서울 2호선,삼성,219,D,01,085730,085700,까치산,
49,서울 2호선,삼성,219,D,01,090130,090100,까치산,
50,서울 2호선,삼성,219,D,01,090530,090500,까치산,
51,서울 2호선,삼성,219,D,01,090830,090800,까치산,
52,서울 2호선,삼성,219,D,01,091130,091100,까치산,
