Train No., Line, Station Code, Station, U/D, Day Code, Departure Time, Arrival Time, Destination,
1,서울 2호선,선릉,220,U,01,054800,054730,신설동,
2,서울 2호선,선릉,220,U,01,060130,060030,신설동,
3,서울 2호선,선릉,220,U,01,060730,060630,신설동,
4,서울 2호선,선릉,220,U,01,061330,061230,신설동,
5,서울 2호선,선릉,220,U,01,061930,061830,신설동,
6,서울 2호선,선릉,220,U,01,062500,062400,신설동,
7,서울 2호선,선릉,220,U,01,063030,062930,신설동,
8,서울 2호선,선릉,220,U,01,063530,063430,신설동,
9,서울 2호선,선릉,220,U,01,064100,064000,신설동,
10,서울 2호선,선릉,220,U,01,064530,064430,신설동,
11,서울 2호선,선릉,220,U,01,065000,064900,신설동,
12,서울 2호선,선릉,220,U,01,065430,065330,신설동,
13,서울 2호선,선릉,220,U,01,070000,065900,신설동,
14,서울 2호선,선릉,220,U,01,070500,070400,신설동,
15,서울 2호선,선릉,220,U,01,071000,070900,신설동,
16,서울 2호선,선릉,220,U,01,071500,071400,신설동,
17,서울 2호선,선릉,220,U,01,072000,071900,신설동,
18,서울 2호선,선릉,220,U,01,072500,072400,신설동,
19,서울 2호선,선릉,220,U,01,072900,072800,신설동,
20,서울 2호선,선릉,220,U,01,073500,073400,신설동,
21,서울 2호선,선릉,220,U,01,073900,073800,신설동,
22,서울 2호선,선릉,220,U,01,074200,074100,신설동,
23,서울 2호선,선릉,220,U,01,074500,074400,신설동,
24,서울 2호선,선릉,220,U,01,074800,074700,신설동,
25,서울 2호선,선릉,220,U,01,075030,074930,신설동,
26,서울 2호선,선릉,220,U,01,075330,075230,신설동,
27,서울 2호선,선릉,220,U,01,075630,075530,신설동,
28,서울 2호선,선릉,220,U,01,075930,075830,신설동,
29,서울 2호선,선릉,220,U,01,080230,080130,신설동,
30,서울 2호선,선릉,220,U,01,080530,080430,신설동,
31,서울 2호선,선릉,220,U,01,080800,080700,신설동,
32,서울 2호선,선릉,220,U,01,081030,080930,신설동,
33,서울 2호선,선릉,220,U,01,081300,081200,신설동,
34,서울 2호선,선릉,220,U,01,081530,081430,신설동,
35,서울 2호선,선릉,220,U,01,081800,081700,신설동,
36,서울 2호선,선릉,220,U,01,082030,081930,신설동,
37,서울 2호선,선릉,220,U,01,082300,082200,신설동,
38,서울 2호선,선릉,220,U,01,082530,082430,신설동,
39,서울 2호선,선릉,220,U,01,082800,082700,신설동,
40,서울 2호선,선릉,220,U,01,083030,082930,신설동,
41,서울 2호선,선릉,220,U,01,083300,083200,신설동,
42,서울 2호선,선릉,220,U,01,083530,083430,신설동,
43,서울 2호선,선릉,220,U,01,083800,083700,신설동,
44,서울 2호선,선릉,220,U,01,084030,083930,신설동,
45,서울 2호선,선릉,220,U,01,084300,084200,신설동,
46,서울 2호선,선릉,220,U,01,084530,084430,신설동,
47,서울 2호선,선릉,220,U,01,084800,084700,신설동,
48,서울 2호선,선릉,220,U,01,085030,084930,신설동,
49,서울 2호선,선릉,220,U,01,085300,085200,신설동,
50,서울 2호선,선릉,220,U,01,085530,085430,신설동,
51,서울 2호선,선릉,220,U,01,085800,085700,신설동,
52,서울 2호선,선릉,220,U,01,090200,090100,신설동,
53,서울 2호선,선릉,220,U,01,090430,090330,신설동,
54,서울 2호선,선릉,220,U,01,090730,090630,신설동,
55,서울 2호선,선릉,220,U,01,091100,091030,신설동,
56,서울 2호선,선릉,220,U,01,091430,091330,신설동,
57,서울 2호선,선릉,220,U,01,091730,091630,신설동,
58,서울 2호선,선릉,220,U,01,092000,091900,신설동,
59,서울 2호선,선릉,220,U,01,092230,092130,신설동,
60,서울 2호선,선릉,220,U,01,092530,092430,신설동,
61,서울 2호선,선릉,220,U,01,092830,092730,신설동,
62,서울 2호선,선릉,220,U,01,093130,093030,신설동,
63,서울 2호선,선릉,220,U,01,093700,093600,신설동,
64,서울 2호선,선릉,220,U,01,094000,093900,신설동,
65,서울 2호선,선릉,220,U,01,094230,094130,신설동,
66,서울 2호선,선릉,220,U,01,094500,094400,신설동,
67,서울 2호선,선릉,220,U,01,094730,094630,신설동,
68,서울 2호선,선릉,220,U,01,095200,095100,신설동,
69,서울 2호선,선릉,220,U,01,095430,095330,신설동,
70,서울 2호선,선릉,220,U,01,095630,095530,신설동,
71,서울 2호선,선릉,220,U,01,095900,095800,신설동,
72,서울 2호선,선릉,220,U,01,100130,100030,신설동,
73,서울 2호선,선릉,220,U,01,100400,100300,신설동,
74,서울 2호선,선릉,220,U,01,100630,100530,신설동,
75,서울 2호선,선릉,220,U,01,100900,100800,신설동,
76,서울 2호선,선릉,220,U,01,101130,101030,신설동,
77,서울 2호선,선릉,220,U,01,101630,101530,신설동,
78,서울 2호선,선릉,220,U,01,102130,102030,신설동,
79,서울 2호선,선릉,220,U,01,102400,102300,신설동,
80,서울 2호선,선릉,220,U,01,102630,102530,신설동,
81,서울 2호선,선릉,220,U,01,103200,103100,신설동,
82,서울 2호선,선릉,220,U,01,103500,103400,신설동,
83,서울 2호선,선릉,220,U,01,104000,103930,신설동,
84,서울 2호선,선릉,220,U,01,104500,104400,신설동,
85,서울 2호선,선릉,220,U,01,105000,104900,신설동,
86,서울 2호선,선릉,220,U,01,105530,105430,신설동,
87,서울 2호선,선릉,220,U,01,110130,110030,신설동,
