Train No., Line, Station Code, Station, U/D, Day Code, Departure Time, Arrival Time, Destination,
1,서울 2호선,사당,226,D,02,054430,054400,까치산,
2,서울 2호선,사당,226,D,02,060130,060100,까치산,
3,서울 2호선,사당,226,D,02,061130,061100,까치산,
4,서울 2호선,사당,226,D,02,061730,061700,까치산,
5,서울 2호선,사당,226,D,02,062300,062230,까치산,
6,서울 2호선,사당,226,D,02,062830,062800,까치산,
7,서울 2호선,사당,226,D,02,063430,063400,까치산,
8,서울 2호선,사당,226,D,02,064000,063930,까치산,
9,서울 2호선,사당,226,D,02,064500,064430,까치산,
10,서울 2호선,사당,226,D,02,064930,064900,까치산,
11,서울 2호선,사당,226,D,02,065400,065330,까치산,
12,서울 2호선,사당,226,D,02,065900,065830,까치산,
13,서울 2호선,사당,226,D,02,070530,070500,까치산,
14,서울 2호선,사당,226,D,02,071030,071000,까치산,
15,서울 2호선,사당,226,D,02,071630,071600,까치산,
16,서울 2호선,사당,226,D,02,072100,072030,까치산,
17,서울 2호선,사당,226,D,02,072530,072500,까치산,
18,서울 2호선,사당,226,D,02,072930,072900,까치산,
19,서울 2호선,사당,226,D,02,073330,073300,까치산,
20,서울 2호선,사당,226,D,02,073730,073700,까치산,
21,서울 2호선,사당,226,D,02,074130,074100,까치산,
22,서울 2호선,사당,226,D,02,074600,074530,까치산,
23,서울 2호선,사당,226,D,02,075030,075000,까치산,
24,서울 2호선,사당,226,D,02,075500,075430,까치산,
25,서울 2호선,사당,226,D,02,080200,080130,까치산,
26,서울 2호선,사당,226,D,02,080630,080600,까치산,
27,서울 2호선,사당,226,D,02,081300,081230,까치산,
28,서울 2호선,사당,226,D,02,081830,081800,까치산,
29,서울 2호선,사당,226,D,02,082230,082200,까치산,
30,서울 2호선,사당,226,D,02,082630,082600,까치산,
31,서울 2호선,사당,226,D,02,083030,083000,까치산,
32,서울 2호선,사당,226,D,02,083430,083400,까치산,
33,서울 2호선,사당,226,D,02,083830,083800,까치산,
34,서울 2호선,사당,226,D,02,084230,084200,까치산,
35,서울 2호선,사당,226,D,02,084630,084600,까치산,
36,서울 2호선,사당,226,D,02,085030,085000,까치산,
37,서울 2호선,사당,226,D,02,085430,085400,까치산,
38,서울 2호선,사당,226,D,02,085830,085800,까치산,
39,서울 2호선,사당,226,D,02,090230,090200,까치산,
40,서울 2호선,사당,226,D,02,090630,090600,까치산,
41,서울 2호선,사당,226,D,02,091030,091000,까치산,
42,서울 2호선,사당,226,D,02,091430,091400,까치산,
43,서울 2호선,사당,226,D,02,091800,091730,까치산,
44,서울 2호선,사당,226,D,02,092200,092130,까치산,
45,서울 2호선,사당,226,D,02,092630,092600,까치산,
46,서울 2호선,사당,226,D,02,093030,093000,까치산,
47,서울 2호선,사당,226,D,02,093430,093400,까치산,
48,서울 2호선,사당,226,D,02,093700,093630,까치산,
49,서울 2호선,사당,226,D,02,094130,094100,까치산,
50,서울 2호선,사당,226,D,02,094630,094600,까치산,
51,서울 2호선,사당,226,D,02,095030,095000,까치산,
52,서울 2호선,사당,226,D,02,095430,095400,까치산,
53,서울 2호선,사당,226,D,02,095900,095830,까치산,
54,서울 2호선,사당,226,D,02,100400,100330,까치산,
55,서울 2호선,사당,226,D,02,100900,100830,까치산,
56,서울 2호선,사당,226,D,02,101400,101330,까치산,
57,서울 2호선,사당,226,D,02,101930,101900,까치산,
58,서울 2호선,사당,226,D,02,102430,102400,까치산,
59,서울 2호선,사당,226,D,02,102930,102900,까치산,
60,서울 2호선,사당,226,D,02,103430,103400,까치산,
61,서울 2호선,사당,226,D,02,103930,103900,까치산,
62,서울 2호선,사당,226,D,02,104430,104400,까치산,
63,서울 2호선,사당,226,D,02,104930,104900,까치산,
64,서울 2호선,사당,226,D,02,105430,105400,까치산,
65,서울 2호선,사당,226,D,02,105930,105900,까치산,
66,서울 2호선,사당,226,D,02,110430,110400,까치산,
67,서울 2호선,사당,226,D,02,110930,110900,까치산,
68,서울 2호선,사당,226,D,02,111430,111400,까치산,
69,서울 2호선,사당,226,D,02,112100,112030,까치산,
70,서울 2호선,사당,226,D,02,112530,112500,까치산,
71,서울 2호선,사당,226,D,02,113100,113030,까치산,
72,서울 2호선,사당,226,D,02,113630,113600,까치산,
73,서울 2호선,사당,226,D,02,114200,114130,까치산,
74,서울 2호선,사당,226,D,02,114730,114700,까치산,
75,서울 2호선,사당,226,D,02,115230,115200,까치산,
76,서울 2호선,사당,226,D,02,115730,115700,까치산,
77,서울 2호선,사당,226,D,02,120230,120200,까치산,
78,서울 2호선,사당,226,D,02,120730,120700,까치산,
79,서울 2호선,사당,226,D,02,121230,121200,까치산,
80,서울 2호선,사당,226,D,02,121730,121700,까치산,
81,서울 2호선,사당,226,D,02,122230,122200,까치산,
82,서울 2호선,사당,226,D,02,122730,122700,까치산,
83,서울 2호선,사당,226,D,02,123230,123200,까치산,
84,서울 2호선,사당,226,D,02,123730,123700,까치산,
85,서울 2호선,사당,226,D,02,124230,124200,까치산,
86,서울 2호선,사당,226,D,02,124800,124730,까치산,
87,서울 2호선,사당,226,D,02,125330,125300,까치산,
88,서울 2호선,사당,226,D,02,125900,125830,까치산,
89,서울 2호선,사당,226,D,02,130400,130330,까치산,
90,서울 2호선,사당,226,D,02,131030,131000,까치산,
91,서울 2호선,사당,226,D,02,131530,131500,까치산,
92,서울 2호선,사당,226,D,02,132030,132000,까치산,
93,서울 2호선,사당,226,D,02,132530,132500,까치산,
94,서울 2호선,사당,226,D,02,133000,132930,까치산,
95,서울 2호선,사당,226,D,02,133530,133500,까치산,
96,서울 2호선,사당,226,D,02,134030,134000,까치산,
97,서울 2호선,사당,226,D,02,134500,134430,까치산,
98,서울 2호선,사당,226,D,02,135030,135000,까치산,
99,서울 2호선,사당,226,D,02,135500,135430,까치산,
