Train No., Line, Station Code, Station, U/D, Day Code, Departure Time, Arrival Time, Destination,
1,서울 2호선,잠실새내,217,U,03,053700,053630,신설동,
2,서울 2호선,잠실새내,217,U,03,055300,055230,신설동,
3,서울 2호선,잠실새내,217,U,03,060600,060530,신설동,
4,서울 2호선,잠실새내,217,U,03,061300,061230,신설동,
5,서울 2호선,잠실새내,217,U,03,061730,061700,신설동,
6,서울 2호선,잠실새내,217,U,03,062500,062430,신설동,
7,서울 2호선,잠실새내,217,U,03,062900,062830,신설동,
8,서울 2호선,잠실새내,217,U,03,063700,063630,신설동,
9,서울 2호선,잠실새내,217,U,03,064500,064430,신설동,
10,서울 2호선,잠실새내,217,U,03,065230,065200,신설동,
11,서울 2호선,잠실새내,217,U,03,065700,065630,신설동,
12,서울 2호선,잠실새내,217,U,03,070300,070230,신설동,
13,서울 2호선,잠실새내,217,U,03,070800,070730,신설동,
14,서울 2호선,잠실새내,217,U,03,071330,071300,신설동,
15,서울 2호선,잠실새내,217,U,03,071900,071830,신설동,
16,서울 2호선,잠실새내,217,U,03,072300,072230,신설동,
17,서울 2호선,잠실새내,217,U,03,072830,072800,신설동,
18,서울 2호선,잠실새내,217,U,03,073430,073400,신설동,
19,서울 2호선,잠실새내,217,U,03,074030,074000,신설동,
20,서울 2호선,잠실새내,217,U,03,074630,074600,신설동,
21,서울 2호선,잠실새내,217,U,03,075200,075130,신설동,
22,서울 2호선,잠실새내,217,U,03,075730,075700,신설동,
23,서울 2호선,잠실새내,217,U,03,080300,080230,신설동,
24,서울 2호선,잠실새내,217,U,03,080830,080800,신설동,
25,서울 2호선,잠실새내,217,U,03,081400,081330,신설동,
26,서울 2호선,잠실새내,217,U,03,081900,081830,신설동,
27,서울 2호선,잠실새내,217,U,03,082500,082430,신설동,
28,서울 2호선,잠실새내,217,U,03,083100,083030,신설동,
29,서울 2호선,잠실새내,217,U,03,083700,083630,신설동,
30,서울 2호선,잠실새내,217,U,03,084230,084200,신설동,
31,서울 2호선,잠실새내,217,U,03,084800,084730,신설동,
32,서울 2호선,잠실새내,217,U,03,085330,085300,신설동,
33,서울 2호선,잠실새내,217,U,03,085900,085830,신설동,
34,서울 2호선,잠실새내,217,U,03,090500,090430,신설동,
35,서울 2호선,잠실새내,217,U,03,091000,090930,신설동,
36,서울 2호선,잠실새내,217,U,03,091530,091500,신설동,
37,서울 2호선,잠실새내,217,U,03,092100,092030,신설동,
38,서울 2호선,잠실새내,217,U,03,092630,092600,신설동,
39,서울 2호선,잠실새내,217,U,03,093200,093130,신설동,
40,서울 2호선,잠실새내,217,U,03,093730,093700,신설동,
41,서울 2호선,잠실새내,217,U,03,094300,094230,신설동,
42,서울 2호선,잠실새내,217,U,03,094830,094800,신설동,
43,서울 2호선,잠실새내,217,U,03,095300,095230,신설동,
44,서울 2호선,잠실새내,217,U,03,095730,095700,신설동,
45,서울 2호선,잠실새내,217,U,03,100000,095930,신설동,
46,서울 2호선,잠실새내,217,U,03,100500,100430,신설동,
47,서울 2호선,잠실새내,217,U,03,101030,101000,신설동,
48,서울 2호선,잠실새내,217,U,03,101600,101530,신설동,
49,서울 2호선,잠실새내,217,U,03,102130,102100,신설동,
50,서울 2호선,잠실새내,217,U,03,102700,102630,신설동,
51,서울 2호선,잠실새내,217,U,03,103230,103200,신설동,
52,서울 2호선,잠실새내,217,U,03,103900,103830,신설동,
53,서울 2호선,잠실새내,217,U,03,104200,104130,신설동,
54,서울 2호선,잠실새내,217,U,03,104500,104430,신설동,
55,서울 2호선,잠실새내,217,U,03,104900,104830,신설동,
56,서울 2호선,잠실새내,217,U,03,105430,105400,신설동,
57,서울 2호선,잠실새내,217,U,03,110000,105930,신설동,
58,서울 2호선,잠실새내,217,U,03,110530,110500,신설동,
59,서울 2호선,잠실새내,217,U,03,111100,111030,신설동,
60,서울 2호선,잠실새내,217,U,03,111630,111600,신설동,
61,서울 2호선,잠실새내,217,U,03,112200,112130,신설동,
