Train No., Line, Station Code, Station, U/D, Day Code, Departure Time, Arrival Time, Destination,
1,서울 2호선,선릉,220,D,02,053200,053130,까치산,
2,서울 2호선,선릉,220,D,02,054830,054800,까치산,
3,서울 2호선,선릉,220,D,02,055830,055800,까치산,
4,서울 2호선,선릉,220,D,02,060430,060400,까치산,
5,서울 2호선,선릉,220,D,02,061030,061000,까치산,
6,서울 2호선,선릉,220,D,02,061630,061600,까치산,
7,서울 2호선,선릉,220,D,02,062230,062200,까치산,
8,서울 2호선,선릉,220,D,02,062730,062700,까치산,
9,서울 2호선,선릉,220,D,02,063230,063200,까치산,
10,서울 2호선,선릉,220,D,02,063630,063600,까치산,
11,서울 2호선,선릉,220,D,02,064130,064100,까치산,
12,서울 2호선,선릉,220,D,02,064630,064600,까치산,
13,서울 2호선,선릉,220,D,02,065230,065200,까치산,
14,서울 2호선,선릉,220,D,02,065800,065730,까치산,
15,서울 2호선,선릉,220,D,02,070330,070300,까치산,
16,서울 2호선,선릉,220,D,02,070830,070800,까치산,
17,서울 2호선,선릉,220,D,02,071230,071200,까치산,
18,서울 2호선,선릉,220,D,02,071630,071600,까치산,
19,서울 2호선,선릉,220,D,02,072030,072000,까치산,
20,서울 2호선,선릉,220,D,02,072430,072400,까치산,
21,서울 2호선,선릉,220,D,02,072830,072800,까치산,
22,서울 2호선,선릉,220,D,02,073300,073230,까치산,
23,서울 2호선,선릉,220,D,02,073730,073700,까치산,
24,서울 2호선,선릉,220,D,02,074230,074200,까치산,
25,서울 2호선,선릉,220,D,02,074830,074800,까치산,
26,서울 2호선,선릉,220,D,02,075400,075330,까치산,
27,서울 2호선,선릉,220,D,02,075930,075900,까치산,
28,서울 2호선,선릉,220,D,02,080530,080500,까치산,
29,서울 2호선,선릉,220,D,02,080930,080900,까치산,
30,서울 2호선,선릉,220,D,02,081330,081300,까치산,
31,서울 2호선,선릉,220,D,02,081730,081700,까치산,
32,서울 2호선,선릉,220,D,02,082130,082100,까치산,
33,서울 2호선,선릉,220,D,02,082530,082500,까치산,
34,서울 2호선,선릉,220,D,02,082930,082900,까치산,
35,서울 2호선,선릉,220,D,02,083330,083300,까치산,
36,서울 2호선,선릉,220,D,02,083730,083700,까치산,
37,서울 2호선,선릉,220,D,02,084130,084100,까치산,
38,서울 2호선,선릉,220,D,02,084530,084500,까치산,
39,서울 2호선,선릉,220,D,02,084930,084900,까치산,
40,서울 2호선,선릉,220,D,02,085330,085300,까치산,
41,서울 2호선,선릉,220,D,02,085730,085700,까치산,
42,서울 2호선,선릉,220,D,02,090130,090100,까치산,
43,서울 2호선,선릉,220,D,02,090530,090500,까치산,
44,서울 2호선,선릉,220,D,02,090930,090900,까치산,
45,서울 2호선,선릉,220,D,02,091330,091300,까치산,
