Train No., Line, Station Code, Station, U/D, Day Code, Departure Time, Arrival Time, Destination,
1,서울 2호선,잠실,216,D,03,054030,054000,까치산,
2,서울 2호선,잠실,216,D,03,055030,055000,까치산,
3,서울 2호선,잠실,216,D,03,055830,055800,까치산,
4,서울 2호선,잠실,216,D,03,060800,060730,까치산,
5,서울 2호선,잠실,216,D,03,061330,061300,까치산,
6,서울 2호선,잠실,216,D,03,061930,061900,까치산,
7,서울 2호선,잠실,216,D,03,062530,062500,까치산,
8,서울 2호선,잠실,216,D,03,063130,063100,까치산,
9,서울 2호선,잠실,216,D,03,063730,063700,까치산,
10,서울 2호선,잠실,216,D,03,064330,064300,까치산,
11,서울 2호선,잠실,216,D,03,064930,064900,까치산,
12,서울 2호선,잠실,216,D,03,065330,065300,까치산,
13,서울 2호선,잠실,216,D,03,065730,065700,까치산,
14,서울 2호선,잠실,216,D,03,070330,070300,까치산,
15,서울 2호선,잠실,216,D,03,070930,070900,까치산,
16,서울 2호선,잠실,216,D,03,071430,071400,까치산,
17,서울 2호선,잠실,216,D,03,071930,071900,까치산,
18,서울 2호선,잠실,216,D,03,072500,072430,까치산,
19,서울 2호선,잠실,216,D,03,073030,073000,까치산,
20,서울 2호선,잠실,216,D,03,073600,073530,까치산,
21,서울 2호선,잠실,216,D,03,074130,074100,까치산,
22,서울 2호선,잠실,216,D,03,074700,074630,까치산,
23,서울 2호선,잠실,216,D,03,075230,075200,까치산,
24,서울 2호선,잠실,216,D,03,075800,075730,까치산,
25,서울 2호선,잠실,216,D,03,080330,080300,까치산,
26,서울 2호선,잠실,216,D,03,080900,080830,까치산,
27,서울 2호선,잠실,216,D,03,081430,081400,까치산,
28,서울 2호선,잠실,216,D,03,082000,081930,까치산,
29,서울 2호선,잠실,216,D,03,082530,082500,까치산,
30,서울 2호선,잠실,216,D,03,083100,083030,까치산,
31,서울 2호선,잠실,216,D,03,083630,083600,까치산,
32,서울 2호선,잠실,216,D,03,084200,084130,까치산,
33,서울 2호선,잠실,216,D,03,084730,084700,까치산,
34,서울 2호선,잠실,216,D,03,085300,085230,까치산,
35,서울 2호선,잠실,216,D,03,085830,085800,까치산,
36,서울 2호선,잠실,216,D,03,090300,090230,까치산,
37,서울 2호선,잠실,216,D,03,090930,090900,까치산,
38,서울 2호선,잠실,216,D,03,091530,091500,까치산,
39,서울 2호선,잠실,216,D,03,091930,091900,까치산,
40,서울 2호선,잠실,216,D,03,092230,092200,까치산,
41,서울 2호선,잠실,216,D,03,092600,092530,까치산,
42,서울 2호선,잠실,216,D,03,093130,093100,까치산,
43,서울 2호선,잠실,216,D,03,093700,093630,까치산,
44,서울 2호선,잠실,216,D,03,094230,094200,까치산,
45,서울 2호선,잠실,216,D,03,094800,094730,까치산,
46,서울 2호선,잠실,216,D,03,095330,095300,까치산,
47,서울 2호선,잠실,216,D,03,095900,095830,까치산,
48,서울 2호선,잠실,216,D,03,100430,100400,까치산,
49,서울 2호선,잠실,216,D,03,101000,100930,까치산,
50,서울 2호선,잠실,216,D,03,101530,101500,까치산,
51,서울 2호선,잠실,216,D,03,102100,102030,까치산,
52,서울 2호선,잠실,216,D,03,102630,102600,까치산,
53,서울 2호선,잠실,216,D,03,103200,103130,까치산,
54,서울 2호선,잠실,216,D,03,103730,103700,까치산,
55,서울 2호선,잠실,216,D,03,104130,104100,까치산,
56,서울 2호선,잠실,216,D,03,104400,104330,까치산,
57,서울 2호선,잠실,216,D,03,104830,104800,까치산,
58,서울 2호선,잠실,216,D,03,105400,105330,까치산,
59,서울 2호선,잠실,216,D,03,105930,105900,까치산,
60,서울 2호선,잠실,216,D,03,110500,110430,까치산,
61,서울 2호선,잠실,216,D,03,111030,111000,까치산,
62,서울 2호선,잠실,216,D,03,111600,111530,까치산,
63,서울 2호선,잠실,216,D,03,112130,112100,까치산,
64,서울 2호선,잠실,216,D,03,112700,112630,까치산,
65,서울 2호선,잠실,216,D,03,113230,113200,까치산,
66,서울 2호선,잠실,216,D,03,113800,113730,까치산,
67,서울 2호선,잠실,216,D,03,114330,114300,까치산,
68,서울 2호선,잠실,216,D,03,114900,114830,까치산,
69,서울 2호선,잠실,216,D,03,115430,115400,까치산,
70,서울 2호선,잠실,216,D,03,120000,115930,까치산,
71,서울 2호선,잠실,216,D,03,120530,120500,까치산,
72,서울 2호선,잠실,216,D,03,121100,121030,까치산,
73,서울 2호선,잠실,216,D,03,121630,121600,까치산,
74,서울 2호선,잠실,216,D,03,122200,122130,까치산,
75,서울 2호선,잠실,216,D,03,122730,122700,까치산,
76,서울 2호선,잠실,216,D,03,123300,123230,까치산,
77,서울 2호선,잠실,216,D,03,123830,123800,까치산,
78,서울 2호선,잠실,216,D,03,124400,124330,까치산,
79,서울 2호선,잠실,216,D,03,124930,124900,까치산,
80,서울 2호선,잠실,216,D,03,125500,125430,까치산,
81,서울 2호선,잠실,216,D,03,130030,130000,까치산,
82,서울 2호선,잠실,216,D,03,130600,130530,까치산,
83,서울 2호선,잠실,216,D,03,131130,131100,까치산,
84,서울 2호선,잠실,216,D,03,131700,131630,까치산,
85,서울 2호선,잠실,216,D,03,132230,132200,까치산,
86,서울 2호선,잠실,216,D,03,132800,132730,까치산,
87,서울 2호선,잠실,216,D,03,133330,133300,까치산,
88,서울 2호선,잠실,216,D,03,133900,133830,까치산,
89,서울 2호선,잠실,216,D,03,134430,134400,까치산,
90,서울 2호선,잠실,216,D,03,135000,134930,까치산,
91,서울 2호선,잠실,216,D,03,135530,135500,까치산,
92,서울 2호선,잠실,216,D,03,140100,140030,까치산,
93,서울 2호선,잠실,216,D,03,140630,140600,까치산,
94,서울 2호선,잠실,216,D,03,141200,141130,까치산,
95,서울 2호선,잠실,216,D,03,141730,141700,까치산,
96,서울 2호선,잠실,216,D,03,142300,142230,까치산,
97,서울 2호선,잠실,216,D,03,142830,142800,까치산,
98,서울 2호선,잠실,216,D,03,143400,143330,까치산,
99,서울 2호선,잠실,216,D,03,143930,143900,까치산,
100,서울 2호선,잠실,216,D,03,144500,144430,까치산,
101,서울 2호선,잠실,216,D,03,145030,145000,까치산,
102,서울 2호선,잠실,216,D,03,145600,145530,까치산,
103,서울 2호선,잠실,216,D,03,150130,150100,까치산,
104,서울 2호선,잠실,216,D,03,150700,150630,까치산,
105,서울 2호선,잠실,216,D,03,151230,151200,까치산,
106,서울 2호선,잠실,216,D,03,151800,151730,까치산,
107,서울 2호선,잠실,216,D,03,152330,152300,까치산,
108,서울 2호선,잠실,216,D,03,152900,152830,까치산,
109,서울 2호선,잠실,216,D,03,153430,153400,까치산,
110,서울 2호선,잠실,216,D,03,154000,153930,까치산,
111,서울 2호선,잠실,216,D,03,154530,154500,까치산,
112,서울 2호선,잠실,216,D,03,155100,155030,까치산,
113,서울 2호선,잠실,216,D,03,155630,155600,까치산,
114,서울 2호선,잠실,216,D,03,160200,160130,까치산,
115,서울 2호선,잠실,216,D,03,160730,160700,까치산,
116,서울 2호선,잠실,216,D,03,161330,161300,까치산,
117,서울 2호선,잠실,216,D,03,161830,161800,까치산,
118,서울 2호선,잠실,216,D,03,162400,162330,까치산,
119,서울 2호선,잠실,216,D,03,162930,162900,까치산,
120,서울 2호선,잠실,216,D,03,163500,163430,까치산,
121,서울 2호선,잠실,216,D,03,164030,164000,까치산,
122,서울 2호선,잠실,216,D,03,164600,164530,까치산,
123,서울 2호선,잠실,216,D,03,165030,165000,까치산,
124,서울 2호선,잠실,216,D,03,165330,165300,까치산,
125,서울 2호선,잠실,216,D,03,165700,165630,까치산,
126,서울 2호선,잠실,216,D,03,170230,170200,까치산,
127,서울 2호선,잠실,216,D,03,170800,170730,까치산,
128,서울 2호선,잠실,216,D,03,171330,171300,까치산,
129,서울 2호선,잠실,216,D,03,171900,171830,까치산,
130,서울 2호선,잠실,216,D,03,172430,172400,까치산,
131,서울 2호선,잠실,216,D,03,173000,172930,까치산,
132,서울 2호선,잠실,216,D,03,173730,173700,까치산,
133,서울 2호선,잠실,216,D,03,174100,174030,까치산,
134,서울 2호선,잠실,216,D,03,174630,174600,까치산,
135,서울 2호선,잠실,216,D,03,175200,175130,까치산,
136,서울 2호선,잠실,216,D,03,175730,175700,까치산,
137,서울 2호선,잠실,216,D,03,180300,180230,까치산,
138,서울 2호선,잠실,216,D,03,180830,180800,까치산,
139,서울 2호선,잠실,216,D,03,181400,181330,까치산,
140,서울 2호선,잠실,216,D,03,181930,181900,까치산,
141,서울 2호선,잠실,216,D,03,182500,182430,까치산,
142,서울 2호선,잠실,216,D,03,183030,183000,까치산,
143,서울 2호선,잠실,216,D,03,183600,183530,까치산,
144,서울 2호선,잠실,216,D,03,184130,184100,까치산,
145,서울 2호선,잠실,216,D,03,184700,184630,까치산,
146,서울 2호선,잠실,216,D,03,185230,185200,까치산,
147,서울 2호선,잠실,216,D,03,185800,185730,까치산,
148,서울 2호선,잠실,216,D,03,190330,190300,까치산,
149,서울 2호선,잠실,216,D,03,190900,190830,까치산,
150,서울 2호선,잠실,216,D,03,191430,191400,까치산,
151,서울 2호선,잠실,216,D,03,192000,191930,까치산,
152,서울 2호선,잠실,216,D,03,192530,192500,까치산,
153,서울 2호선,잠실,216,D,03,193100,193030,까치산,
154,서울 2호선,잠실,216,D,03,193630,193600,까치산,
155,서울 2호선,잠실,216,D,03,194200,194130,까치산,
156,서울 2호선,잠실,216,D,03,194730,194700,까치산,
157,서울 2호선,잠실,216,D,03,195300,195230,까치산,
158,서울 2호선,잠실,216,D,03,195830,195800,까치산,
159,서울 2호선,잠실,216,D,03,200400,200330,까치산,
160,서울 2호선,잠실,216,D,03,200930,200900,까치산,
161,서울 2호선,잠실,216,D,03,201500,201430,까치산,
162,서울 2호선,잠실,216,D,03,202030,202000,까치산,
163,서울 2호선,잠실,216,D,03,202600,202530,까치산,
164,서울 2호선,잠실,216,D,03,203130,203100,까치산,
165,서울 2호선,잠실,216,D,03,203700,203630,까치산,
166,서울 2호선,잠실,216,D,03,204230,204200,까치산,
167,서울 2호선,잠실,216,D,03,204800,204730,까치산,
168,서울 2호선,잠실,216,D,03,205330,205300,까치산,
169,서울 2호선,잠실,216,D,03,205900,205830,까치산,
170,서울 2호선,잠실,216,D,03,210430,210400,까치산,
171,서울 2호선,잠실,216,D,03,211000,210930,까치산,
172,서울 2호선,잠실,216,D,03,211530,211500,까치산,
173,서울 2호선,잠실,216,D,03,212100,212030,까치산,
174,서울 2호선,잠실,216,D,03,212530,212500,까치산,
175,서울 2호선,잠실,216,D,03,213130,213100,까치산,
176,서울 2호선,잠실,216,D,03,213630,213600,까치산,
177,서울 2호선,잠실,216,D,03,214300,214230,까치산,
178,서울 2호선,잠실,216,D,03,214830,214800,까치산,
179,서울 2호선,잠실,216,D,03,215400,215330,까치산,
180,서울 2호선,잠실,216,D,03,215930,215900,까치산,
181,서울 2호선,잠실,216,D,03,220630,220600,까치산,
182,서울 2호선,잠실,216,D,03,221430,221400,까치산,
183,서울 2호선,잠실,216,D,03,222030,222000,까치산,
184,서울 2호선,잠실,216,D,03,222700,222630,까치산,
185,서울 2호선,잠실,216,D,03,223230,223200,까치산,
186,서울 2호선,잠실,216,D,03,223800,223730,까치산,
187,서울 2호선,잠실,216,D,03,224530,224500,까치산,
188,서울 2호선,잠실,216,D,03,225230,225200,까치산,
189,서울 2호선,잠실,216,D,03,230230,230200,까치산,
190,서울 2호선,잠실,216,D,03,230930,230900,까치산,
191,서울 2호선,잠실,216,D,03,231530,231500,까치산,
