Train No., Line, Station Code, Station, U/D, Day Code, Departure Time, Arrival Time, Destination,
1,서울 2호선,낙성대,227,D,01,054830,054800,까치산,
2,서울 2호선,낙성대,227,D,01,060500,060430,까치산,
3,서울 2호선,낙성대,227,D,01,061500,061430,까치산,
4,서울 2호선,낙성대,227,D,01,062200,062130,까치산,
5,서울 2호선,낙성대,227,D,01,062900,062830,까치산,
6,서울 2호선,낙성대,227,D,01,063300,063230,까치산,
7,서울 2호선,낙성대,227,D,01,063900,063830,까치산,
8,서울 2호선,낙성대,227,D,01,064500,064430,까치산,
9,서울 2호선,낙성대,227,D,01,065200,065130,까치산,
10,서울 2호선,낙성대,227,D,01,065800,065730,까치산,
11,서울 2호선,낙성대,227,D,01,070200,070130,까치산,
12,서울 2호선,낙성대,227,D,01,070500,070430,까치산,
13,서울 2호선,낙성대,227,D,01,071130,071100,까치산,
14,서울 2호선,낙성대,227,D,01,071530,071500,까치산,
15,서울 2호선,낙성대,227,D,01,071900,071830,까치산,
16,서울 2호선,낙성대,227,D,01,072530,072500,까치산,
17,서울 2호선,낙성대,227,D,01,072930,072900,까치산,
18,서울 2호선,낙성대,227,D,01,073230,073200,까치산,
19,서울 2호선,낙성대,227,D,01,073630,073600,까치산,
20,서울 2호선,낙성대,227,D,01,073930,073900,까치산,
21,서울 2호선,낙성대,227,D,01,074330,074300,까치산,
22,서울 2호선,낙성대,227,D,01,074730,074700,까치산,
23,서울 2호선,낙성대,227,D,01,075130,075100,까치산,
24,서울 2호선,낙성대,227,D,01,075430,075400,까치산,
25,서울 2호선,낙성대,227,D,01,075830,075800,까치산,
26,서울 2호선,낙성대,227,D,01,080130,080100,까치산,
27,서울 2호선,낙성대,227,D,01,080530,080500,까치산,
28,서울 2호선,낙성대,227,D,01,080830,080800,까치산,
29,서울 2호선,낙성대,227,D,01,081130,081100,까치산,
30,서울 2호선,낙성대,227,D,01,081500,081430,까치산,
31,서울 2호선,낙성대,227,D,01,081830,081800,까치산,
32,서울 2호선,낙성대,227,D,01,082130,082100,까치산,
33,서울 2호선,낙성대,227,D,01,082430,082400,까치산,
34,서울 2호선,낙성대,227,D,01,082730,082700,까치산,
35,서울 2호선,낙성대,227,D,01,083130,083100,까치산,
36,서울 2호선,낙성대,227,D,01,083500,083430,까치산,
37,서울 2호선,낙성대,227,D,01,083800,083730,까치산,
38,서울 2호선,낙성대,227,D,01,084100,084030,까치산,
39,서울 2호선,낙성대,227,D,01,084430,084400,까치산,
40,서울 2호선,낙성대,227,D,01,084830,084800,까치산,
41,서울 2호선,낙성대,227,D,01,085200,085130,까치산,
42,서울 2호선,낙성대,227,D,01,085500,085430,까치산,
43,서울 2호선,낙성대,227,D,01,085830,085800,까치산,
44,서울 2호선,낙성대,227,D,01,090230,090200,까치산,
45,서울 2호선,낙성대,227,D,01,090530,090500,까치산,
46,서울 2호선,낙성대,227,D,01,090900,090830,까치산,
47,서울 2호선,낙성대,227,D,01,091200,091130,까치산,
48,서울 2호선,낙성대,227,D,01,091600,091530,까치산,
49,서울 2호선,낙성대,227,D,01,092000,091930,까치산,
50,서울 2호선,낙성대,227,D,01,092400,092330,까치산,
51,서울 2호선,낙성대,227,D,01,092700,092630,까치산,
52,서울 2호선,낙성대,227,D,01,093000,092930,까치산,
53,서울 2호선,낙성대,227,D,01,093330,093300,까치산,
54,서울 2호선,낙성대,227,D,01,093700,093630,까치산,
55,서울 2호선,낙성대,227,D,01,094000,093930,까치산,
56,서울 2호선,낙성대,227,D,01,094300,094230,까치산,
57,서울 2호선,낙성대,227,D,01,094630,094600,까치산,
58,서울 2호선,낙성대,227,D,01,095000,094930,까치산,
59,서울 2호선,낙성대,227,D,01,095300,095230,까치산,
60,서울 2호선,낙성대,227,D,01,095600,095530,까치산,
61,서울 2호선,낙성대,227,D,01,095900,095830,까치산,
62,서울 2호선,낙성대,227,D,01,100130,100100,까치산,
63,서울 2호선,낙성대,227,D,01,100500,100430,까치산,
64,서울 2호선,낙성대,227,D,01,101130,101100,까치산,
65,서울 2호선,낙성대,227,D,01,101500,101430,까치산,
66,서울 2호선,낙성대,227,D,01,101830,101800,까치산,
67,서울 2호선,낙성대,227,D,01,102500,102430,까치산,
68,서울 2호선,낙성대,227,D,01,102900,102830,까치산,
69,서울 2호선,낙성대,227,D,01,103130,103100,까치산,
70,서울 2호선,낙성대,227,D,01,103600,103530,까치산,
71,서울 2호선,낙성대,227,D,01,104130,104100,까치산,
72,서울 2호선,낙성대,227,D,01,104600,104530,까치산,
73,서울 2호선,낙성대,227,D,01,105030,105000,까치산,
74,서울 2호선,낙성대,227,D,01,105500,105430,까치산,
75,서울 2호선,낙성대,227,D,01,110030,110000,까치산,
76,서울 2호선,낙성대,227,D,01,110430,110400,까치산,
77,서울 2호선,낙성대,227,D,01,111030,111000,까치산,
78,서울 2호선,낙성대,227,D,01,111400,111330,까치산,
79,서울 2호선,낙성대,227,D,01,111700,111630,까치산,
80,서울 2호선,낙성대,227,D,01,112300,112230,까치산,
81,서울 2호선,낙성대,227,D,01,112600,112530,까치산,
82,서울 2호선,낙성대,227,D,01,112900,112830,까치산,
83,서울 2호선,낙성대,227,D,01,113500,113430,까치산,
84,서울 2호선,낙성대,227,D,01,114130,114100,까치산,
85,서울 2호선,낙성대,227,D,01,114730,114700,까치산,
86,서울 2호선,낙성대,227,D,01,115330,115300,까치산,
87,서울 2호선,낙성대,227,D,01,115930,115900,까치산,
88,서울 2호선,낙성대,227,D,01,120530,120500,까치산,
89,서울 2호선,낙성대,227,D,01,121030,121000,까치산,
90,서울 2호선,낙성대,227,D,01,121530,121500,까치산,
91,서울 2호선,낙성대,227,D,01,122130,122100,까치산,
92,서울 2호선,낙성대,227,D,01,123030,123000,까치산,
93,서울 2호선,낙성대,227,D,01,123600,123530,까치산,
94,서울 2호선,낙성대,227,D,01,124100,124030,까치산,
95,서울 2호선,낙성대,227,D,01,124700,124630,까치산,
96,서울 2호선,낙성대,227,D,01,125300,125230,까치산,
97,서울 2호선,낙성대,227,D,01,125900,125830,까치산,
98,서울 2호선,낙성대,227,D,01,130500,130430,까치산,
99,서울 2호선,낙성대,227,D,01,131100,131030,까치산,
100,서울 2호선,낙성대,227,D,01,131700,131630,까치산,
101,서울 2호선,낙성대,227,D,01,132330,132300,까치산,
102,서울 2호선,낙성대,227,D,01,132900,132830,까치산,
103,서울 2호선,낙성대,227,D,01,133500,133430,까치산,
104,서울 2호선,낙성대,227,D,01,134000,133930,까치산,
105,서울 2호선,낙성대,227,D,01,134500,134430,까치산,
106,서울 2호선,낙성대,227,D,01,135200,135130,까치산,
107,서울 2호선,낙성대,227,D,01,140000,135930,까치산,
108,서울 2호선,낙성대,227,D,01,140600,140530,까치산,
109,서울 2호선,낙성대,227,D,01,141100,141030,까치산,
110,서울 2호선,낙성대,227,D,01,141700,141630,까치산,
111,서울 2호선,낙성대,227,D,01,142300,142230,까치산,
112,서울 2호선,낙성대,227,D,01,142900,142830,까치산,
113,서울 2호선,낙성대,227,D,01,143500,143430,까치산,
114,서울 2호선,낙성대,227,D,01,144100,144030,까치산,
115,서울 2호선,낙성대,227,D,01,144700,144630,까치산,
116,서울 2호선,낙성대,227,D,01,145300,145230,까치산,
117,서울 2호선,낙성대,227,D,01,145900,145830,까치산,
118,서울 2호선,낙성대,227,D,01,150500,150430,까치산,
119,서울 2호선,낙성대,227,D,01,151000,150930,까치산,
120,서울 2호선,낙성대,227,D,01,151500,151430,까치산,
121,서울 2호선,낙성대,227,D,01,152130,152100,까치산,
122,서울 2호선,낙성대,227,D,01,153000,152930,까치산,
123,서울 2호선,낙성대,227,D,01,153600,153530,까치산,
124,서울 2호선,낙성대,227,D,01,154100,154030,까치산,
125,서울 2호선,낙성대,227,D,01,154700,154630,까치산,
126,서울 2호선,낙성대,227,D,01,155300,155230,까치산,
127,서울 2호선,낙성대,227,D,01,155900,155830,까치산,
128,서울 2호선,낙성대,227,D,01,160500,160430,까치산,
129,서울 2호선,낙성대,227,D,01,161100,161030,까치산,
130,서울 2호선,낙성대,227,D,01,161700,161630,까치산,
131,서울 2호선,낙성대,227,D,01,162300,162230,까치산,
132,서울 2호선,낙성대,227,D,01,162900,162830,까치산,
133,서울 2호선,낙성대,227,D,01,163500,163430,까치산,
134,서울 2호선,낙성대,227,D,01,164000,163930,까치산,
135,서울 2호선,낙성대,227,D,01,164600,164530,까치산,
136,서울 2호선,낙성대,227,D,01,165100,165030,까치산,
137,서울 2호선,낙성대,227,D,01,165600,165530,까치산,
138,서울 2호선,낙성대,227,D,01,170000,165930,까치산,
139,서울 2호선,낙성대,227,D,01,170600,170530,까치산,
140,서울 2호선,낙성대,227,D,01,171100,171030,까치산,
141,서울 2호선,낙성대,227,D,01,171700,171630,까치산,
142,서울 2호선,낙성대,227,D,01,172300,172230,까치산,
143,서울 2호선,낙성대,227,D,01,172900,172830,까치산,
144,서울 2호선,낙성대,227,D,01,173500,173430,까치산,
145,서울 2호선,낙성대,227,D,01,174100,174030,까치산,
146,서울 2호선,낙성대,227,D,01,174600,174530,까치산,
147,서울 2호선,낙성대,227,D,01,174900,174830,까치산,
148,서울 2호선,낙성대,227,D,01,175300,175230,까치산,
149,서울 2호선,낙성대,227,D,01,175600,175530,까치산,
150,서울 2호선,낙성대,227,D,01,175900,175830,까치산,
151,서울 2호선,낙성대,227,D,01,180200,180130,까치산,
152,서울 2호선,낙성대,227,D,01,180500,180430,까치산,
153,서울 2호선,낙성대,227,D,01,181000,180930,까치산,
154,서울 2호선,낙성대,227,D,01,181230,181200,까치산,
155,서울 2호선,낙성대,227,D,01,181600,181530,까치산,
156,서울 2호선,낙성대,227,D,01,181900,181830,까치산,
157,서울 2호선,낙성대,227,D,01,182200,182130,까치산,
158,서울 2호선,낙성대,227,D,01,182600,182530,까치산,
159,서울 2호선,낙성대,227,D,01,183000,182930,까치산,
160,서울 2호선,낙성대,227,D,01,183300,183230,까치산,
161,서울 2호선,낙성대,227,D,01,183600,183530,까치산,
162,서울 2호선,낙성대,227,D,01,184030,184000,까치산,
163,서울 2호선,낙성대,227,D,01,184400,184330,까치산,
164,서울 2호선,낙성대,227,D,01,184700,184630,까치산,
165,서울 2호선,낙성대,227,D,01,185000,184930,까치산,
166,서울 2호선,낙성대,227,D,01,185300,185230,까치산,
167,서울 2호선,낙성대,227,D,01,185600,185530,까치산,
168,서울 2호선,낙성대,227,D,01,185900,185830,까치산,
169,서울 2호선,낙성대,227,D,01,190200,190130,까치산,
170,서울 2호선,낙성대,227,D,01,190500,190430,까치산,
171,서울 2호선,낙성대,227,D,01,190800,190730,까치산,
172,서울 2호선,낙성대,227,D,01,191100,191030,까치산,
173,서울 2호선,낙성대,227,D,01,191400,191330,까치산,
174,서울 2호선,낙성대,227,D,01,191700,191630,까치산,
175,서울 2호선,낙성대,227,D,01,192000,191930,까치산,
176,서울 2호선,낙성대,227,D,01,192300,192230,까치산,
177,서울 2호선,낙성대,227,D,01,192600,192530,까치산,
178,서울 2호선,낙성대,227,D,01,192900,192830,까치산,
179,서울 2호선,낙성대,227,D,01,193230,193200,까치산,
180,서울 2호선,낙성대,227,D,01,193500,193430,까치산,
181,서울 2호선,낙성대,227,D,01,193730,193700,까치산,
182,서울 2호선,낙성대,227,D,01,194000,193930,까치산,
183,서울 2호선,낙성대,227,D,01,194230,194200,까치산,
184,서울 2호선,낙성대,227,D,01,194600,194530,까치산,
185,서울 2호선,낙성대,227,D,01,194900,194830,까치산,
186,서울 2호선,낙성대,227,D,01,195300,195230,까치산,
187,서울 2호선,낙성대,227,D,01,195600,195530,까치산,
188,서울 2호선,낙성대,227,D,01,200000,195930,까치산,
189,서울 2호선,낙성대,227,D,01,200300,200230,까치산,
190,서울 2호선,낙성대,227,D,01,200600,200530,까치산,
191,서울 2호선,낙성대,227,D,01,201000,200930,까치산,
192,서울 2호선,낙성대,227,D,01,201400,201330,까치산,
193,서울 2호선,낙성대,227,D,01,201700,201630,까치산,
194,서울 2호선,낙성대,227,D,01,202000,201930,까치산,
195,서울 2호선,낙성대,227,D,01,202300,202230,까치산,
196,서울 2호선,낙성대,227,D,01,202600,202530,까치산,
197,서울 2호선,낙성대,227,D,01,202900,202830,까치산,
198,서울 2호선,낙성대,227,D,01,203300,203230,까치산,
199,서울 2호선,낙성대,227,D,01,203800,203730,까치산,
200,서울 2호선,낙성대,227,D,01,204100,204030,까치산,
201,서울 2호선,낙성대,227,D,01,204400,204330,까치산,
202,서울 2호선,낙성대,227,D,01,204800,204730,까치산,
203,서울 2호선,낙성대,227,D,01,205300,205230,까치산,
204,서울 2호선,낙성대,227,D,01,205600,205530,까치산,
