Train No., Line, Station Code, Station, U/D, Day Code, Departure Time, Arrival Time, Destination,
1,서울 2호선,잠실나루,215,D,03,053830,053800,까치산,
2,서울 2호선,잠실나루,215,D,03,054830,054800,까치산,
3,서울 2호선,잠실나루,215,D,03,055630,055600,까치산,
4,서울 2호선,잠실나루,215,D,03,060600,060530,까치산,
5,서울 2호선,잠실나루,215,D,03,061130,061100,까치산,
6,서울 2호선,잠실나루,215,D,03,061730,061700,까치산,
7,서울 2호선,잠실나루,215,D,03,062330,062300,까치산,
8,서울 2호선,잠실나루,215,D,03,062930,062900,까치산,
9,서울 2호선,잠실나루,215,D,03,063530,063500,까치산,
10,서울 2호선,잠실나루,215,D,03,064130,064100,까치산,
11,서울 2호선,잠실나루,215,D,03,064730,064700,까치산,
12,서울 2호선,잠실나루,215,D,03,065130,065100,까치산,
13,서울 2호선,잠실나루,215,D,03,065530,065500,까치산,
14,서울 2호선,잠실나루,215,D,03,070130,070100,까치산,
15,서울 2호선,잠실나루,215,D,03,070730,070700,까치산,
16,서울 2호선,잠실나루,215,D,03,071230,071200,까치산,
17,서울 2호선,잠실나루,215,D,03,071730,071700,까치산,
18,서울 2호선,잠실나루,215,D,03,072300,072230,까치산,
19,서울 2호선,잠실나루,215,D,03,072830,072800,까치산,
20,서울 2호선,잠실나루,215,D,03,073400,073330,까치산,
21,서울 2호선,잠실나루,215,D,03,073930,073900,까치산,
22,서울 2호선,잠실나루,215,D,03,074500,074430,까치산,
23,서울 2호선,잠실나루,215,D,03,075030,075000,까치산,
24,서울 2호선,잠실나루,215,D,03,075600,075530,까치산,
25,서울 2호선,잠실나루,215,D,03,080130,080100,까치산,
26,서울 2호선,잠실나루,215,D,03,080700,080630,까치산,
27,서울 2호선,잠실나루,215,D,03,081230,081200,까치산,
28,서울 2호선,잠실나루,215,D,03,081800,081730,까치산,
29,서울 2호선,잠실나루,215,D,03,082330,082300,까치산,
30,서울 2호선,잠실나루,215,D,03,082900,082830,까치산,
31,서울 2호선,잠실나루,215,D,03,083430,083400,까치산,
32,서울 2호선,잠실나루,215,D,03,084000,083930,까치산,
33,서울 2호선,잠실나루,215,D,03,084530,084500,까치산,
34,서울 2호선,잠실나루,215,D,03,085100,085030,까치산,
35,서울 2호선,잠실나루,215,D,03,085630,085600,까치산,
36,서울 2호선,잠실나루,215,D,03,090100,090030,까치산,
37,서울 2호선,잠실나루,215,D,03,090730,090700,까치산,
38,서울 2호선,잠실나루,215,D,03,091330,091300,까치산,
39,서울 2호선,잠실나루,215,D,03,091730,091700,까치산,
40,서울 2호선,잠실나루,215,D,03,092030,092000,까치산,
41,서울 2호선,잠실나루,215,D,03,092400,092330,까치산,
42,서울 2호선,잠실나루,215,D,03,092930,092900,까치산,
43,서울 2호선,잠실나루,215,D,03,093500,093430,까치산,
44,서울 2호선,잠실나루,215,D,03,094030,094000,까치산,
45,서울 2호선,잠실나루,215,D,03,094600,094530,까치산,
46,서울 2호선,잠실나루,215,D,03,095130,095100,까치산,
47,서울 2호선,잠실나루,215,D,03,095700,095630,까치산,
48,서울 2호선,잠실나루,215,D,03,100230,100200,까치산,
49,서울 2호선,잠실나루,215,D,03,100800,100730,까치산,
50,서울 2호선,잠실나루,215,D,03,101330,101300,까치산,
51,서울 2호선,잠실나루,215,D,03,101900,101830,까치산,
52,서울 2호선,잠실나루,215,D,03,102430,102400,까치산,
53,서울 2호선,잠실나루,215,D,03,103000,102930,까치산,
54,서울 2호선,잠실나루,215,D,03,103530,103500,까치산,
55,서울 2호선,잠실나루,215,D,03,103930,103900,까치산,
56,서울 2호선,잠실나루,215,D,03,104200,104130,까치산,
57,서울 2호선,잠실나루,215,D,03,104630,104600,까치산,
58,서울 2호선,잠실나루,215,D,03,105200,105130,까치산,
59,서울 2호선,잠실나루,215,D,03,105730,105700,까치산,
60,서울 2호선,잠실나루,215,D,03,110300,110230,까치산,
61,서울 2호선,잠실나루,215,D,03,110830,110800,까치산,
62,서울 2호선,잠실나루,215,D,03,111400,111330,까치산,
63,서울 2호선,잠실나루,215,D,03,111930,111900,까치산,
64,서울 2호선,잠실나루,215,D,03,112500,112430,까치산,
65,서울 2호선,잠실나루,215,D,03,113030,113000,까치산,
66,서울 2호선,잠실나루,215,D,03,113600,113530,까치산,
67,서울 2호선,잠실나루,215,D,03,114130,114100,까치산,
68,서울 2호선,잠실나루,215,D,03,114700,114630,까치산,
69,서울 2호선,잠실나루,215,D,03,115230,115200,까치산,
70,서울 2호선,잠실나루,215,D,03,115800,115730,까치산,
71,서울 2호선,잠실나루,215,D,03,120330,120300,까치산,
72,서울 2호선,잠실나루,215,D,03,120900,120830,까치산,
73,서울 2호선,잠실나루,215,D,03,121430,121400,까치산,
74,서울 2호선,잠실나루,215,D,03,122000,121930,까치산,
75,서울 2호선,잠실나루,215,D,03,122530,122500,까치산,
76,서울 2호선,잠실나루,215,D,03,123100,123030,까치산,
77,서울 2호선,잠실나루,215,D,03,123630,123600,까치산,
78,서울 2호선,잠실나루,215,D,03,124200,124130,까치산,
79,서울 2호선,잠실나루,215,D,03,124730,124700,까치산,
80,서울 2호선,잠실나루,215,D,03,125300,125230,까치산,
81,서울 2호선,잠실나루,215,D,03,125830,125800,까치산,
82,서울 2호선,잠실나루,215,D,03,130400,130330,까치산,
83,서울 2호선,잠실나루,215,D,03,130930,130900,까치산,
84,서울 2호선,잠실나루,215,D,03,131500,131430,까치산,
85,서울 2호선,잠실나루,215,D,03,132030,132000,까치산,
86,서울 2호선,잠실나루,215,D,03,132600,132530,까치산,
87,서울 2호선,잠실나루,215,D,03,133130,133100,까치산,
88,서울 2호선,잠실나루,215,D,03,133700,133630,까치산,
89,서울 2호선,잠실나루,215,D,03,134230,134200,까치산,
90,서울 2호선,잠실나루,215,D,03,134800,134730,까치산,
91,서울 2호선,잠실나루,215,D,03,135330,135300,까치산,
92,서울 2호선,잠실나루,215,D,03,135900,135830,까치산,
93,서울 2호선,잠실나루,215,D,03,140430,140400,까치산,
94,서울 2호선,잠실나루,215,D,03,141000,140930,까치산,
95,서울 2호선,잠실나루,215,D,03,141530,141500,까치산,
96,서울 2호선,잠실나루,215,D,03,142100,142030,까치산,
97,서울 2호선,잠실나루,215,D,03,142630,142600,까치산,
98,서울 2호선,잠실나루,215,D,03,143200,143130,까치산,
99,서울 2호선,잠실나루,215,D,03,143730,143700,까치산,
100,서울 2호선,잠실나루,215,D,03,144300,144230,까치산,
101,서울 2호선,잠실나루,215,D,03,144830,144800,까치산,
102,서울 2호선,잠실나루,215,D,03,145400,145330,까치산,
103,서울 2호선,잠실나루,215,D,03,145930,145900,까치산,
104,서울 2호선,잠실나루,215,D,03,150500,150430,까치산,
105,서울 2호선,잠실나루,215,D,03,151030,151000,까치산,
106,서울 2호선,잠실나루,215,D,03,151600,151530,까치산,
107,서울 2호선,잠실나루,215,D,03,152130,152100,까치산,
108,서울 2호선,잠실나루,215,D,03,152700,152630,까치산,
109,서울 2호선,잠실나루,215,D,03,153230,153200,까치산,
110,서울 2호선,잠실나루,215,D,03,153800,153730,까치산,
111,서울 2호선,잠실나루,215,D,03,154330,154300,까치산,
112,서울 2호선,잠실나루,215,D,03,154900,154830,까치산,
113,서울 2호선,잠실나루,215,D,03,155430,155400,까치산,
114,서울 2호선,잠실나루,215,D,03,160000,155930,까치산,
115,서울 2호선,잠실나루,215,D,03,160530,160500,까치산,
116,서울 2호선,잠실나루,215,D,03,161130,161100,까치산,
117,서울 2호선,잠실나루,215,D,03,161630,161600,까치산,
118,서울 2호선,잠실나루,215,D,03,162200,162130,까치산,
119,서울 2호선,잠실나루,215,D,03,162730,162700,까치산,
120,서울 2호선,잠실나루,215,D,03,163300,163230,까치산,
121,서울 2호선,잠실나루,215,D,03,163830,163800,까치산,
122,서울 2호선,잠실나루,215,D,03,164400,164330,까치산,
123,서울 2호선,잠실나루,215,D,03,164830,164800,까치산,
124,서울 2호선,잠실나루,215,D,03,165130,165100,까치산,
125,서울 2호선,잠실나루,215,D,03,165500,165430,까치산,
126,서울 2호선,잠실나루,215,D,03,170030,170000,까치산,
127,서울 2호선,잠실나루,215,D,03,170600,170530,까치산,
128,서울 2호선,잠실나루,215,D,03,171130,171100,까치산,
129,서울 2호선,잠실나루,215,D,03,171700,171630,까치산,
130,서울 2호선,잠실나루,215,D,03,172230,172200,까치산,
131,서울 2호선,잠실나루,215,D,03,172800,172730,까치산,
132,서울 2호선,잠실나루,215,D,03,173530,173500,까치산,
133,서울 2호선,잠실나루,215,D,03,173900,173830,까치산,
134,서울 2호선,잠실나루,215,D,03,174430,174400,까치산,
135,서울 2호선,잠실나루,215,D,03,175000,174930,까치산,
136,서울 2호선,잠실나루,215,D,03,175530,175500,까치산,
137,서울 2호선,잠실나루,215,D,03,180100,180030,까치산,
138,서울 2호선,잠실나루,215,D,03,180630,180600,까치산,
139,서울 2호선,잠실나루,215,D,03,181200,181130,까치산,
140,서울 2호선,잠실나루,215,D,03,181730,181700,까치산,
141,서울 2호선,잠실나루,215,D,03,182300,182230,까치산,
142,서울 2호선,잠실나루,215,D,03,182830,182800,까치산,
143,서울 2호선,잠실나루,215,D,03,183400,183330,까치산,
144,서울 2호선,잠실나루,215,D,03,183930,183900,까치산,
145,서울 2호선,잠실나루,215,D,03,184500,184430,까치산,
146,서울 2호선,잠실나루,215,D,03,185030,185000,까치산,
147,서울 2호선,잠실나루,215,D,03,185600,185530,까치산,
148,서울 2호선,잠실나루,215,D,03,190130,190100,까치산,
149,서울 2호선,잠실나루,215,D,03,190700,190630,까치산,
150,서울 2호선,잠실나루,215,D,03,191230,191200,까치산,
151,서울 2호선,잠실나루,215,D,03,191800,191730,까치산,
152,서울 2호선,잠실나루,215,D,03,192330,192300,까치산,
153,서울 2호선,잠실나루,215,D,03,192900,192830,까치산,
154,서울 2호선,잠실나루,215,D,03,193430,193400,까치산,
155,서울 2호선,잠실나루,215,D,03,194000,193930,까치산,
156,서울 2호선,잠실나루,215,D,03,194530,194500,까치산,
157,서울 2호선,잠실나루,215,D,03,195100,195030,까치산,
158,서울 2호선,잠실나루,215,D,03,195630,195600,까치산,
159,서울 2호선,잠실나루,215,D,03,200200,200130,까치산,
