요일코드,호선,역번호,역명,구분,05:00 ~,06:00 ~,07:00 ~,08:00 ~,09:00 ~,10:00 ~,11:00 ~,12:00 ~,13:00 ~,14:00 ~,15:00 ~,16:00 ~,17:00 ~,18:00 ~,19:00 ~,20:00 ~,21:00 ~,22:00 ~,23:00 ~, 24:00~,
01,4호선,419,한성대입구,U,19,14,15,26,20,21,32,38,43,47,55,75,93,117,110,66,75,81,71,43,
01,4호선,420,혜화,U,19,16,16,28,23,23,34,41,47,50,60,77,98,120,114,69,76,84,74,39,
01,4호선,421,동대문(4),U,18,18,22,40,34,31,44,51,61,61,68,84,105,129,122,67,74,81,71,35,
01,4호선,422,동대문역사문화공원(4),U,12,18,24,42,36,33,47,53,60,59,65,78,95,115,111,62,69,75,65,32,
01,4호선,423,충무로(4),U,9,15,20,33,28,27,37,43,51,50,56,69,80,88,79,47,52,55,46,22,
01,4호선,424,명동,U,10,15,22,42,33,30,38,43,50,48,52,64,72,71,59,37,42,44,36,17,
01,4호선,425,회현,U,10,16,27,51,37,32,40,47,53,48,50,58,65,63,52,30,32,32,29,16,
01,4호선,426,서울역(4),U,11,20,31,59,42,36,44,49,50,45,43,49,53,53,45,25,28,30,27,15,
01,4호선,427,숙대입구,U,15,19,33,59,36,31,40,42,45,40,40,45,48,47,39,21,24,26,22,13,
01,4호선,428,삼각지(4),U,14,19,36,62,37,35,40,42,44,40,38,42,45,44,37,20,22,26,22,13,
01,4호선,429,신용산,U,15,20,41,67,41,39,41,45,45,43,39,50,48,52,41,24,25,29,24,15,
01,4호선,430,이촌(4),U,15,22,42,72,43,39,41,45,45,43,38,49,46,48,38,22,25,28,22,12,
01,4호선,431,동작,U,17,25,48,72,47,38,45,47,48,43,42,50,50,54,41,26,30,32,25,12,
01,4호선,432,총신대입구(4),U,17,28,50,77,44,39,44,46,47,42,42,48,48,53,38,25,28,31,24,12,
01,4호선,433,사당(4),U,20,28,53,80,50,42,46,50,47,44,45,51,51,56,40,28,28,32,27,14,
01,4호선,434,남태령,U,19,35,92,133,85,56,64,63,57,50,58,61,65,81,55,28,28,32,29,10,
01,2호선,211,성수(2),D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
01,2호선,212,건대입구(2),D,29,24,56,69,36,26,34,36,34,33,36,36,43,46,37,31,33,40,23,8,
01,2호선,213,구의,D,24,21,49,55,33,26,35,36,36,35,38,41,46,59,49,38,42,48,25,10,
01,2호선,214,강변,D,16,18,42,48,30,25,33,34,34,34,38,40,46,59,51,40,44,52,27,12,
01,2호선,215,잠실나루,D,18,17,37,41,25,23,29,32,34,34,39,42,48,64,54,43,50,55,31,12,
01,2호선,216,잠실(2),D,16,17,33,38,24,22,29,31,33,33,38,40,48,63,55,44,53,58,33,14,
01,2호선,217,신천,D,18,27,31,37,27,22,31,35,38,39,44,48,53,83,71,55,66,75,51,21,
01,2호선,218,종합운동장,D,15,24,27,33,24,21,30,35,38,39,44,49,53,86,74,56,68,74,51,23,
01,2호선,219,삼성,D,14,25,28,34,25,23,30,35,38,38,44,50,52,87,75,58,71,74,50,22,
01,2호선,220,선릉(2),D,33,31,44,61,45,33,39,41,47,43,48,51,51,81,70,51,65,68,49,20,
01,2호선,221,역삼,D,60,36,62,92,68,47,49,52,59,52,56,61,57,88,74,58,72,76,56,22,
01,2호선,222,강남(2),D,69,41,77,121,89,57,56,58,64,55,58,60,54,76,67,53,66,72,47,22,
01,2호선,223,교대(2),D,82,50,101,148,110,71,64,65,71,59,61,59,56,75,66,48,50,51,39,21,
01,2호선,224,서초,D,82,60,118,175,120,81,70,68,74,62,63,60,56,73,66,46,51,51,41,23,
01,2호선,225,방배,D,85,64,127,186,122,85,71,65,73,60,59,59,55,71,60,45,48,50,40,24,
01,2호선,226,사당(2),D,85,65,129,191,120,87,73,65,75,60,59,59,55,71,59,43,47,50,40,25,
01,2호선,227,낙성대,D,82,68,131,179,105,81,65,62,68,55,53,56,53,71,58,45,50,53,41,23,
01,2호선,228,서울대입구,D,77,64,124,165,99,75,62,60,65,53,51,54,52,70,58,45,54,53,43,24,
01,2호선,229,봉천,D,76,59,111,150,92,71,58,55,60,50,47,48,47,65,58,44,52,50,41,23,
01,2호선,230,신림,D,70,56,104,141,85,67,56,54,58,48,48,48,47,67,61,46,54,52,44,25,
01,2호선,231,신대방,D,53,45,85,111,69,60,51,50,54,44,46,47,48,77,71,50,63,61,54,33,
01,2호선,232,구로디지털단지,D,48,41,81,104,63,58,50,48,54,45,48,47,51,84,74,56,72,64,58,36,
01,2호선,233,대림(2),D,38,39,79,115,66,60,51,47,54,48,50,50,54,85,76,59,77,72,64,43,
01,2호선,234,신도림(2),D,29,32,69,102,60,56,48,46,52,47,51,55,61,91,77,62,85,79,71,46,
01,2호선,235,문래,D,37,50,85,98,40,35,41,42,50,47,50,59,75,112,76,66,79,93,61,24,
01,2호선,236,영등포구청(2),D,35,48,82,100,39,36,41,42,49,47,50,58,73,110,75,67,78,94,60,22,
01,2호선,237,당산(2),D,26,38,66,79,32,32,35,37,45,43,47,56,69,104,75,68,80,100,64,24,
01,2호선,238,합정(2),D,23,35,64,82,31,29,36,38,46,45,50,58,70,108,79,73,86,106,73,28,
01,2호선,239,홍대입구(2),D,19,21,38,47,21,21,30,31,39,40,45,51,60,96,68,68,75,92,60,25,
01,2호선,240,신촌,D,18,15,25,35,19,19,31,34,40,43,47,51,61,101,71,71,69,79,51,20,
01,2호선,241,이대입구,D,15,14,27,37,22,23,33,34,39,42,44,47,58,104,70,65,61,66,45,19,
01,2호선,242,아현,D,13,13,27,38,27,26,37,36,40,42,43,46,57,106,70,63,58,67,42,20,
01,2호선,243,충정로(2),D,10,13,28,38,27,26,36,35,40,42,43,45,57,106,68,64,59,68,41,21,
01,2호선,201,시청(2),D,10,13,30,38,28,27,36,34,40,41,43,45,57,104,67,63,58,67,41,21,
01,2호선,202,을지입구,D,8,14,37,48,30,27,34,33,38,37,39,41,49,86,57,57,50,58,36,18,
01,2호선,203,을지3가(2),D,13,19,50,73,38,33,39,36,39,38,39,39,45,72,47,40,37,44,25,13,
01,2호선,204,을지4가(2),D,14,21,54,73,40,32,38,33,35,34,35,34,40,59,39,35,33,40,24,13,
01,2호선,205,동대문역사문화공원(2),D,13,20,60,78,42,34,39,34,36,34,35,33,40,54,36,33,31,40,22,11,
01,2호선,206,신당(2),D,17,21,63,79,47,37,45,40,41,41,41,37,44,63,46,43,39,47,25,12,
01,2호선,207,상왕십리,D,15,20,57,78,46,38,45,41,42,41,42,37,45,66,49,47,40,50,27,13,
01,2호선,208,왕십리(2),D,14,19,54,76,44,38,43,41,41,40,41,39,42,64,49,47,41,51,28,14,
01,2호선,209,한양대,D,13,15,43,49,35,28,36,34,35,35,37,36,40,62,47,44,39,48,26,12,
01,2호선,210,뚝섬,D,10,16,43,52,37,31,35,34,34,34,35,30,35,57,45,40,34,42,23,10,
01,2호선,9006,성수E,D,9,16,43,54,38,33,33,34,33,33,35,30,34,54,43,38,33,41,23,10,
01,4호선,409,당고개,D,4,3,12,11,9,5,5,5,5,4,4,3,3,3,2,2,1,2,1,1,
01,4호선,410,상계,D,11,12,33,28,21,13,13,11,12,9,8,7,8,7,5,5,4,5,3,2,
01,4호선,411,노원(4),D,13,18,44,48,33,23,22,22,22,19,18,17,16,16,13,14,11,16,11,7,
01,4호선,412,창동(4),D,17,19,49,60,48,32,34,31,30,27,26,24,19,20,16,17,13,19,13,8,
01,4호선,413,쌍문,D,24,26,67,79,63,40,40,37,35,31,28,26,21,21,17,17,13,17,13,7,
01,4호선,414,수유,D,33,32,84,100,76,50,48,44,42,37,34,30,25,25,19,17,14,17,15,6,
01,4호선,415,미아,D,37,33,87,110,81,54,51,46,45,39,35,33,27,26,20,18,15,16,15,6,
01,4호선,416,미아4거리,D,46,38,98,126,89,60,56,50,49,42,39,35,29,27,20,19,16,17,15,6,
01,4호선,417,길음,D,51,43,108,140,97,64,61,54,52,47,41,38,32,31,22,21,17,18,16,6,
01,4호선,418,성신여대,D,56,44,109,150,105,68,63,57,55,51,47,43,37,37,25,24,21,22,20,6,
01,4호선,419,한성대입구,D,46,44,110,156,108,70,66,60,59,53,51,46,40,40,27,26,24,26,24,8,
01,4호선,420,혜화,D,47,43,100,154,107,74,70,66,64,60,62,58,50,52,34,36,39,50,40,12,
01,4호선,421,동대문(4),D,51,41,96,139,100,69,68,66,66,62,67,63,55,57,35,36,39,50,38,12,
01,4호선,422,동대문역사문화공원(4),D,39,30,64,102,79,57,59,56,57,53,58,53,47,47,31,29,32,40,32,9,
01,4호선,423,충무로(4),D,34,24,48,76,60,47,54,51,53,51,57,52,47,51,36,32,35,41,32,9,
01,4호선,424,명동,D,33,22,43,63,50,40,46,44,47,46,54,50,46,53,38,36,41,50,39,11,
01,4호선,425,회현,D,32,19,36,50,38,33,37,38,43,46,56,54,51,60,42,40,43,51,39,11,
01,4호선,426,서울역(4),D,22,14,26,39,31,28,30,30,37,37,44,43,41,54,39,35,35,41,34,13,
01,4호선,427,숙대입구,D,25,14,24,35,29,25,29,29,36,37,45,45,43,57,40,36,38,42,34,13,
01,4호선,428,삼각지(4),D,28,17,27,44,34,29,31,32,39,40,47,48,46,62,43,38,40,46,38,13,
01,4호선,429,신용산,D,28,16,26,39,30,27,30,31,38,39,46,48,48,64,48,40,42,47,39,13,
01,4호선,430,이촌(4),D,32,18,29,46,34,31,33,35,41,41,49,51,51,66,51,41,44,49,44,17,
01,4호선,431,동작,D,0,19,26,44,32,31,31,34,39,41,49,50,52,66,54,42,46,51,45,17,
01,4호선,432,총신대입구(4),D,0,23,28,48,33,33,32,35,42,42,49,50,52,66,55,43,50,52,45,16,
01,4호선,433,사당(4),D,19,29,44,64,38,45,35,41,48,56,58,62,80,104,88,65,79,82,61,19,
01,4호선,434,남태령,D,19,28,43,63,38,44,37,39,47,56,57,62,79,104,87,65,79,81,64,26,
02,2호선,211,성수(2),U,9,14,14,21,30,30,42,47,48,42,55,48,50,54,38,37,40,43,88,0,
02,2호선,212,건대입구(2),U,10,21,19,26,39,40,48,54,52,48,52,50,48,48,35,36,40,44,86,0,
02,2호선,213,구의,U,12,21,20,28,41,40,49,52,51,48,52,47,46,46,34,33,37,40,69,0,
02,2호선,214,강변,U,12,18,16,25,40,41,51,53,51,46,47,43,43,41,30,30,33,36,59,0,
02,2호선,215,잠실나루,U,15,17,16,26,41,42,52,56,51,47,46,43,42,40,29,30,32,34,54,0,
02,2호선,216,잠실(2),U,23,15,19,31,46,50,58,62,59,56,50,51,53,50,34,39,40,39,43,0,
02,2호선,217,신천,U,26,16,20,32,47,49,59,61,60,56,50,49,52,47,32,35,39,38,42,0,
02,2호선,218,종합운동장,U,31,15,18,30,47,49,59,61,61,56,50,49,54,50,34,37,40,39,40,0,
02,2호선,219,삼성,U,22,15,17,27,40,42,53,59,61,61,59,64,73,70,47,51,53,50,51,0,
02,2호선,220,선릉(2),U,25,16,18,28,41,47,57,70,73,73,70,75,81,82,53,57,62,59,59,0,
02,2호선,221,역삼,U,30,16,18,27,39,46,57,70,75,75,74,80,85,85,56,61,66,65,60,0,
02,2호선,222,강남(2),U,42,18,19,25,32,42,57,71,80,81,82,88,96,89,63,69,86,91,89,0,
02,2호선,223,교대(2),U,41,19,18,26,33,44,56,73,82,83,82,89,98,90,67,74,96,101,97,0,
02,2호선,224,서초,U,39,17,17,25,32,42,55,72,81,84,83,90,96,93,68,75,98,102,97,0,
02,2호선,225,방배,U,40,18,17,25,31,42,54,71,83,85,85,89,97,96,69,76,99,104,93,0,
02,2호선,226,사당(2),U,27,18,15,26,30,40,53,67,76,81,82,85,95,94,67,73,99,108,96,0,
02,2호선,227,낙성대,U,29,18,15,26,29,40,51,65,77,79,77,85,88,92,65,68,92,103,88,0,
02,2호선,228,서울대입구,U,18,17,15,26,26,37,49,62,73,75,73,81,83,85,61,62,84,92,81,0,
02,2호선,229,봉천,U,22,18,16,27,27,36,50,61,74,72,74,78,84,82,60,60,81,89,78,0,
02,2호선,230,신림,U,33,20,19,31,30,39,51,61,73,70,70,74,77,73,53,51,70,76,64,0,
02,2호선,231,신대방,U,41,23,20,35,33,42,52,63,75,71,69,75,75,74,52,49,66,70,59,0,
02,2호선,232,구로디지털단지,U,56,27,24,40,38,46,56,66,79,72,72,77,75,73,51,47,62,65,54,0,
02,2호선,233,대림(2),U,68,30,25,43,41,47,60,67,79,72,70,73,72,67,50,42,54,54,47,0,
02,2호선,234,신도림(2),U,18,26,27,46,53,59,63,76,78,75,66,71,70,62,50,48,47,60,55,0,
02,2호선,235,문래,U,18,26,27,46,53,56,63,75,77,76,67,70,70,65,49,49,46,58,56,0,
02,2호선,236,영등포구청(2),U,18,25,26,46,52,56,62,74,77,78,62,68,67,60,45,44,41,51,48,0,
02,2호선,237,당산(2),U,20,25,27,47,53,63,67,79,92,78,66,73,73,63,50,42,42,50,44,0,
02,2호선,238,합정(2),U,19,20,24,42,46,56,59,71,81,70,59,61,59,54,41,35,34,42,37,0,
02,2호선,239,홍대입구(2),U,23,21,24,41,45,55,55,64,72,62,53,54,52,45,36,33,37,52,53,0,
02,2호선,240,신촌,U,28,21,23,35,37,49,50,61,67,59,52,56,52,41,35,36,41,62,60,0,
02,2호선,241,이대입구,U,28,22,23,35,36,47,50,62,65,59,52,58,54,43,36,37,42,63,60,0,
02,2호선,242,아현,U,27,22,23,36,36,47,48,65,67,60,53,58,55,45,36,37,42,62,58,0,
02,2호선,243,충정로(2),U,28,22,23,36,36,46,48,64,66,60,55,58,56,46,34,36,42,58,55,0,
02,2호선,201,시청(2),U,24,19,21,33,33,41,45,58,60,54,50,55,53,45,34,36,42,57,52,0,
02,2호선,202,을지입구,U,18,17,19,29,25,35,38,50,54,53,52,60,60,53,42,51,56,64,61,0,
02,2호선,203,을지3가(2),U,17,16,16,28,23,31,35,44,48,48,48,53,52,47,37,44,49,59,56,0,
02,2호선,204,을지4가(2),U,16,15,15,25,22,28,33,42,46,46,46,52,52,47,36,43,47,57,53,0,
02,2호선,205,동대문역사문화공원(2),U,18,20,19,32,27,31,46,51,52,50,60,57,58,50,40,45,47,56,51,0,
02,2호선,206,신당(2),U,22,20,20,35,30,33,49,57,54,52,64,58,58,50,40,43,45,53,48,0,
02,2호선,207,상왕십리,U,19,20,20,35,29,33,49,57,53,53,63,57,58,49,39,42,44,52,46,0,
02,2호선,208,왕십리(2),U,18,20,19,39,29,32,48,56,51,51,60,50,50,44,34,36,37,44,39,0,
02,2호선,209,한양대,U,19,19,17,26,26,28,41,47,46,46,51,50,50,51,34,35,38,43,39,0,
02,2호선,210,뚝섬,U,19,19,16,25,25,27,41,46,46,43,52,49,51,52,34,35,38,41,37,0,
02,2호선,9006,성수E,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
02,4호선,409,당고개,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
02,4호선,410,상계,U,0,3,2,2,3,3,2,3,3,3,4,4,5,5,4,4,5,5,5,7,
02,4호선,411,노원(4),U,0,6,3,6,6,6,5,6,8,9,9,11,12,14,10,10,11,12,14,19,
02,4호선,412,창동(4),U,0,12,8,14,15,13,13,15,18,21,20,23,25,28,21,19,21,22,24,0,
02,4호선,413,쌍문,U,0,16,11,17,19,18,18,22,25,30,29,35,36,41,31,29,32,33,36,0,
02,4호선,414,수유,U,27,14,11,17,18,18,19,24,27,34,34,41,44,48,37,36,41,43,46,0,
02,4호선,415,미아,U,27,15,11,17,20,21,20,27,30,42,41,51,56,61,48,46,53,54,58,0,
02,4호선,416,미아4거리,U,25,15,12,18,20,22,22,30,32,44,45,54,61,63,50,50,56,58,62,0,
02,4호선,417,길음,U,24,16,12,18,21,24,25,33,36,49,51,61,71,73,57,55,63,67,69,0,
02,4호선,418,성신여대,U,22,16,12,20,22,25,27,36,39,53,55,70,77,81,63,62,71,73,77,0,
02,4호선,419,한성대입구,U,22,16,13,22,24,27,30,40,42,57,60,75,84,89,69,67,75,78,93,0,
02,4호선,420,혜화,U,19,16,14,23,27,29,33,43,47,61,65,79,91,93,70,62,81,80,88,0,
02,4호선,421,동대문(4),U,21,25,34,28,38,62,65,64,83,115,96,98,112,115,76,63,81,80,90,0,
02,4호선,422,동대문역사문화공원(4),U,14,24,32,30,38,60,63,61,76,106,88,87,100,101,65,58,70,75,80,0,
02,4호선,423,충무로(4),U,10,17,23,25,30,49,44,51,64,87,72,73,81,78,48,49,53,57,58,0,
02,4호선,424,명동,U,9,15,20,27,33,47,43,48,60,77,66,67,78,71,43,43,46,49,50,0,
02,4호선,425,회현,U,9,17,21,29,35,49,47,55,66,81,66,65,71,63,36,33,33,35,37,0,
02,4호선,426,서울역(4),U,7,20,21,33,39,54,50,60,67,78,61,56,62,54,31,29,30,34,36,0,
02,4호선,427,숙대입구,U,11,20,19,28,37,43,41,51,60,67,52,50,56,51,27,25,26,29,30,0,
02,4호선,428,삼각지(4),U,9,18,19,29,37,41,42,50,63,64,53,49,52,49,27,24,27,30,30,0,
02,4호선,429,신용산,U,9,19,20,30,41,44,47,54,68,67,57,52,59,55,31,27,29,32,35,0,
02,4호선,430,이촌(4),U,8,20,21,31,42,44,47,55,70,65,56,53,58,54,30,26,28,31,34,0,
02,4호선,431,동작,U,10,23,25,35,49,48,51,61,73,72,58,56,63,58,31,29,31,34,39,0,
02,4호선,432,총신대입구(4),U,17,21,24,36,49,47,49,61,69,69,55,53,60,55,29,29,29,34,38,0,
02,4호선,433,사당(4),U,17,22,28,40,54,51,52,66,73,73,57,58,67,65,32,30,31,38,42,0,
02,4호선,434,남태령,U,11,32,42,51,83,87,87,114,118,122,76,95,121,126,47,40,32,33,27,0,
02,2호선,211,성수(2),D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
02,2호선,212,건대입구(2),D,35,17,18,38,26,33,39,54,52,51,59,49,45,39,34,31,36,34,29,0,
02,2호선,213,구의,D,32,15,17,35,26,33,38,52,55,55,61,54,52,49,41,38,45,38,30,0,
02,2호선,214,강변,D,22,13,15,30,23,31,36,48,55,54,57,55,51,49,43,38,47,40,31,0,
02,2호선,215,잠실나루,D,24,16,17,29,21,29,31,42,50,49,56,54,50,49,42,38,44,42,34,0,
02,2호선,216,잠실(2),D,23,15,16,28,20,26,31,40,48,48,54,55,49,47,45,39,45,43,36,0,
02,2호선,217,신천,D,16,26,17,27,25,30,37,44,56,54,62,62,54,49,45,36,45,47,48,0,
02,2호선,218,종합운동장,D,13,24,16,24,25,29,36,43,55,52,62,62,54,51,45,38,46,48,50,0,
02,2호선,219,삼성,D,13,24,19,26,26,30,37,43,56,52,65,61,53,50,45,38,46,49,52,0,
02,2호선,220,선릉(2),D,25,29,22,35,42,54,58,60,79,67,75,64,51,44,39,34,41,45,50,0,
02,2호선,221,역삼,D,45,31,27,45,52,66,67,71,91,75,78,72,58,47,46,40,47,52,61,0,
02,2호선,222,강남(2),D,49,34,30,50,59,72,73,74,92,82,81,72,59,49,47,40,47,55,61,0,
02,2호선,223,교대(2),D,51,37,33,60,79,86,83,85,104,91,85,78,66,59,54,43,44,48,56,0,
02,2호선,224,서초,D,54,50,41,76,94,93,90,90,107,92,85,80,66,59,53,43,42,49,57,0,
02,2호선,225,방배,D,56,52,42,78,96,94,92,90,106,91,83,77,67,56,50,41,40,48,58,0,
02,2호선,226,사당(2),D,53,54,44,82,96,94,93,93,103,94,81,77,67,55,50,42,41,49,60,0,
02,2호선,227,낙성대,D,57,55,48,85,94,87,93,88,97,86,75,69,67,53,47,41,43,53,64,0,
02,2호선,228,서울대입구,D,54,53,45,80,90,83,88,83,90,83,72,63,65,52,47,41,43,59,70,0,
02,2호선,229,봉천,D,54,48,44,71,86,73,83,76,80,78,67,58,60,51,42,41,41,62,61,0,
02,2호선,230,신림,D,50,46,41,67,82,70,81,72,78,76,66,59,60,51,43,42,42,65,65,0,
02,2호선,231,신대방,D,37,38,33,55,69,60,72,66,72,72,63,57,61,54,46,46,47,76,79,0,
02,2호선,232,구로디지털단지,D,39,33,31,49,68,58,69,65,70,73,64,57,64,57,50,50,50,84,87,0,
02,2호선,233,대림(2),D,32,29,30,46,64,54,67,65,69,74,69,58,69,62,56,56,57,98,100,0,
02,2호선,234,신도림(2),D,25,24,27,40,53,48,65,63,66,72,70,64,70,66,60,57,63,114,108,0,
02,2호선,235,문래,D,42,33,26,35,39,49,56,63,64,70,72,65,76,65,54,66,69,86,91,0,
02,2호선,236,영등포구청(2),D,41,32,26,35,39,49,55,62,63,71,73,63,75,65,54,66,69,84,96,0,
02,2호선,237,당산(2),D,36,28,23,28,32,41,48,56,57,64,69,61,73,66,55,67,71,88,103,0,
02,2호선,238,합정(2),D,42,23,23,27,30,43,44,59,57,67,70,67,78,72,60,74,84,95,118,0,
02,2호선,239,홍대입구(2),D,32,17,16,17,21,30,35,46,49,56,63,59,72,66,56,68,74,85,104,0,
02,2호선,240,신촌,D,21,12,12,13,18,28,34,52,52,63,70,68,78,74,62,69,68,70,77,0,
02,2호선,241,이대입구,D,12,11,12,17,22,30,37,53,53,65,70,64,77,78,63,68,62,56,67,0,
02,2호선,242,아현,D,11,10,12,19,24,33,40,56,56,67,72,64,77,78,65,68,61,56,69,0,
02,2호선,243,충정로(2),D,10,11,12,18,24,33,39,56,55,66,73,64,78,79,65,69,62,57,71,0,
