1,소요산,100,동두천,,
1,동두천,101,소요산,보산,
1,보산,102,동두천,동두천중앙,
1,동두천중앙,103,보산,지행,
1,지행,104,동두천중앙,덕정,
1,덕정,105,지행,덕계,
1,덕계,106,덕정,양주,
1,양주,107,덕계,녹양,
1,녹양,108,양주,가능(의정부북부),
1,가능(의정부북부),109,녹양,의정부,
1,의정부,110,가능(의정부북부),회룡,
1,회룡,111,의정부,망월사,
1,망월사,112,회룡,도봉산,
1,도봉산,113,망월사,도봉산,
1,도봉산,114,도봉산,방학,
1,방학,115,도봉산,창동,
1,창동,116,방학,녹천,
1,녹천,117,창동,월계,
1,월계,118,녹천,광운대,
1,광운대,119,월계,석계,
1,석계,120,광운대,신이문,
1,신이문,121,석계,외대앞,
1,외대앞,122,신이문,회기,
1,회기,123,외대앞,청량리,
1,청량리,124,회기,제기동,
1,제기동,125,청량리,신설동,
1,신설동,126,제기동,동묘앞,
1,동묘앞,127,신설동,동대문,
1,동대문,128,동묘앞,종로5가,
1,종로5가,129,동대문,종로3가,
1,종로3가,130,종로5가,종각,
1,종각,131,종로3가,시청,
1,시청,132,종각,서울,
1,서울,133,시청,남영,
1,남영,134,서울,용산,
1,용산,135,남영,노량진,
1,노량진,136,용산,대방,
1,대방,137,노량진,신길,
1,신길,138,대방,영등포,
1,영등포,139,신길,신도림,
1,신도림,140,영등포,구로,
1,구로,141,신도림,가산디지털단지,
1,가산디지털단지,P142,구로,독산,
1,독산,p143,가산디지털단지,금천구청,
1,금천구청,p144,독산,석수,광명
1,석수,p145,금천구청,관악,
1,관악,p146,석수,안양,
1,안양,p147,관악,명학,
1,명학,p148,안양,금정,
1,금정,p149,명학,군포,
1,군포,p150,금정,당정,
1,당정,p151,군포,의왕,
1,의왕,p152,당정,성균관대,
1,성균관대,p153,의왕,화서,
1,화서,p154,성균관대,수원,
1,수원,p155,화서,세류,
1,세류,p156,수원,병점,
1,병점,p157,세류,세마,서동탄
1,세마,p158,병점,오산대,
1,오산대,p159,세마,오산,
1,오산,p160,오산대,진위,
1,진위,p161,오산,송탄,
1,송탄,p162,진위,서정리,
1,서정리,p163,송탄,지제,
1,지제,p164,서정리,평택,
1,평택,p165,지제,성환,
1,성환,p166,평택,직산,
1,직산,p167,성환,두정,
1,두정,p168,직산,천안,
1,천안,p169,두정,봉명,
1,봉명,p170,천안,쌍용,
1,쌍용,p171,봉명,아산,
1,아산,p172,쌍용,배방 ,
1,배방 ,p174,아산,온양온천,
1,온양온천,p176,배방 ,신창,
1,신창,p177,온양온천,,
1,구일,142,개봉,,
1,개봉,143,구일,오류동,
1,오류동,144,개봉,온수,
1,온수,145,오류동,역곡,
1,역곡,146,온수,소사 ,
1,소사 ,147,역곡,부천,
1,부천,148,소사 ,중동,
1,중동,149,부천,송내,
1,송내,150,중동,부개,
1,부개,151,송내,부평,
1,부평,152,부개,백운,
1,백운,153,부평,동암,
1,동암,154,백운,간석,
1,간석,155,동암,주안,
1,주안,156,간석,도화,
1,도화,157,주안,제물포,
1,제물포,158,도화,도원,
1,도원,159,제물포,동인천,
1,동인천,160,도원,인천,
1,인천,161,동인천,,
1,광명,144,금천구청,,
1,서동탄,157,병점,,
2,시청,201,충정로,을지로입구,
2,을지로입구,202,시청,을지로3가,
2,을지로3가,203,을지로입구,을지로4가,
2,을지로4가,204,을지로3가,동대문역사문화공원,
2,동대문역사문화공원,205,을지로4가,신당,
2,신당,206,동대문역사문화공원,상왕십리,
2,상왕십리,207,신당,왕십리,
2,왕십리,208,상왕십리,한양대,
2,한양대,209,왕십리,뚝섬,
2,뚝섬,210,한양대,성수,
2,성수,211,뚝섬,건대입구,
2,건대입구,212,성수,구의,
2,구의,213,건대입구,강변,
2,강변,214,구의,잠실나루,
2,잠실나루,215,강변,잠실,
2,잠실,216,잠실나루,신천,
2,신천,217,잠실,종합운동장,
2,종합운동장,218,신천,삼성,
2,삼성,219,종합운동장,선릉,
2,선릉,220,삼성,역삼,
2,역삼,221,선릉,강남,
2,강남,222,역삼,교대,
2,교대,223,강남,서초,
2,서초,224,교대,방배,
2,방배,225,서초,사당,
2,사당,226,방배,낙성대,
2,낙성대,227,사당,서울대입구,
2,서울대입구,228,낙성대,봉천,
2,봉천,229,서울대입구,신림,
2,신림,230,봉천,신대방,
2,신대방,231,신림,구로디지털단지,
2,구로디지털단지,232,신대방,대림,
2,대림,233,구로디지털단지,신도림,
2,신도림,234,대림,문래,
2,문래,235,신도림,영등포구청,
2,영등포구청,236,문래,당산,
2,당산,237,영등포구청,합정,
2,합정,238,당산,홍대입구,
2,홍대입구,239,합정,신촌(지하),
2,신촌(지하),240,홍대입구,이대,
2,이대,241,신촌(지하),아현,
2,아현,242,이대,충정로,
2,충정로,243,아현,시청,
2,용답,244,성수,신답,
2,신답,245,용답,용두,
2,신설동,246,용두,,
2,도림천,247,신도림,양천구청,
2,양천구청,248,도림천,신정네거리,
2,신정네거리,249,양천구청,까치산,
2,용두,250,신설동,신답,
2,까치산,260,신정네거리,,
3,지축,309,구파발,,
3,구파발,310,지축,연신내,
3,연신내,311,구파발,불광,
3,불광,312,연신내,녹번,
3,녹번,313,불광,홍제,
3,홍제,314,녹번,무악재,
3,무악재,315,홍제,독립문,
3,독립문,316,무악재,경복궁,
3,경복궁,317,독립문,안국,
3,안국,318,경복궁,종로3가,
3,종로3가,319,안국,을지로3가,
3,을지로3가,320,종로3가,충무로,
3,충무로,321,을지로3가,동대입구,
3,동대입구,322,충무로,약수,
3,약수,323,동대입구,금호,
3,금호,324,약수,옥수,
