Line, Station, Station Code, Distance, Total Distance, Time, Total Time,
서울 1호선,소요산,100,
서울 1호선,용산,135,
서울 1호선,노량진,136,
서울 1호선,대방,137,
서울 1호선,신길,138,
서울 1호선,영등포,139,
서울 1호선,신도림,140,
서울 1호선,남영,134,
서울 1호선,서울역,133,
서울 1호선,시청,132,
서울 1호선,당정,1181,
서울 1호선,서동탄,1187,
서울 1호선,월계,119,
서울 1호선,광운대,120,
서울 1호선,석계,121,
서울 1호선,신이문,122,
서울 1호선,외대앞,123,
서울 1호선,회기,124,
서울 1호선,청량리,125,
서울 1호선,제기동,126,
서울 1호선,신설동,127,
서울 1호선,동대문,128,
서울 1호선,종로5가,129,
서울 1호선,종로3가,130,
서울 1호선,종각,131,
서울 1호선,구로,141,
서울 1호선,주안,156,
서울 1호선,도화,157,
서울 1호선,제물포,158,
서울 1호선,도원,159,
서울 1호선,동인천,160,
서울 1호선,인천,161,
서울 1호선,가산디지털단지,172,
서울 1호선,독산,173,
서울 1호선,금천구청,174,
서울 1호선,석수,175,
서울 1호선,관악,176,
서울 1호선,안양,177,
서울 1호선,명학,178,
서울 1호선,금정,179,
서울 1호선,군포,180,
서울 1호선,간석,155,
서울 1호선,동암,154,
서울 1호선,백운,153,
서울 1호선,구일,142,
서울 1호선,개봉,143,
서울 1호선,오류동,144,
서울 1호선,온수,145,
서울 1호선,역곡,146,
서울 1호선,소사,147,
서울 1호선,부천,148,
서울 1호선,중동,149,
서울 1호선,송내,150,
서울 1호선,부개,151,
서울 1호선,부평,152,
서울 1호선,녹천,118,
서울 1호선,광명,1175,
서울 1호선,창동,117,
서울 1호선,화서,183,
서울 1호선,수원,184,
서울 1호선,세류,185,
서울 1호선,병점,186,
서울 1호선,세마,187,
서울 1호선,오산대,188,
서울 1호선,회룡,112,
서울 1호선,오산,189,
서울 1호선,진위,190,
서울 1호선,동묘앞,199,
서울 1호선,의정부,111,
서울 1호선,의왕,181,
서울 1호선,가능,110,
서울 1호선,녹양,108,
서울 1호선,양주,107,
서울 1호선,덕계,106,
서울 1호선,덕정,105,
서울 1호선,지행,104,
서울 1호선,동두천중앙,103,
서울 1호선,보산,102,
서울 1호선,동두천,101,
서울 1호선,망월사,113,
서울 1호선,방학,116,
서울 1호선,도봉,115,
서울 1호선,도봉산,114,
서울 1호선,성균관대,182,
경의중앙선,이촌,198,
경의중앙선,서빙고,197,
경의중앙선,한남,196,
경의중앙선,옥수,195,
경의중앙선,응봉,193,
경의중앙선,왕십리,192,
경의중앙선,청량리,191,
서울 2호선,선릉,220,
서울 2호선,역삼,221,
서울 2호선,강남,222,
서울 2호선,교대,223,
서울 2호선,서초,224,
서울 2호선,방배,225,
서울 2호선,사당,226,
서울 2호선,낙성대,227,
서울 2호선,서울대입구,228,
서울 2호선,삼성,219,
서울 2호선,종합운동장,218,
서울 2호선,잠실새내,217,
서울 2호선,잠실,216,
서울 2호선,잠실나루,215,
서울 2호선,강변,214,
서울 2호선,구의,213,
서울 2호선,건대입구,212,
서울 2호선,성수,211,
서울 2호선,뚝섬,210,
서울 2호선,한양대,209,
서울 2호선,봉천,229,
서울 2호선,신림,230,
서울 2호선,신대방,231,
서울 2호선,까치산,264,
서울 2호선,신정네거리,263,
서울 2호선,양천구청,262,
서울 2호선,도림천,261,
서울 2호선,용두,254,
서울 2호선,신설동,253,
서울 2호선,신답,252,
서울 2호선,용답,251,
서울 2호선,충정로,243,
서울 2호선,아현,242,
서울 2호선,이대,241,
서울 2호선,신촌,240,
서울 2호선,홍대입구,239,
서울 2호선,합정,238,
서울 2호선,당산,237,
서울 2호선,영등포구청,236,
서울 2호선,문래,235,
서울 2호선,신도림,234,
서울 2호선,대림,233,
서울 2호선,구로디지털단지,232,
서울 2호선,왕십리,208,
서울 2호선,상왕십리,207,
서울 2호선,신당,206,
서울 2호선,동대문역사문화공원,205,
서울 2호선,을지로4가,204,
서울 2호선,을지로3가,203,
서울 2호선,을지로입구,202,
서울 2호선,시청,201,
서울 3호선,남부터미널,341,
서울 3호선,교대,340,
서울 3호선,고속터미널,339,
서울 3호선,잠원,338,
서울 3호선,신사,337,
서울 3호선,압구정,336,
서울 3호선,옥수,335,
서울 3호선,금호,334,
서울 3호선,약수,333,
서울 3호선,동대입구,332,
서울 3호선,양재,342,
서울 3호선,매봉,343,
서울 3호선,도곡,344,
서울 3호선,대치,345,
서울 3호선,학여울,346,
서울 3호선,대청,347,
서울 3호선,일원,348,
서울 3호선,수서,349,
서울 3호선,가락시장,350,
서울 3호선,경찰병원,351,
서울 3호선,오금,352,
서울 3호선,원흥,370,
서울 3호선,충무로,331,
서울 3호선,을지로3가,330,
서울 3호선,종로3가,329,
서울 3호선,대화,310,
서울 3호선,주엽,311,
서울 3호선,정발산,312,
서울 3호선,마두,313,
서울 3호선,백석,314,
서울 3호선,대곡,315,
서울 3호선,화정,316,
서울 3호선,원당,317,
서울 3호선,삼송,318,
서울 3호선,지축,319,
서울 3호선,구파발,320,
서울 3호선,연신내,321,
서울 3호선,불광,322,
서울 3호선,녹번,323,
서울 3호선,홍제,324,
서울 3호선,무악재,325,
서울 3호선,독립문,326,
서울 3호선,경복궁,327,
서울 3호선,안국,328,
서울 4호선,삼각지,428,
서울 4호선,숙대입구,427,
서울 4호선,서울역,426,
서울 4호선,회현,425,
서울 4호선,명동,424,
서울 4호선,충무로,423,
서울 4호선,동대문역사문화공원,422,
서울 4호선,동대문,421,
서울 4호선,혜화,420,
서울 4호선,한성대입구,419,
서울 4호선,성신여대입구,418,
서울 4호선,길음,417,
