호선, 역 코드, 역이름, 방면,U/D,  환승 호선, 환승 후 방면, 빠른 환승 칸, 출입문 위치,
9호선,913,당산,개화방면,D,2호선,내선(합정)방면,1,1,
9호선,913,당산,개화방면,D,2호선,외선(영등포구청)방면,1,1,
5호선,512,김포공항,방화방면,D,9호선,공항시장방면,7,2,
5호선,512,김포공항,방화방면,D,9호선,개화방면,7,2,
5호선,512,김포공항,강동방면,D,9호선,공항시장방면,2,1,
5호선,512,김포공항,강동방면,D,9호선,개화방면,2,1,
5호선,512,김포공항,방화방면,D,5호선,디지털미디어시티방면,7,2,
5호선,512,김포공항,방화방면,D,5호선,계양방면,7,2,
5호선,512,김포공항,강동방면,D,5호선,디지털미디어시티방면,2,1,
5호선,512,김포공항,강동방면,D,5호선,계양방면,2,1,
9호선,902,김포공항,개화방면,D,5호선,디지털미디어시티방면,2,4,
9호선,902,김포공항,개화방면,D,5호선,계양방면,0,0,
9호선,902,김포공항,신논현방면,D,5호선,디지털미디어시티방면,0,0,
9호선,902,김포공항,신논현방면,D,5호선,계양방면,3,1,
9호선,902,김포공항,개화방면,D,5호선,개화산방면,2,4,
9호선,902,김포공항,개화방면,D,5호선,송정방면,2,4,
9호선,902,김포공항,신논현방면,D,5호선,개화산방면,4,4,
9호선,902,김포공항,신논현방면,D,5호선,송정방면,4,4,
공항철도,505,김포공항,인천국제공항방면,D,5호선,개화산방면,3,4,
공항철도,505,김포공항,인천국제공항방면,D,5호선,송정방면,3,4,
공항철도,505,김포공항,서울역방면,D,5호선,개화산방면,4,1,
공항철도,505,김포공항,서울역방면,D,9호선,개화방면,6,4,
공항철도,505,김포공항,서울역방면,D,9호선,공항시장방면,6,4,
공항철도,505,김포공항,서울역방면,D,9호선,개화방면,2,2,
공항철도,505,김포공항,서울역방면,D,9호선,공항시장방면,2,2,
공항철도,505,김포공항,서울역방면,D,5호선,송정방면,6,4,
9호선,930,종합운동장,개화방면,D,2호선,외선(건대입구)방면,3,4,
9호선,930,종합운동장,개화방면,D,2호선,내선(선릉)방면,3,4,
2호선,218,종합운동장,내선(선릉)방면,U,9호선,개화방면,9,1,
2호선,218,종합운동장,외선(건대입구)방면,D,9호선,개화방면,3,1,
